Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2022-06-03 00:00:00+05:30,704.0,774.4,701.0,774.4,3932403,False,0,,False
2022-06-06 00:00:00+05:30,792.9,833.8,706.7,799.3,8754400,False,0,,False
2022-06-07 00:00:00+05:30,768.3,813.0,768.25,791.05,2089555,False,0,,False
2022-06-08 00:00:00+05:30,797.0,808.0,781.0,786.15,558537,False,0,,False
2022-06-09 00:00:00+05:30,772.0,807.25,772.0,793.35,509855,False,0,,False
2022-06-10 00:00:00+05:30,781.1,799.35,781.1,786.1,499889,False,0,,False
2022-06-13 00:00:00+05:30,770.0,803.0,751.05,788.9,504766,False,0,,False
2022-06-14 00:00:00+05:30,793.0,827.7,781.0,783.15,416790,False,0,,False
2022-06-15 00:00:00+05:30,797.0,805.0,788.05,795.95,225224,False,0,,False
2022-06-16 00:00:00+05:30,811.0,811.0,768.0,781.1,284705,False,0,,False
2022-06-17 00:00:00+05:30,773.0,790.0,765.0,770.55,135911,False,0,,False
2022-06-20 00:00:00+05:30,768.0,768.0,735.6,750.4,232080,False,0,,False
2022-06-21 00:00:00+05:30,758.0,773.8,752.1,762.8,116434,False,0,,False
2022-06-22 00:00:00+05:30,751.0,779.8,749.85,768.95,102498,False,0,,False
2022-06-23 00:00:00+05:30,770.0,782.65,757.15,761.45,59564,False,0,,False
2022-06-24 00:00:00+05:30,770.1,774.75,761.0,764.0,34240,False,0,,False
2022-06-27 00:00:00+05:30,770.05,775.75,759.3,765.4,64118,False,0,,False
2022-06-28 00:00:00+05:30,760.0,788.0,760.0,775.45,128856,False,0,,False
2022-06-29 00:00:00+05:30,768.0,786.45,768.0,779.75,49922,False,0,,False
2022-06-30 00:00:00+05:30,777.95,785.5,777.0,780.45,48920,False,0,,False
2022-07-01 00:00:00+05:30,778.5,794.95,771.85,774.35,69949,False,0,,False
2022-07-04 00:00:00+05:30,767.25,780.0,762.0,776.85,52513,False,0,,False
2022-07-05 00:00:00+05:30,775.5,790.0,775.5,785.15,97334,False,0,,False
2022-07-06 00:00:00+05:30,781.1,807.9,777.25,796.75,168656,False,0,,False
2022-07-07 00:00:00+05:30,804.35,874.0,803.6,830.6,575230,False,0,,False
2022-07-08 00:00:00+05:30,842.4,845.95,818.0,828.7,151467,False,0,,False
2022-07-11 00:00:00+05:30,828.0,843.4,818.1,824.05,70272,False,0,,False
2022-07-12 00:00:00+05:30,824.0,840.55,815.0,819.35,69958,False,0,,False
2022-07-13 00:00:00+05:30,824.0,844.7,821.9,824.4,90577,False,0,,False
2022-07-14 00:00:00+05:30,828.0,840.0,822.0,827.0,77435,False,0,,False
2022-07-15 00:00:00+05:30,838.0,882.0,830.0,853.7,266091,False,0,,False
2022-07-18 00:00:00+05:30,867.75,933.0,862.0,917.4,403434,False,0,,False
2022-07-19 00:00:00+05:30,931.0,987.0,931.0,961.8,559978,False,0,,False
2022-07-20 00:00:00+05:30,977.9,1006.85,915.0,921.1,535219,False,0,,False
2022-07-21 00:00:00+05:30,929.95,941.95,910.1,935.4,213587,False,0,,False
2022-07-22 00:00:00+05:30,945.0,945.0,905.55,915.1,127781,False,0,,False
2022-07-25 00:00:00+05:30,922.0,940.3,884.0,897.5,206973,False,0,,False
2022-07-26 00:00:00+05:30,900.0,930.0,888.6,903.05,183249,False,0,,False
2022-07-27 00:00:00+05:30,881.35,919.95,851.75,877.55,169122,False,0,,False
2022-07-28 00:00:00+05:30,884.5,884.5,835.25,839.15,201527,False,0,,False
2022-07-29 00:00:00+05:30,847.75,854.6,836.5,847.55,89017,False,0,,False
2022-08-01 00:00:00+05:30,855.0,865.75,838.6,855.1,84495,False,0,,False
2022-08-02 00:00:00+05:30,855.0,874.7,851.55,858.55,90164,False,0,,False
2022-08-03 00:00:00+05:30,858.55,862.95,825.95,834.3,96009,False,0,,False
2022-08-04 00:00:00+05:30,835.0,844.7,815.0,821.8,73869,False,0,,False
2022-08-05 00:00:00+05:30,824.0,839.95,822.1,824.6,134336,False,0,,False
2022-08-08 00:00:00+05:30,833.0,837.0,817.75,821.65,56280,False,0,,False
2022-08-10 00:00:00+05:30,827.5,832.0,815.75,818.55,78707,False,0,,False
2022-08-11 00:00:00+05:30,820.0,856.45,818.0,837.5,118934,False,0,,False
2022-08-12 00:00:00+05:30,839.8,844.0,833.0,835.05,41354,False,0,,False
2022-08-16 00:00:00+05:30,802.1,835.0,802.1,828.65,56289,False,0,,False
2022-08-17 00:00:00+05:30,828.65,849.85,828.65,836.55,46599,False,0,,False
2022-08-18 00:00:00+05:30,838.0,845.45,831.0,841.5,52015,False,0,,False
2022-08-19 00:00:00+05:30,847.95,864.9,845.5,857.45,84083,False,0,,False
2022-08-22 00:00:00+05:30,864.45,874.0,852.05,859.45,79772,False,0,,False
2022-08-23 00:00:00+05:30,846.1,870.0,842.0,852.2,51508,False,0,,False
