Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2021-03-24 00:00:00+05:30,520.0,548.95,502.25,526.8,16134952,False,0,,False
2021-03-25 00:00:00+05:30,511.5,518.8,491.0,494.75,2117943,False,0,,False
2021-03-26 00:00:00+05:30,502.0,510.0,491.0,495.7,925344,False,0,,False
2021-03-30 00:00:00+05:30,497.0,504.45,475.0,480.3,529749,False,0,,False
2021-03-31 00:00:00+05:30,477.9,497.5,474.0,483.55,527432,False,0,,False
2021-04-01 00:00:00+05:30,495.1,519.8,492.85,516.9,693114,False,0,,False
2021-04-05 00:00:00+05:30,525.0,558.1,515.55,540.95,1581933,False,0,,False
2021-04-06 00:00:00+05:30,545.5,560.9,545.5,552.1,916788,False,0,,False
2021-04-07 00:00:00+05:30,558.75,563.75,545.15,557.4,757702,False,0,,False
2021-04-08 00:00:00+05:30,560.75,562.4,548.6,552.65,385975,False,0,,False
2021-04-09 00:00:00+05:30,555.2,558.8,549.1,555.25,229288,False,0,,False
2021-04-12 00:00:00+05:30,548.0,586.0,516.35,553.65,1187029,False,0,,False
2021-04-13 00:00:00+05:30,559.1,585.0,551.9,580.4,654665,False,0,,False
2021-04-15 00:00:00+05:30,581.9,600.95,564.2,594.7,671026,False,0,,False
2021-04-16 00:00:00+05:30,594.0,607.0,573.35,579.95,465893,False,0,,False
2021-04-19 00:00:00+05:30,567.0,569.4,550.0,552.05,205039,False,0,,False
2021-04-20 00:00:00+05:30,563.0,570.65,548.8,556.55,204764,False,0,,False
2021-04-22 00:00:00+05:30,560.9,560.9,549.0,554.4,202614,False,0,,False
2021-04-23 00:00:00+05:30,559.0,599.95,554.15,590.0,945131,False,0,,False
2021-04-26 00:00:00+05:30,599.2,609.9,591.15,602.55,783765,False,0,,False
2021-04-27 00:00:00+05:30,610.0,637.0,603.2,629.6,1399674,False,0,,False
2021-04-28 00:00:00+05:30,640.0,662.5,635.0,640.0,1014259,False,0,,False
2021-04-29 00:00:00+05:30,640.6,658.0,622.0,632.2,494282,False,0,,False
