Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,6.84,7.47,6.84,7.18,74177,False,0,,False
2008-04-01 00:00:00+05:30,7.37,7.65,7.19,7.43,37311,False,0,,False
2008-04-02 00:00:00+05:30,7.64,8.19,7.43,7.49,110266,False,0,,False
2008-04-03 00:00:00+05:30,7.43,7.43,7.16,7.16,5711,False,0,,False
2008-04-04 00:00:00+05:30,7.09,7.29,6.98,7.06,17488,False,0,,False
2008-04-07 00:00:00+05:30,7.07,7.52,6.86,7.2,9599,False,0,,False
2008-04-08 00:00:00+05:30,7.2,7.29,7.0,7.0,5844,False,0,,False
2008-04-09 00:00:00+05:30,6.67,7.25,6.67,6.99,11266,False,0,,False
2008-04-10 00:00:00+05:30,8.1,8.1,6.53,7.54,41333,False,0,,False
2008-04-11 00:00:00+05:30,7.47,7.52,7.47,7.49,4022,False,0,,False
2008-04-15 00:00:00+05:30,7.07,7.65,7.07,7.35,7488,False,0,,False
2008-04-16 00:00:00+05:30,7.7,7.74,7.43,7.58,20622,False,0,,False
2008-04-17 00:00:00+05:30,7.65,7.65,7.43,7.64,4355,False,0,,False
2008-04-21 00:00:00+05:30,7.63,8.07,7.52,7.9,23911,False,0,,False
2008-04-22 00:00:00+05:30,7.72,8.55,7.65,8.32,91711,False,0,,False
2008-04-23 00:00:00+05:30,8.12,8.46,7.92,8.34,84444,False,0,,False
2008-04-24 00:00:00+05:30,8.33,8.37,8.33,8.33,20711,False,0,,False
2008-04-25 00:00:00+05:30,8.42,9.0,8.33,8.57,140311,False,0,,False
2008-04-28 00:00:00+05:30,8.37,8.42,8.13,8.14,26599,False,0,,False
2008-04-29 00:00:00+05:30,8.33,8.33,7.91,8.08,5199,False,0,,False
2008-04-30 00:00:00+05:30,8.15,8.59,8.03,8.54,103999,False,0,,False
2008-05-02 00:00:00+05:30,8.95,8.95,8.39,8.51,50466,False,0,,False
2008-05-05 00:00:00+05:30,8.55,8.55,8.33,8.44,45999,False,0,,False
2008-05-06 00:00:00+05:30,8.55,8.64,8.24,8.39,83511,False,0,,False
2008-05-07 00:00:00+05:30,8.64,8.64,8.25,8.53,132066,False,0,,False
2008-05-08 00:00:00+05:30,8.51,8.94,8.26,8.33,86622,False,0,,False
2008-05-09 00:00:00+05:30,8.55,8.55,8.08,8.11,78733,False,0,,False
2008-05-12 00:00:00+05:30,7.88,8.01,7.88,7.88,136933,False,0,,False
2008-05-13 00:00:00+05:30,7.81,8.1,7.81,7.96,26066,False,0,,False
2008-05-14 00:00:00+05:30,7.29,8.08,7.29,7.88,25911,False,0,,False
2008-05-15 00:00:00+05:30,8.19,8.26,8.01,8.1,33222,False,0,,False
2008-05-16 00:00:00+05:30,8.15,8.28,7.85,8.16,35533,False,0,,False
2008-05-20 00:00:00+05:30,8.15,8.28,8.01,8.08,49288,False,0,,False
2008-05-21 00:00:00+05:30,7.97,8.1,7.97,8.1,13555,False,0,,False
2008-05-22 00:00:00+05:30,8.03,8.17,7.88,8.1,31933,False,0,,False
2008-05-23 00:00:00+05:30,7.93,7.93,7.83,7.88,32222,False,0,,False
2008-05-26 00:00:00+05:30,8.11,8.11,7.52,7.67,129844,False,0,,False
2008-05-27 00:00:00+05:30,7.61,7.79,7.61,7.67,48488,False,0,,False
2008-05-28 00:00:00+05:30,7.67,7.67,7.61,7.61,2222,False,0,,False
2008-05-29 00:00:00+05:30,7.65,7.85,7.65,7.72,34666,False,0,,False
2008-05-30 00:00:00+05:30,7.65,7.85,7.65,7.75,49822,False,0,,False
2008-06-02 00:00:00+05:30,7.7,7.75,7.43,7.54,68622,False,0,,False
2008-06-03 00:00:00+05:30,7.65,7.65,7.2,7.33,68111,False,0,,False
2008-06-04 00:00:00+05:30,7.34,7.52,7.2,7.25,58222,False,0,,False
2008-06-05 00:00:00+05:30,7.38,7.42,7.29,7.42,6799,False,0,,False
2008-06-06 00:00:00+05:30,7.2,7.49,7.2,7.21,93888,False,0,,False
2008-06-09 00:00:00+05:30,7.02,7.83,6.89,7.38,37044,False,0,,False
2008-06-10 00:00:00+05:30,7.2,7.38,6.99,7.38,5644,False,0,,False
2008-06-11 00:00:00+05:30,7.38,7.43,7.29,7.29,3933,False,0,,False
2008-06-12 00:00:00+05:30,7.51,7.51,6.98,7.05,4711,False,0,,False
2008-06-13 00:00:00+05:30,7.11,7.29,7.11,7.27,2555,False,0,,False
2008-06-16 00:00:00+05:30,7.2,7.36,7.2,7.2,3888,False,0,,False
2008-06-17 00:00:00+05:30,7.22,7.55,7.2,7.22,51911,False,0,,False
2008-06-18 00:00:00+05:30,8.55,8.55,7.25,7.3,10622,False,0,,False
2008-06-19 00:00:00+05:30,7.2,7.21,6.77,7.2,171199,False,0,,False
2008-06-20 00:00:00+05:30,7.38,7.38,7.02,7.2,293488,False,0,,False
2008-06-23 00:00:00+05:30,7.16,7.25,6.68,6.98,80688,False,0,,False
2008-06-24 00:00:00+05:30,6.98,7.2,6.75,6.75,9266,False,0,,False
2008-06-25 00:00:00+05:30,6.44,7.17,6.44,6.99,20222,False,0,,False
2008-06-26 00:00:00+05:30,6.99,6.99,6.48,6.81,80666,False,0,,False
2008-06-27 00:00:00+05:30,6.3,6.98,6.3,6.84,23088,False,0,,False
2008-06-30 00:00:00+05:30,6.53,7.2,6.3,6.9,116977,False,0,,False
2008-07-01 00:00:00+05:30,6.71,6.88,6.53,6.53,3799,False,0,,False
2008-07-02 00:00:00+05:30,6.75,6.75,6.03,6.44,9022,False,0,,False
2008-07-03 00:00:00+05:30,6.3,6.44,6.3,6.44,8377,False,0,,False
2008-07-04 00:00:00+05:30,6.21,6.52,6.17,6.3,28511,False,0,,False
2008-07-07 00:00:00+05:30,6.3,6.52,6.3,6.34,80177,False,0,,False
2008-07-08 00:00:00+05:30,6.48,6.48,6.35,6.35,6088,False,0,,False
2008-07-09 00:00:00+05:30,6.75,6.84,6.53,6.78,32533,False,0,,False
2008-07-10 00:00:00+05:30,8.1,8.1,6.66,6.77,4333,False,0,,False
2008-07-11 00:00:00+05:30,6.31,7.4,6.31,7.08,47844,False,0,,False
2008-07-14 00:00:00+05:30,6.98,6.98,6.6,6.81,7466,False,0,,False
2008-07-15 00:00:00+05:30,6.75,6.75,6.41,6.44,39711,False,0,,False
2008-07-16 00:00:00+05:30,6.39,6.71,6.34,6.6,22866,False,0,,False
2008-07-17 00:00:00+05:30,6.3,7.2,6.3,7.12,54044,False,0,,False
2008-07-18 00:00:00+05:30,7.45,7.45,6.87,7.2,48844,False,0,,False
2008-07-21 00:00:00+05:30,7.07,7.2,7.02,7.06,2933,False,0,,False
2008-07-22 00:00:00+05:30,6.89,7.02,6.89,7.02,1155,False,0,,False
2008-07-23 00:00:00+05:30,7.02,7.47,7.0,7.23,27177,False,0,,False
2008-07-24 00:00:00+05:30,6.94,6.94,6.81,6.87,11555,False,0,,False
2008-07-25 00:00:00+05:30,6.57,6.98,6.57,6.97,9222,False,0,,False
2008-07-28 00:00:00+05:30,6.98,6.98,6.98,6.98,22,False,0,,False
2008-07-29 00:00:00+05:30,7.25,7.25,7.25,7.25,44,False,0,,False
2008-07-30 00:00:00+05:30,7.25,7.33,7.02,7.25,24399,False,0,,False
2008-07-31 00:00:00+05:30,7.25,7.43,7.25,7.41,33444,False,0,,False
2008-08-01 00:00:00+05:30,7.34,7.34,6.98,7.07,8533,False,0,,False
2008-08-04 00:00:00+05:30,7.2,7.43,7.18,7.4,3177,False,0,,False
2008-08-05 00:00:00+05:30,6.75,7.46,6.75,7.2,5733,False,0,,False
2008-08-06 00:00:00+05:30,7.2,7.29,6.93,7.01,19599,False,0,,False
2008-08-07 00:00:00+05:30,7.18,7.18,7.18,7.18,1444,False,0,,False
2008-08-08 00:00:00+05:30,7.29,7.29,7.29,7.29,88,False,0,,False
2008-08-11 00:00:00+05:30,7.38,7.38,6.96,7.11,44244,False,0,,False
2008-08-12 00:00:00+05:30,7.02,7.88,7.02,7.8,147933,False,0,,False
2008-08-13 00:00:00+05:30,7.83,7.88,7.65,7.66,75755,False,0,,False
2008-08-14 00:00:00+05:30,7.65,7.72,7.65,7.65,55866,False,0,,False
2008-08-18 00:00:00+05:30,7.65,7.83,7.65,7.65,157799,False,0,,False
2008-08-19 00:00:00+05:30,7.65,7.85,7.34,7.61,33511,False,0,,False
2008-08-20 00:00:00+05:30,7.65,7.65,7.43,7.65,40711,False,0,,False
2008-08-21 00:00:00+05:30,7.43,7.97,7.43,7.55,100422,False,0,,False
2008-08-22 00:00:00+05:30,7.65,7.76,7.34,7.66,44644,False,0,7.4144000000000005,True
2008-08-25 00:00:00+05:30,7.25,7.65,7.2,7.54,24377,False,0,7.418000000000001,True
2008-08-26 00:00:00+05:30,7.32,7.65,6.99,7.65,57222,False,0,7.4201999999999995,True
2008-08-27 00:00:00+05:30,7.56,7.56,7.27,7.46,5933,False,0,7.4199,True
2008-08-28 00:00:00+05:30,7.34,7.34,7.2,7.2,52577,False,0,7.4203,False
2008-08-29 00:00:00+05:30,7.74,7.74,7.2,7.6,18577,False,0,7.425699999999999,True
2008-09-01 00:00:00+05:30,7.2,7.58,7.2,7.43,81688,False,0,7.428000000000001,True
2008-09-02 00:00:00+05:30,7.16,7.3,7.16,7.3,222,False,0,7.431,False
