Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,30.88,31.13,30.0,30.22,124856,False,0,,False
2008-04-01 00:00:00+05:30,30.88,30.88,30.38,30.7,52296,False,0,,False
2008-04-02 00:00:00+05:30,31.09,32.0,30.66,31.61,202448,False,0,,False
2008-04-03 00:00:00+05:30,31.8,32.88,31.8,32.56,131856,False,0,,False
2008-04-04 00:00:00+05:30,32.63,33.38,32.56,32.61,151712,False,0,,False
2008-04-07 00:00:00+05:30,31.75,31.75,31.19,31.33,97104,False,0,,False
2008-04-08 00:00:00+05:30,30.88,31.75,30.88,31.36,54392,False,0,,False
2008-04-09 00:00:00+05:30,31.0,31.44,30.5,30.66,71024,False,0,,False
2008-04-10 00:00:00+05:30,31.03,31.03,30.25,30.37,41968,False,0,,False
2008-04-11 00:00:00+05:30,30.99,30.99,30.47,30.54,19568,False,0,,False
2008-04-15 00:00:00+05:30,30.71,30.71,30.25,30.55,29720,False,0,,False
2008-04-16 00:00:00+05:30,30.24,31.11,30.24,30.84,33880,False,0,,False
2008-04-17 00:00:00+05:30,31.63,31.63,30.3,30.38,167288,False,0,,False
2008-04-21 00:00:00+05:30,31.37,31.37,30.56,30.71,941624,False,0,,False
2008-04-22 00:00:00+05:30,31.25,31.25,30.75,30.98,356824,False,0,,False
2008-04-23 00:00:00+05:30,31.19,37.18,30.48,36.37,7327392,True,1,,False
2008-04-24 00:00:00+05:30,36.5,37.5,33.75,34.68,2838888,True,1,,False
2008-04-25 00:00:00+05:30,34.78,35.0,33.23,33.83,773520,True,1,,False
2008-04-28 00:00:00+05:30,33.25,35.38,33.25,34.6,813160,True,1,,False
2008-04-29 00:00:00+05:30,34.75,36.84,34.51,36.3,3022344,True,1,,False
2008-04-30 00:00:00+05:30,37.11,39.11,36.51,38.03,2944344,True,1,,False
2008-05-02 00:00:00+05:30,39.1,39.25,37.13,37.48,1521104,True,1,,False
2008-05-05 00:00:00+05:30,36.63,38.1,36.31,36.5,379152,True,1,,False
2008-05-06 00:00:00+05:30,37.13,37.24,35.63,35.84,469808,True,1,,False
2008-05-07 00:00:00+05:30,35.38,35.69,34.54,35.26,568488,True,1,,False
2008-05-08 00:00:00+05:30,35.01,36.88,35.01,35.64,339832,True,1,,False
2008-05-09 00:00:00+05:30,35.25,35.97,35.25,35.63,270632,True,1,,False
2008-05-12 00:00:00+05:30,35.25,36.75,34.54,34.88,230520,True,1,,False
2008-05-13 00:00:00+05:30,35.13,35.48,34.54,34.87,131456,True,1,,False
2008-05-14 00:00:00+05:30,34.63,36.18,34.54,35.83,226776,True,1,,False
2008-05-15 00:00:00+05:30,35.03,38.55,35.03,37.82,889960,True,1,,False
2008-05-16 00:00:00+05:30,38.13,38.43,36.63,37.11,285744,True,1,,False
2008-05-20 00:00:00+05:30,36.38,37.37,36.25,36.84,151424,True,1,,False
2008-05-21 00:00:00+05:30,35.75,37.24,35.75,36.84,107776,True,1,,False
2008-05-22 00:00:00+05:30,36.63,39.55,36.25,38.03,1223224,True,1,,False
2008-05-23 00:00:00+05:30,38.25,38.5,36.25,36.4,251592,True,1,,False
2008-05-26 00:00:00+05:30,35.79,36.56,35.38,35.56,130312,True,1,,False
2008-05-27 00:00:00+05:30,35.76,36.63,35.75,36.34,302424,True,1,,False
2008-05-28 00:00:00+05:30,36.36,37.49,36.01,37.13,212736,True,1,,False
2008-05-29 00:00:00+05:30,37.13,37.75,36.88,37.51,179960,True,1,,False
2008-05-30 00:00:00+05:30,37.01,37.75,37.01,37.51,323440,True,1,,False
2008-06-02 00:00:00+05:30,37.14,38.05,35.76,36.76,153608,True,1,,False
2008-06-03 00:00:00+05:30,35.38,36.5,35.0,36.07,144792,True,1,,False
2008-06-04 00:00:00+05:30,36.75,36.75,35.0,35.17,106312,True,1,,False
2008-06-05 00:00:00+05:30,35.25,35.5,34.66,35.39,60928,True,1,,False
2008-06-06 00:00:00+05:30,37.49,37.49,34.75,35.03,42248,True,1,,False
2008-06-09 00:00:00+05:30,34.31,34.63,33.38,33.54,72928,True,1,,False
