Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2019-12-04 00:00:00+05:30,275.0,306.8,275.0,300.05,37124674,False,0,,False
2019-12-05 00:00:00+05:30,303.9,313.5,294.0,297.6,7896739,False,0,,False
2019-12-06 00:00:00+05:30,297.85,297.85,267.25,274.3,5530725,False,0,,False
2019-12-09 00:00:00+05:30,270.0,277.0,262.0,269.25,2573011,False,0,,False
2019-12-10 00:00:00+05:30,266.65,271.0,258.15,259.45,1177652,False,0,,False
2019-12-11 00:00:00+05:30,256.0,258.75,238.1,240.7,2763231,False,0,,False
2019-12-12 00:00:00+05:30,241.0,243.8,216.5,222.9,4606237,False,0,,False
2019-12-13 00:00:00+05:30,220.15,239.0,218.5,235.7,5067316,False,0,,False
2019-12-16 00:00:00+05:30,236.8,244.4,228.0,240.5,2294567,False,0,,False
2019-12-17 00:00:00+05:30,243.0,249.75,240.0,245.65,1704620,False,0,,False
2019-12-18 00:00:00+05:30,245.0,245.0,237.35,239.8,856066,False,0,,False
2019-12-19 00:00:00+05:30,236.5,242.0,234.65,238.6,534437,False,0,,False
2019-12-20 00:00:00+05:30,239.0,244.9,237.05,241.95,465629,False,0,,False
2019-12-23 00:00:00+05:30,241.0,243.25,239.0,240.2,386104,False,0,,False
2019-12-24 00:00:00+05:30,242.0,242.45,235.8,237.05,319736,False,0,,False
2019-12-26 00:00:00+05:30,237.5,239.05,230.5,231.7,230536,False,0,,False
2019-12-27 00:00:00+05:30,232.2,235.75,229.0,230.75,216093,False,0,,False
2019-12-30 00:00:00+05:30,230.6,233.45,224.0,224.75,370598,False,0,,False
2019-12-31 00:00:00+05:30,224.0,225.8,215.15,216.45,580382,False,0,,False
2020-01-01 00:00:00+05:30,215.0,218.75,206.2,206.9,873909,False,0,,False
2020-01-02 00:00:00+05:30,206.5,217.95,206.5,211.3,1329504,False,0,,False
2020-01-03 00:00:00+05:30,211.3,211.3,206.3,208.05,538331,False,0,,False
2020-01-06 00:00:00+05:30,206.1,207.0,198.3,199.9,582365,False,0,,False
2020-01-07 00:00:00+05:30,201.9,209.9,201.5,207.85,733142,False,0,,False
2020-01-08 00:00:00+05:30,204.0,206.3,200.55,203.85,378647,False,0,,False
2020-01-09 00:00:00+05:30,207.0,208.25,203.1,204.1,298193,False,0,,False
2020-01-10 00:00:00+05:30,205.0,206.4,200.55,201.55,312393,False,0,,False
2020-01-13 00:00:00+05:30,203.5,204.0,197.05,197.85,393382,False,0,,False
2020-01-14 00:00:00+05:30,200.0,200.0,192.25,192.95,590178,False,0,,False
2020-01-15 00:00:00+05:30,198.75,202.0,192.85,195.55,2377078,False,0,,False
2020-01-16 00:00:00+05:30,194.0,198.8,192.75,193.3,821724,False,0,,False
2020-01-17 00:00:00+05:30,194.4,205.0,192.25,201.6,2193648,False,0,,False
2020-01-20 00:00:00+05:30,202.7,203.7,195.5,197.6,563504,False,0,,False
2020-01-21 00:00:00+05:30,196.5,199.3,195.3,196.05,260984,False,0,,False
2020-01-22 00:00:00+05:30,197.8,200.4,195.4,195.85,358051,False,0,,False
2020-01-23 00:00:00+05:30,196.95,198.2,194.65,196.15,280219,False,0,,False
2020-01-24 00:00:00+05:30,196.15,202.35,195.65,199.35,460315,False,0,,False
2020-01-27 00:00:00+05:30,198.0,202.75,196.1,196.75,300923,False,0,,False
2020-01-28 00:00:00+05:30,196.75,198.75,194.25,194.75,165244,False,0,,False
2020-01-29 00:00:00+05:30,196.6,197.0,190.0,193.0,176308,False,0,,False
2020-01-30 00:00:00+05:30,193.0,193.35,186.1,186.7,288896,False,0,,False
2020-01-31 00:00:00+05:30,186.6,188.3,181.0,183.95,409639,False,0,,False
2020-02-01 00:00:00+05:30,183.75,192.3,182.0,184.9,428149,False,0,,False
2020-02-03 00:00:00+05:30,184.1,188.95,180.45,182.1,302371,False,0,,False
2020-02-04 00:00:00+05:30,183.2,188.85,183.0,186.8,224979,False,0,,False
2020-02-05 00:00:00+05:30,198.5,198.5,189.0,190.2,876199,False,0,,False
2020-02-06 00:00:00+05:30,191.4,191.7,185.7,186.35,231686,False,0,,False
2020-02-07 00:00:00+05:30,187.0,187.7,184.3,185.3,177274,False,0,,False
2020-02-10 00:00:00+05:30,184.5,185.0,179.0,180.25,168828,False,0,,False
2020-02-11 00:00:00+05:30,181.5,183.4,177.0,179.4,151066,False,0,,False
2020-02-12 00:00:00+05:30,179.0,180.0,168.0,169.45,433111,False,0,,False
2020-02-13 00:00:00+05:30,170.0,175.0,163.2,173.9,821078,False,0,,False
2020-02-14 00:00:00+05:30,174.5,176.7,169.05,171.4,208587,False,0,,False
2020-02-17 00:00:00+05:30,170.6,170.6,165.0,166.2,167817,False,0,,False
2020-02-18 00:00:00+05:30,166.0,166.15,160.5,161.95,220263,False,0,,False
2020-02-19 00:00:00+05:30,162.0,164.6,162.0,162.55,140800,False,0,,False
2020-02-20 00:00:00+05:30,162.0,168.7,160.5,164.25,276347,False,0,,False
2020-02-24 00:00:00+05:30,163.0,166.0,160.15,164.65,194823,False,0,,False
2020-02-25 00:00:00+05:30,164.5,166.15,162.3,165.25,153950,False,0,,False
2020-02-26 00:00:00+05:30,165.0,179.3,161.95,176.55,818604,False,0,,False
2020-02-27 00:00:00+05:30,179.8,179.8,171.85,176.65,474722,False,0,,False
2020-02-28 00:00:00+05:30,170.0,181.85,166.0,172.4,414626,False,0,,False
2020-03-02 00:00:00+05:30,175.0,177.15,169.65,171.25,192185,False,0,,False
2020-03-03 00:00:00+05:30,171.0,177.0,170.35,174.65,160029,False,0,,False
2020-03-04 00:00:00+05:30,175.45,175.45,166.0,167.6,137569,False,0,,False
2020-03-05 00:00:00+05:30,166.5,172.35,165.05,170.5,157678,False,0,,False
2020-03-06 00:00:00+05:30,161.0,171.7,152.25,159.4,344508,False,0,,False
2020-03-09 00:00:00+05:30,160.3,162.35,149.8,151.45,169659,False,0,,False
2020-03-11 00:00:00+05:30,152.0,154.8,142.45,143.7,189391,False,0,,False
2020-03-12 00:00:00+05:30,140.0,140.0,121.5,125.7,237206,False,0,,False
2020-03-13 00:00:00+05:30,106.65,128.35,101.35,126.05,251779,False,0,,False
2020-03-16 00:00:00+05:30,128.0,128.0,117.15,118.6,148463,False,0,,False
2020-03-17 00:00:00+05:30,118.95,124.0,115.1,117.8,187319,False,0,,False
2020-03-18 00:00:00+05:30,119.0,121.0,107.05,108.25,121004,False,0,,False
2020-03-19 00:00:00+05:30,105.0,111.9,100.5,101.95,163046,False,0,,False
2020-03-20 00:00:00+05:30,105.15,119.9,102.35,114.1,286735,False,0,,False
2020-03-23 00:00:00+05:30,105.0,109.85,99.05,102.85,124152,False,0,,False
2020-03-24 00:00:00+05:30,109.0,109.0,99.0,99.7,92354,False,0,,False
2020-03-25 00:00:00+05:30,98.0,101.7,95.6,100.05,82935,False,0,,False
2020-03-26 00:00:00+05:30,99.65,111.45,98.0,105.15,134819,False,0,,False
2020-03-27 00:00:00+05:30,109.85,114.3,103.6,104.35,155503,False,0,,False
2020-03-30 00:00:00+05:30,103.9,111.9,103.2,110.0,258144,False,0,,False
2020-03-31 00:00:00+05:30,110.0,118.9,110.0,118.05,402376,False,0,,False
2020-04-01 00:00:00+05:30,115.0,116.85,112.0,113.6,55067,False,0,,False
2020-04-03 00:00:00+05:30,115.0,115.0,107.05,110.4,59314,False,0,,False
2020-04-07 00:00:00+05:30,114.25,115.35,110.4,112.4,44718,False,0,,False
2020-04-08 00:00:00+05:30,112.0,121.4,111.5,117.95,143230,False,0,,False
2020-04-09 00:00:00+05:30,118.2,122.5,117.15,117.7,53881,False,0,,False
2020-04-13 00:00:00+05:30,119.8,127.45,111.25,112.9,322518,False,0,,False
2020-04-15 00:00:00+05:30,117.9,117.9,109.0,110.3,565742,False,0,,False
2020-04-16 00:00:00+05:30,112.0,114.0,109.5,112.85,111694,False,0,,False
2020-04-17 00:00:00+05:30,115.05,118.75,113.95,117.55,168347,False,0,,False
2020-04-20 00:00:00+05:30,119.35,124.5,116.0,121.0,203014,False,0,,False
2020-04-21 00:00:00+05:30,119.5,126.0,114.0,120.15,331372,False,0,,False
2020-04-22 00:00:00+05:30,119.3,122.05,116.0,117.1,150366,False,0,,False
2020-04-23 00:00:00+05:30,119.0,119.7,116.1,116.6,84497,False,0,,False
2020-04-24 00:00:00+05:30,116.5,116.5,109.35,110.55,95894,False,0,,False
2020-04-27 00:00:00+05:30,111.0,114.0,111.0,112.8,96999,False,0,,False
2020-04-28 00:00:00+05:30,113.8,118.0,112.5,117.25,164988,False,0,,False
2020-04-29 00:00:00+05:30,118.6,128.8,117.65,122.0,539399,False,0,174.07,False
2020-04-30 00:00:00+05:30,124.5,126.15,116.15,120.5,259909,False,0,172.27450000000002,False
2020-05-04 00:00:00+05:30,115.0,118.35,114.2,117.45,168196,False,0,170.47299999999998,False
2020-05-05 00:00:00+05:30,118.0,120.95,114.5,116.2,154438,False,0,168.892,False
