Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,56.3,57.5,55.0,55.3,119446,False,0,,False
2008-04-01 00:00:00+05:30,56.4,56.5,55.1,56.0,94002,False,0,,False
2008-04-02 00:00:00+05:30,58.2,60.7,57.0,57.45,69253,False,0,,False
2008-04-03 00:00:00+05:30,57.05,59.0,56.1,58.1,22488,False,0,,False
2008-04-04 00:00:00+05:30,58.25,58.5,53.75,54.2,34573,False,0,,False
2008-04-07 00:00:00+05:30,55.4,56.95,54.25,55.95,80426,False,0,,False
2008-04-08 00:00:00+05:30,56.7,56.75,55.0,55.15,53801,False,0,,False
2008-04-09 00:00:00+05:30,56.25,57.25,55.1,56.5,53244,False,0,,False
2008-04-10 00:00:00+05:30,56.85,58.4,56.8,58.05,37999,False,0,,False
2008-04-11 00:00:00+05:30,57.3,59.0,57.15,58.1,23097,False,0,,False
2008-04-15 00:00:00+05:30,58.7,59.5,56.6,58.85,29722,False,0,,False
2008-04-16 00:00:00+05:30,59.8,64.0,59.5,61.4,67081,False,0,,False
2008-04-17 00:00:00+05:30,63.0,64.9,62.0,64.35,68919,False,0,,False
2008-04-21 00:00:00+05:30,64.0,72.0,63.95,65.5,58013,False,0,,False
2008-04-22 00:00:00+05:30,64.0,67.8,63.25,64.9,31993,False,0,,False
2008-04-23 00:00:00+05:30,66.7,67.8,65.5,67.35,96676,False,0,,False
2008-04-24 00:00:00+05:30,68.0,72.8,68.0,68.55,275062,False,0,,False
2008-04-25 00:00:00+05:30,71.0,71.1,66.55,67.85,64907,False,0,,False
2008-04-28 00:00:00+05:30,71.0,71.95,68.6,69.95,75403,False,0,,False
2008-04-29 00:00:00+05:30,70.0,73.0,69.4,72.05,131112,False,0,,False
2008-04-30 00:00:00+05:30,73.0,73.0,70.0,72.0,92470,False,0,,False
2008-05-02 00:00:00+05:30,71.25,72.5,68.1,68.95,72081,False,0,,False
2008-05-05 00:00:00+05:30,69.25,71.0,68.25,69.8,28686,False,0,,False
2008-05-06 00:00:00+05:30,71.75,71.75,66.5,67.1,46226,False,0,,False
2008-05-07 00:00:00+05:30,68.0,68.0,66.65,67.1,56183,False,0,,False
2008-05-08 00:00:00+05:30,67.5,67.5,65.0,65.8,36998,False,0,,False
2008-05-09 00:00:00+05:30,66.35,66.55,63.15,63.4,46319,False,0,,False
2008-05-12 00:00:00+05:30,64.0,65.0,62.25,63.65,40882,False,0,,False
2008-05-13 00:00:00+05:30,67.15,75.5,66.0,66.95,170170,False,0,,False
2008-05-14 00:00:00+05:30,67.4,68.5,65.5,67.05,91300,False,0,,False
2008-05-15 00:00:00+05:30,67.0,71.25,61.75,69.45,97920,False,0,,False
2008-05-16 00:00:00+05:30,70.0,70.55,68.25,69.0,31271,False,0,,False
2008-05-20 00:00:00+05:30,68.2,68.9,67.6,68.05,20826,False,0,,False
2008-05-21 00:00:00+05:30,67.5,70.75,66.5,69.35,35028,False,0,,False
2008-05-22 00:00:00+05:30,66.0,69.5,66.0,67.6,25540,False,0,,False
2008-05-23 00:00:00+05:30,67.0,69.5,66.05,66.55,13504,False,0,,False
2008-05-26 00:00:00+05:30,67.0,67.0,63.1,63.55,17874,False,0,,False
2008-05-27 00:00:00+05:30,64.9,65.5,61.0,61.85,21704,False,0,,False
2008-05-28 00:00:00+05:30,62.1,64.5,61.6,62.95,36675,False,0,,False
2008-05-29 00:00:00+05:30,63.8,63.8,62.15,62.6,17806,False,0,,False
2008-05-30 00:00:00+05:30,62.0,64.0,61.1,61.6,20051,False,0,,False
2008-06-02 00:00:00+05:30,61.2,62.7,59.4,61.95,59538,False,0,,False
2008-06-03 00:00:00+05:30,60.1,61.75,60.0,61.4,25443,False,0,,False
2008-06-04 00:00:00+05:30,62.0,62.35,59.4,61.2,114889,False,0,,False
2008-06-05 00:00:00+05:30,60.05,64.0,59.15,62.2,33587,False,0,,False
2008-06-06 00:00:00+05:30,62.5,62.5,61.05,61.95,20619,False,0,,False
2008-06-09 00:00:00+05:30,59.0,59.5,55.25,58.55,34827,False,0,,False
2008-06-10 00:00:00+05:30,57.2,59.5,57.15,59.05,54081,False,0,,False
2008-06-11 00:00:00+05:30,59.5,61.5,59.0,60.75,25925,False,0,,False
2008-06-12 00:00:00+05:30,58.0,60.5,58.0,60.0,14589,False,0,,False
2008-06-13 00:00:00+05:30,61.15,62.95,58.5,59.2,33890,False,0,,False
2008-06-16 00:00:00+05:30,60.0,61.5,60.0,61.25,26193,False,0,,False
2008-06-17 00:00:00+05:30,61.8,62.95,61.25,62.25,29340,False,0,,False
2008-06-18 00:00:00+05:30,61.5,64.25,61.5,64.0,31631,False,0,,False
2008-06-19 00:00:00+05:30,61.25,63.8,61.25,62.5,15720,False,0,,False
2008-06-20 00:00:00+05:30,61.6,63.6,58.65,59.05,33717,False,0,,False
2008-06-23 00:00:00+05:30,59.0,59.0,55.0,55.6,35406,False,0,,False
