Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2015-11-06 00:00:00+05:30,70.5,73.4,67.0,70.4,22781516,False,0,,False
2015-11-09 00:00:00+05:30,67.75,68.0,66.9,66.95,10010231,False,0,,False
2015-11-10 00:00:00+05:30,66.5,66.5,64.1,64.55,10736961,False,0,,False
2015-11-11 00:00:00+05:30,65.0,66.5,65.0,66.3,832405,False,0,,False
2015-11-13 00:00:00+05:30,65.85,65.85,63.0,63.5,6771668,False,0,,False
2015-11-16 00:00:00+05:30,63.45,65.5,62.0,65.0,5640610,False,0,,False
2015-11-17 00:00:00+05:30,65.0,65.9,64.1,64.7,4900495,False,0,,False
2015-11-18 00:00:00+05:30,65.0,66.05,64.1,65.2,2689568,False,0,,False
2015-11-19 00:00:00+05:30,65.95,66.0,63.55,63.85,1688327,False,0,,False
2015-11-20 00:00:00+05:30,63.55,66.0,63.5,65.2,2689835,False,0,,False
2015-11-23 00:00:00+05:30,66.4,66.9,63.5,63.8,5389969,False,0,,False
2015-11-24 00:00:00+05:30,63.5,64.4,62.5,62.95,3965947,False,0,,False
2015-11-26 00:00:00+05:30,62.9,63.4,61.5,61.65,3270314,False,0,,False
2015-11-27 00:00:00+05:30,62.25,62.5,60.6,61.0,11891846,False,0,,False
2015-11-30 00:00:00+05:30,61.0,61.3,58.8,59.1,14279742,False,0,,False
2015-12-01 00:00:00+05:30,59.5,61.0,59.25,60.0,8080475,False,0,,False
2015-12-02 00:00:00+05:30,60.2,61.75,59.9,60.3,3469139,False,0,,False
2015-12-03 00:00:00+05:30,60.25,61.0,60.0,60.55,1759788,False,0,,False
2015-12-04 00:00:00+05:30,60.4,60.95,60.1,60.5,2315577,False,0,,False
2015-12-07 00:00:00+05:30,60.15,60.9,59.2,59.45,2506784,False,0,,False
2015-12-08 00:00:00+05:30,59.5,59.7,57.5,57.7,5021161,False,0,,False
2015-12-09 00:00:00+05:30,57.5,57.75,54.9,56.85,3845559,False,0,,False
2015-12-10 00:00:00+05:30,56.85,57.45,54.9,56.85,4065888,False,0,,False
2015-12-11 00:00:00+05:30,57.5,57.9,55.1,55.3,2150514,False,0,,False
2015-12-14 00:00:00+05:30,55.1,56.0,54.05,55.75,2469970,False,0,,False
2015-12-15 00:00:00+05:30,56.4,56.4,55.05,55.5,1200925,False,0,,False
2015-12-16 00:00:00+05:30,56.3,56.7,55.5,56.05,2565897,False,0,,False
2015-12-17 00:00:00+05:30,56.75,59.8,56.35,58.05,4120544,False,0,,False
2015-12-18 00:00:00+05:30,57.9,58.8,56.8,58.4,1948073,False,0,,False
2015-12-21 00:00:00+05:30,58.1,58.5,57.05,57.45,2030444,False,0,,False
2015-12-22 00:00:00+05:30,58.35,59.5,57.3,59.3,3471327,False,0,,False
2015-12-23 00:00:00+05:30,59.95,61.45,59.0,59.3,3113367,False,0,,False
