Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2018-09-28 00:00:00+05:30,41.2,46.5,40.91,41.53,56754789,False,0,,False
2018-10-01 00:00:00+05:30,41.81,43.49,40.66,42.7,12456740,False,0,,False
2018-10-03 00:00:00+05:30,43.14,43.79,41.86,42.14,2794210,False,0,,False
2018-10-04 00:00:00+05:30,41.9,41.9,40.4,40.71,2319470,False,0,,False
2018-10-05 00:00:00+05:30,40.7,40.91,38.83,39.98,3730960,False,0,,False
2018-10-08 00:00:00+05:30,39.8,40.0,38.0,38.21,1342490,False,0,,False
2018-10-09 00:00:00+05:30,38.25,38.63,35.5,36.37,2501240,False,0,,False
2018-10-10 00:00:00+05:30,36.7,38.44,35.67,36.51,6798860,False,0,,False
2018-10-11 00:00:00+05:30,35.98,37.31,35.01,36.1,1916510,False,0,,False
2018-10-12 00:00:00+05:30,37.1,37.34,36.21,36.8,2583690,False,0,,False
2018-10-15 00:00:00+05:30,37.4,37.88,36.86,37.54,2276750,False,0,,False
2018-10-16 00:00:00+05:30,37.84,39.2,37.2,37.94,2337240,False,0,,False
2018-10-17 00:00:00+05:30,38.48,38.48,36.56,36.76,1093220,False,0,,False
2018-10-19 00:00:00+05:30,36.71,36.71,36.0,36.18,592790,False,0,,False
2018-10-22 00:00:00+05:30,36.39,36.49,35.5,35.58,504100,False,0,,False
2018-10-23 00:00:00+05:30,35.58,35.58,34.61,34.79,608810,False,0,,False
2018-10-24 00:00:00+05:30,35.3,35.46,34.4,34.55,542600,False,0,,False
2018-10-25 00:00:00+05:30,34.38,34.94,33.8,34.27,533430,False,0,,False
2018-10-26 00:00:00+05:30,34.32,35.3,34.1,34.66,609980,False,0,,False
2018-10-29 00:00:00+05:30,35.0,35.19,34.5,34.86,555570,False,0,,False
2018-10-30 00:00:00+05:30,35.09,35.75,34.71,34.84,775930,False,0,,False
2018-10-31 00:00:00+05:30,35.09,35.18,34.46,34.74,402280,False,0,,False
2018-11-01 00:00:00+05:30,34.91,36.2,34.7,35.64,1428620,False,0,,False
2018-11-02 00:00:00+05:30,36.06,37.12,35.87,36.09,1817650,False,0,,False
2018-11-05 00:00:00+05:30,36.3,36.9,36.2,36.6,846760,False,0,,False
2018-11-06 00:00:00+05:30,37.0,37.0,36.2,36.4,400270,False,0,,False
2018-11-07 00:00:00+05:30,36.74,37.35,36.4,37.14,998210,False,0,,False
2018-11-09 00:00:00+05:30,37.35,39.0,37.21,38.53,1339580,False,0,,False
2018-11-12 00:00:00+05:30,38.88,41.77,38.85,40.76,3093990,False,0,,False
2018-11-13 00:00:00+05:30,40.7,41.98,40.4,41.56,2835460,False,0,,False
2018-11-14 00:00:00+05:30,42.5,42.5,40.8,42.12,5104280,False,0,,False
2018-11-15 00:00:00+05:30,42.42,43.18,41.5,42.24,3013280,False,0,,False
2018-11-16 00:00:00+05:30,42.13,42.7,41.21,41.5,1020990,False,0,,False
2018-11-19 00:00:00+05:30,41.5,41.78,40.68,41.01,428790,False,0,,False
2018-11-20 00:00:00+05:30,40.8,41.38,40.0,40.19,487070,False,0,,False
2018-11-21 00:00:00+05:30,40.2,40.67,39.61,39.83,553000,False,0,,False
2018-11-22 00:00:00+05:30,39.97,40.2,38.7,38.88,382280,False,0,,False
2018-11-26 00:00:00+05:30,39.0,39.75,37.7,38.93,652190,False,0,,False
2018-11-27 00:00:00+05:30,38.5,41.1,38.5,40.85,1075300,False,0,,False
2018-11-28 00:00:00+05:30,41.0,42.6,41.0,42.36,2181410,False,0,,False
2018-11-29 00:00:00+05:30,42.5,43.49,41.8,42.78,1558590,False,0,,False
2018-11-30 00:00:00+05:30,42.8,43.1,42.26,42.98,671360,False,0,,False
2018-12-03 00:00:00+05:30,43.2,43.89,42.8,43.27,747750,False,0,,False
2018-12-04 00:00:00+05:30,43.3,43.3,42.13,42.6,384850,False,0,,False
2018-12-05 00:00:00+05:30,42.2,43.9,42.2,43.45,2392250,False,0,,False
2018-12-06 00:00:00+05:30,43.39,43.96,42.25,43.12,1957360,False,0,,False
2018-12-07 00:00:00+05:30,43.35,43.75,42.65,43.0,1430550,False,0,,False
2018-12-10 00:00:00+05:30,41.8,42.6,41.47,41.63,1405660,False,0,,False
2018-12-11 00:00:00+05:30,41.21,42.3,40.36,41.59,504350,False,0,,False
2018-12-12 00:00:00+05:30,42.0,43.0,41.73,42.49,470100,False,0,,False
2018-12-13 00:00:00+05:30,42.99,43.29,42.3,42.41,355890,False,0,,False
2018-12-14 00:00:00+05:30,42.21,43.05,42.06,42.53,341790,False,0,,False
2018-12-17 00:00:00+05:30,43.0,47.1,42.7,45.88,14942450,False,0,,False
2018-12-18 00:00:00+05:30,45.64,46.88,45.33,46.35,5027330,False,0,,False
2018-12-19 00:00:00+05:30,46.53,46.77,45.72,45.97,1631520,False,0,,False
2018-12-20 00:00:00+05:30,45.5,46.6,44.87,45.43,1504100,False,0,,False
2018-12-21 00:00:00+05:30,45.2,45.71,44.46,44.76,971370,False,0,,False
2018-12-24 00:00:00+05:30,44.76,44.9,43.62,43.72,539850,False,0,,False
2018-12-26 00:00:00+05:30,43.5,44.8,42.6,44.37,1146320,False,0,,False
2018-12-27 00:00:00+05:30,44.4,45.49,44.09,45.26,982390,False,0,,False
2018-12-28 00:00:00+05:30,45.26,45.94,45.08,45.36,564860,False,0,,False
2018-12-31 00:00:00+05:30,45.5,45.9,44.5,44.56,600840,False,0,,False
2019-01-01 00:00:00+05:30,44.74,45.3,44.31,44.72,408220,False,0,,False
2019-01-02 00:00:00+05:30,44.51,44.99,43.6,43.75,374730,False,0,,False
2019-01-03 00:00:00+05:30,43.8,44.16,42.66,42.81,628230,False,0,,False
2019-01-04 00:00:00+05:30,43.0,43.28,42.05,42.17,579540,False,0,,False
2019-01-07 00:00:00+05:30,42.5,43.19,41.51,41.67,630120,False,0,,False
2019-01-08 00:00:00+05:30,41.7,41.93,41.16,41.27,472630,False,0,,False
2019-01-09 00:00:00+05:30,41.4,42.21,41.16,41.26,710080,False,0,,False
2019-01-10 00:00:00+05:30,41.27,42.18,41.2,41.4,636240,False,0,,False
2019-01-11 00:00:00+05:30,41.88,42.18,41.36,41.65,759920,False,0,,False
2019-01-14 00:00:00+05:30,41.41,41.9,41.06,41.33,416450,False,0,,False
2019-01-15 00:00:00+05:30,41.4,41.57,40.82,41.09,582950,False,0,,False
