Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,253.41,253.41,245.08,248.0,8358,False,0,,False
2008-04-01 00:00:00+05:30,201.85,254.81,201.85,250.42,17423,False,0,,False
2008-04-02 00:00:00+05:30,257.19,257.19,248.22,254.5,10257,False,0,,False
2008-04-03 00:00:00+05:30,257.15,257.15,248.94,254.12,4653,False,0,,False
2008-04-04 00:00:00+05:30,256.81,257.19,251.14,256.7,231759,False,0,,False
2008-04-07 00:00:00+05:30,264.75,264.75,254.2,255.41,28954,False,0,,False
2008-04-08 00:00:00+05:30,257.19,260.97,256.43,257.19,210053,False,0,,False
2008-04-09 00:00:00+05:30,255.75,262.41,255.75,261.5,92330,False,0,,False
2008-04-10 00:00:00+05:30,264.64,264.75,257.19,261.27,131284,False,0,,False
2008-04-11 00:00:00+05:30,268.53,272.24,264.0,269.97,129282,False,0,,False
2008-04-15 00:00:00+05:30,272.32,272.32,264.0,264.98,34837,False,0,,False
2008-04-16 00:00:00+05:30,270.77,271.48,264.83,267.29,15709,False,0,,False
2008-04-17 00:00:00+05:30,270.65,275.34,268.61,272.88,14122,False,0,,False
2008-04-21 00:00:00+05:30,302.57,302.57,266.3,271.75,33897,False,0,,False
2008-04-22 00:00:00+05:30,273.83,286.69,272.39,278.41,136475,False,0,,False
2008-04-23 00:00:00+05:30,281.39,281.39,264.15,272.05,138931,False,0,,False
2008-04-24 00:00:00+05:30,272.39,280.56,272.39,276.59,72569,False,0,,False
2008-04-25 00:00:00+05:30,281.24,283.66,272.32,280.52,68176,False,0,,False
2008-04-28 00:00:00+05:30,281.39,287.45,277.73,280.56,38488,False,0,,False
2008-04-29 00:00:00+05:30,283.28,284.42,279.88,283.78,437851,False,0,,False
2008-04-30 00:00:00+05:30,288.81,288.81,276.93,278.44,31685,False,0,,False
2008-05-02 00:00:00+05:30,283.66,294.59,280.07,289.6,116479,False,0,,False
2008-05-05 00:00:00+05:30,289.71,291.98,286.69,288.84,42323,False,0,,False
