Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2010-10-18 00:00:00+05:30,119.0,142.55,106.35,112.9,16224090,False,0,,False
2010-10-19 00:00:00+05:30,113.5,133.0,101.0,127.45,16883041,False,0,,False
2010-10-20 00:00:00+05:30,121.0,138.0,121.0,127.5,6878421,False,0,,False
2010-10-21 00:00:00+05:30,123.65,130.2,120.4,122.35,2666531,False,0,,False
2010-10-22 00:00:00+05:30,125.0,125.0,115.0,117.65,988287,False,0,,False
2010-10-25 00:00:00+05:30,118.3,118.3,110.0,112.9,878196,False,0,,False
2010-10-26 00:00:00+05:30,114.0,117.0,111.0,111.9,402867,False,0,,False
2010-10-27 00:00:00+05:30,112.5,114.9,106.35,108.05,243276,False,0,,False
2010-10-28 00:00:00+05:30,109.0,112.9,106.15,108.1,362029,False,0,,False
2010-10-29 00:00:00+05:30,108.1,109.55,106.4,108.05,135661,False,0,,False
2010-11-01 00:00:00+05:30,109.75,110.0,105.05,106.8,152132,False,0,,False
2010-11-02 00:00:00+05:30,106.1,110.0,103.05,107.5,161274,False,0,,False
2010-11-03 00:00:00+05:30,108.0,108.85,103.0,104.8,71923,False,0,,False
2010-11-04 00:00:00+05:30,103.5,105.5,102.05,102.55,68194,False,0,,False
2010-11-05 00:00:00+05:30,112.0,113.5,104.0,110.85,169811,False,0,,False
2010-11-08 00:00:00+05:30,115.0,124.9,110.05,116.85,617736,False,0,,False
2010-11-09 00:00:00+05:30,117.8,120.0,112.1,113.3,149369,False,0,,False
2010-11-10 00:00:00+05:30,114.5,120.0,112.2,115.95,224193,False,0,,False
2010-11-11 00:00:00+05:30,116.55,118.0,112.5,114.2,98994,False,0,,False
2010-11-12 00:00:00+05:30,113.0,114.8,104.35,108.0,101340,False,0,,False
2010-11-15 00:00:00+05:30,108.25,113.4,106.1,111.95,98473,False,0,,False
2010-11-16 00:00:00+05:30,112.2,114.3,99.0,101.75,313378,False,0,,False
2010-11-18 00:00:00+05:30,103.05,105.45,97.25,102.15,111705,False,0,,False
2010-11-19 00:00:00+05:30,104.0,106.75,101.4,102.25,124961,False,0,,False
2010-11-22 00:00:00+05:30,103.0,104.9,92.2,103.3,58827,False,0,,False
2010-11-23 00:00:00+05:30,102.5,103.4,96.1,101.45,56203,False,0,,False
2010-11-24 00:00:00+05:30,103.25,104.8,100.0,101.65,40447,False,0,,False
2010-11-25 00:00:00+05:30,98.0,106.25,97.55,99.35,122718,False,0,,False
2010-11-26 00:00:00+05:30,99.25,102.0,87.1,91.6,101773,False,0,,False
2010-11-29 00:00:00+05:30,90.9,92.45,88.0,90.0,32202,False,0,,False
2010-11-30 00:00:00+05:30,88.95,96.8,88.2,93.35,98472,False,0,,False
2010-12-01 00:00:00+05:30,90.0,90.1,74.7,74.7,567847,False,0,,False
2010-12-02 00:00:00+05:30,70.05,70.05,59.8,59.8,197342,False,0,,False
2010-12-03 00:00:00+05:30,53.85,53.85,53.85,53.85,28941,False,0,,False
2010-12-06 00:00:00+05:30,48.6,48.6,48.5,48.5,21027,False,0,,False
2010-12-07 00:00:00+05:30,43.65,51.2,43.65,44.35,1029127,False,0,,False
2010-12-08 00:00:00+05:30,42.25,45.95,42.15,44.8,417556,False,0,,False
2010-12-09 00:00:00+05:30,45.2,46.0,42.6,42.6,140505,False,0,,False
2010-12-10 00:00:00+05:30,42.4,43.95,40.5,43.5,216932,False,0,,False
