Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,22.24,25.61,22.24,24.82,1554479,False,0,,False
2008-04-01 00:00:00+05:30,24.78,24.78,23.33,23.39,1150,False,0,,False
2008-04-02 00:00:00+05:30,21.58,24.68,21.58,22.51,6930,False,0,,False
2008-04-03 00:00:00+05:30,22.5,23.13,22.5,22.71,4630,False,0,,False
2008-04-04 00:00:00+05:30,23.13,23.13,21.97,23.02,4358,False,0,,False
2008-04-07 00:00:00+05:30,21.65,23.12,21.65,23.06,7384,False,0,,False
2008-04-08 00:00:00+05:30,22.33,23.03,21.97,22.22,11259,False,0,,False
2008-04-09 00:00:00+05:30,22.17,23.05,21.82,22.0,11773,False,0,,False
2008-04-10 00:00:00+05:30,22.96,22.96,21.81,21.97,6416,False,0,,False
2008-04-11 00:00:00+05:30,22.04,22.14,21.81,21.81,7929,False,0,,False
2008-04-15 00:00:00+05:30,22.63,25.11,22.17,23.02,46489,False,0,,False
2008-04-16 00:00:00+05:30,22.61,23.04,21.56,22.37,14376,False,0,,False
2008-04-17 00:00:00+05:30,23.09,23.09,21.69,22.07,18734,False,0,,False
2008-04-21 00:00:00+05:30,22.2,22.83,22.2,22.55,4993,False,0,,False
2008-04-22 00:00:00+05:30,22.17,22.8,21.97,22.76,49606,False,0,,False
2008-04-23 00:00:00+05:30,22.78,22.83,22.63,22.63,11259,False,0,,False
2008-04-24 00:00:00+05:30,22.8,22.8,22.63,22.63,907,False,0,,False
2008-04-25 00:00:00+05:30,22.63,22.63,22.2,22.28,3480,False,0,,False
2008-04-28 00:00:00+05:30,22.2,23.03,22.2,22.92,16646,False,0,,False
2008-04-29 00:00:00+05:30,22.54,23.13,22.54,22.63,2542,False,0,,False
2008-04-30 00:00:00+05:30,22.53,23.08,22.53,22.83,11924,False,0,,False
2008-05-02 00:00:00+05:30,25.11,25.11,22.8,23.05,13619,False,0,,False
2008-05-05 00:00:00+05:30,23.09,23.46,22.87,22.96,14830,False,0,,False
2008-05-06 00:00:00+05:30,23.13,23.13,22.14,22.74,2663,False,0,,False
2008-05-07 00:00:00+05:30,22.5,23.03,22.5,22.6,2451,False,0,,False
2008-05-08 00:00:00+05:30,21.09,23.03,21.09,22.28,9776,False,0,,False
2008-05-09 00:00:00+05:30,22.21,22.63,22.14,22.32,11047,False,0,,False
2008-05-12 00:00:00+05:30,21.56,22.2,21.48,22.06,3117,False,0,,False
2008-05-13 00:00:00+05:30,22.53,22.72,21.84,21.94,7899,False,0,,False
2008-05-14 00:00:00+05:30,21.21,22.47,20.92,22.13,7445,False,0,,False
2008-05-15 00:00:00+05:30,21.59,22.02,21.59,21.71,22185,False,0,,False
2008-05-16 00:00:00+05:30,22.37,22.37,21.61,22.05,1180,False,0,,False
2008-05-20 00:00:00+05:30,22.1,23.01,21.82,22.77,34533,False,0,,False
2008-05-21 00:00:00+05:30,22.97,23.13,22.6,23.02,14104,False,0,,False
2008-05-22 00:00:00+05:30,21.2,27.63,21.2,23.24,24848,True,1,,False
2008-05-23 00:00:00+05:30,23.46,23.46,22.67,22.69,17705,True,1,,False
2008-05-26 00:00:00+05:30,22.8,22.86,22.3,22.53,9594,True,1,,False
2008-05-27 00:00:00+05:30,21.81,23.03,21.81,22.38,12984,True,1,,False
2008-05-28 00:00:00+05:30,21.88,23.79,20.93,23.1,47699,True,1,,False
2008-05-29 00:00:00+05:30,23.12,23.12,22.54,22.54,726,True,1,,False
2008-05-30 00:00:00+05:30,22.47,23.13,22.47,22.76,12288,True,1,,False
2008-06-02 00:00:00+05:30,22.47,22.79,21.97,21.97,6083,True,1,,False
2008-06-03 00:00:00+05:30,21.29,22.21,21.29,22.1,2512,True,1,,False
2008-06-04 00:00:00+05:30,21.58,21.97,21.31,21.97,1543,True,1,,False
2008-06-05 00:00:00+05:30,21.48,21.48,21.15,21.4,3238,True,1,,False
2008-06-06 00:00:00+05:30,21.81,21.81,21.31,21.31,1483,True,1,,False
2008-06-09 00:00:00+05:30,20.83,21.44,20.83,20.87,4691,True,1,,False
2008-06-10 00:00:00+05:30,20.88,21.64,20.85,21.62,5569,True,1,,False
2008-06-11 00:00:00+05:30,20.92,23.79,20.91,22.84,23970,True,1,,False
2008-06-12 00:00:00+05:30,21.81,21.97,21.54,21.76,6598,True,1,,False
2008-06-13 00:00:00+05:30,21.48,21.48,20.98,21.05,16374,True,1,,False
2008-06-16 00:00:00+05:30,21.48,21.58,21.22,21.58,2723,True,1,,False
2008-06-17 00:00:00+05:30,21.44,21.77,21.38,21.4,23395,True,1,,False
2008-06-18 00:00:00+05:30,21.6,21.74,21.08,21.74,14679,True,1,,False
2008-06-19 00:00:00+05:30,21.34,21.34,21.31,21.34,4842,True,1,,False
2008-06-20 00:00:00+05:30,21.15,21.28,20.58,20.59,3843,True,1,,False
2008-06-23 00:00:00+05:30,20.44,21.11,20.44,20.45,69279,True,1,,False
2008-06-24 00:00:00+05:30,20.53,21.77,20.42,20.5,46065,True,1,,False
2008-06-25 00:00:00+05:30,20.42,21.28,20.42,21.14,75968,True,1,,False
2008-06-26 00:00:00+05:30,22.3,22.3,20.42,20.45,10835,True,1,,False
2008-06-27 00:00:00+05:30,17.84,21.14,17.84,20.2,67100,True,1,,False
2008-06-30 00:00:00+05:30,20.01,20.65,20.01,20.46,43280,True,1,,False
2008-07-01 00:00:00+05:30,20.15,20.48,20.15,20.15,46791,True,1,,False
2008-07-02 00:00:00+05:30,20.2,20.48,20.03,20.3,84140,True,1,,False
2008-07-03 00:00:00+05:30,19.91,20.32,19.91,20.32,45611,True,1,,False
2008-07-04 00:00:00+05:30,19.82,20.31,19.82,19.89,6628,True,1,,False
2008-07-07 00:00:00+05:30,19.92,20.48,19.92,20.11,22941,True,1,,False
2008-07-08 00:00:00+05:30,20.29,20.42,20.04,20.42,26240,True,1,,False
2008-07-09 00:00:00+05:30,20.42,20.82,20.34,20.44,24606,True,1,,False
2008-07-10 00:00:00+05:30,21.37,21.37,20.48,20.82,61228,True,1,,False
2008-07-11 00:00:00+05:30,20.2,20.79,20.2,20.42,10108,True,1,,False
2008-07-14 00:00:00+05:30,20.25,20.25,20.25,20.25,2118,True,1,,False
2008-07-15 00:00:00+05:30,19.82,20.42,19.82,20.39,56840,True,1,,False
2008-07-16 00:00:00+05:30,20.48,20.48,20.22,20.34,72487,True,1,,False
2008-07-17 00:00:00+05:30,21.47,21.47,20.33,20.34,5901,True,1,,False
2008-07-18 00:00:00+05:30,20.4,20.48,20.34,20.34,2633,True,1,,False
2008-07-21 00:00:00+05:30,20.09,21.04,20.09,20.43,13619,True,1,,False
2008-07-22 00:00:00+05:30,20.19,20.27,20.15,20.15,1029,True,1,,False
2008-07-23 00:00:00+05:30,20.42,20.42,20.29,20.32,45581,True,1,,False
2008-07-24 00:00:00+05:30,19.99,20.32,19.99,19.99,3029751,True,1,,False
2008-07-25 00:00:00+05:30,20.32,20.81,20.3,20.36,3662,True,1,,False
2008-07-28 00:00:00+05:30,20.36,21.28,20.24,20.47,53480,True,1,,False
2008-07-29 00:00:00+05:30,20.45,20.45,20.19,20.19,1361,True,1,,False
2008-07-30 00:00:00+05:30,20.12,20.3,20.12,20.3,1210,True,1,,False
2008-07-31 00:00:00+05:30,20.48,21.01,20.22,20.86,14225,True,1,,False
2008-08-01 00:00:00+05:30,20.17,20.91,20.17,20.24,20006,True,1,,False
2008-08-04 00:00:00+05:30,20.04,20.44,20.02,20.27,24092,True,1,,False
2008-08-05 00:00:00+05:30,20.26,20.29,20.16,20.19,5569,True,1,,False
2008-08-06 00:00:00+05:30,20.22,22.4,20.17,20.27,3813,True,1,,False
2008-08-07 00:00:00+05:30,20.17,20.32,20.12,20.28,13044,True,1,,False
2008-08-08 00:00:00+05:30,20.32,22.43,20.32,21.19,45611,True,1,,False
2008-08-11 00:00:00+05:30,20.52,20.82,20.37,20.43,17130,True,1,,False
2008-08-12 00:00:00+05:30,20.58,20.58,20.42,20.42,9352,True,1,,False
2008-08-13 00:00:00+05:30,20.55,20.6,20.45,20.52,4600,True,1,,False
2008-08-14 00:00:00+05:30,20.43,20.73,20.42,20.42,19037,True,1,,False
2008-08-18 00:00:00+05:30,20.42,20.48,20.42,20.48,1573,True,1,,False
2008-08-19 00:00:00+05:30,20.45,20.55,20.44,20.55,332,True,1,,False
2008-08-20 00:00:00+05:30,22.76,22.76,20.47,20.74,3510,True,1,,False
2008-08-21 00:00:00+05:30,20.15,20.78,20.06,20.45,5054,True,1,,False
2008-08-22 00:00:00+05:30,20.04,20.58,20.04,20.07,1694,True,1,21.4793,False
2008-08-25 00:00:00+05:30,20.32,20.48,20.15,20.17,7445,True,1,21.432799999999997,False
2008-08-26 00:00:00+05:30,20.15,20.65,20.15,20.26,5690,True,1,21.401500000000002,False
2008-08-27 00:00:00+05:30,20.62,20.62,20.22,20.22,7294,True,1,21.378600000000002,False
2008-08-28 00:00:00+05:30,20.12,20.48,20.12,20.38,8746,True,1,21.355300000000003,False
2008-08-29 00:00:00+05:30,20.78,21.08,20.15,20.82,32748,True,1,21.333300000000005,False
2008-09-01 00:00:00+05:30,20.42,20.42,20.42,20.42,6174,True,1,21.306899999999995,False
2008-09-02 00:00:00+05:30,20.03,20.91,20.03,20.45,2966,True,1,21.2892,False
2008-09-04 00:00:00+05:30,20.16,20.48,20.16,20.48,20066,True,1,21.274,False
2008-09-05 00:00:00+05:30,20.16,20.42,20.16,20.42,514,True,1,21.258500000000005,False
2008-09-08 00:00:00+05:30,20.48,20.61,20.37,20.37,6870,True,1,21.2441,False
2008-09-09 00:00:00+05:30,20.35,20.48,20.35,20.48,302,True,1,21.2187,False
2008-09-10 00:00:00+05:30,19.82,20.78,19.82,20.22,3035381,True,1,21.1972,False
2008-09-11 00:00:00+05:30,20.22,20.81,20.02,20.41,3030054,True,1,21.180600000000005,False
2008-09-12 00:00:00+05:30,20.48,20.65,20.19,20.52,12651,True,1,21.160300000000003,False
2008-09-15 00:00:00+05:30,20.15,20.15,18.83,19.13,37348,True,1,21.123999999999995,False
2008-09-16 00:00:00+05:30,18.5,19.16,18.35,18.94,5175,True,1,21.0871,False
2008-09-17 00:00:00+05:30,20.15,20.15,19.0,19.81,4691,True,1,21.058899999999998,False
2008-09-18 00:00:00+05:30,19.3,19.43,19.16,19.43,1604,True,1,21.0304,False
2008-09-19 00:00:00+05:30,19.23,19.69,19.23,19.3,907,True,1,20.9942,False
