Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,8.4,8.6,8.2,8.46,304489,False,0,,False
2008-04-01 00:00:00+05:30,8.0,9.7,8.0,9.27,512929,False,0,,False
2008-04-02 00:00:00+05:30,9.62,9.98,9.1,9.33,180459,False,0,,False
2008-04-03 00:00:00+05:30,9.1,9.29,8.86,8.94,82859,False,0,,False
2008-04-04 00:00:00+05:30,9.0,10.3,8.62,9.24,750109,False,0,,False
2008-04-07 00:00:00+05:30,9.6,9.65,9.0,9.23,113159,False,0,,False
2008-04-08 00:00:00+05:30,9.05,9.25,8.83,8.98,69449,False,0,,False
2008-04-09 00:00:00+05:30,9.03,9.75,8.91,9.33,174639,False,0,,False
2008-04-10 00:00:00+05:30,9.5,9.6,9.0,9.12,173399,False,0,,False
2008-04-11 00:00:00+05:30,9.2,9.39,9.0,9.09,56669,False,0,,False
2008-04-15 00:00:00+05:30,9.03,9.3,8.81,9.22,82779,False,0,,False
2008-04-16 00:00:00+05:30,9.06,9.7,9.03,9.28,183389,False,0,,False
2008-04-17 00:00:00+05:30,9.33,9.48,9.2,9.26,84859,False,0,,False
2008-04-21 00:00:00+05:30,9.5,10.05,9.4,9.85,255639,False,0,,False
2008-04-22 00:00:00+05:30,10.0,10.9,9.9,10.76,472319,False,0,,False
2008-04-23 00:00:00+05:30,11.41,11.79,11.03,11.23,368249,False,0,,False
2008-04-24 00:00:00+05:30,11.55,11.55,11.04,11.11,160149,False,0,,False
2008-04-25 00:00:00+05:30,11.45,11.45,10.74,10.87,67889,False,0,,False
2008-04-28 00:00:00+05:30,11.0,11.0,10.2,10.35,132839,False,0,,False
2008-04-29 00:00:00+05:30,10.27,10.55,10.1,10.51,101509,False,0,,False
2008-04-30 00:00:00+05:30,10.5,10.69,10.1,10.23,114789,False,0,,False
2008-05-02 00:00:00+05:30,10.6,12.28,10.6,12.25,1549939,True,1,,False
2008-05-05 00:00:00+05:30,12.5,12.84,11.85,12.33,2105429,True,1,,False
