Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,11.7,11.9,11.3,11.59,405699,False,0,,False
2008-04-01 00:00:00+05:30,11.8,11.89,11.01,11.4,360779,False,0,,False
2008-04-02 00:00:00+05:30,11.6,11.9,11.58,11.63,272849,False,0,,False
2008-04-03 00:00:00+05:30,11.7,11.7,11.27,11.42,107469,False,0,,False
2008-04-04 00:00:00+05:30,11.66,11.68,11.03,11.24,210289,False,0,,False
2008-04-07 00:00:00+05:30,11.75,11.75,11.15,11.46,183099,False,0,,False
2008-04-08 00:00:00+05:30,11.31,12.61,11.3,12.41,565209,False,0,,False
2008-04-09 00:00:00+05:30,12.87,13.65,12.6,13.63,1618879,False,0,,False
2008-04-10 00:00:00+05:30,14.01,14.55,13.36,14.03,1766019,False,0,,False
2008-04-11 00:00:00+05:30,14.15,15.2,14.02,14.62,1526279,False,0,,False
2008-04-15 00:00:00+05:30,14.61,14.61,13.89,13.89,126079,False,0,,False
2008-04-16 00:00:00+05:30,13.2,14.3,13.2,14.09,818969,False,0,,False
2008-04-17 00:00:00+05:30,14.35,14.35,13.39,13.52,413469,False,0,,False
2008-04-21 00:00:00+05:30,13.55,14.19,13.3,13.79,301329,False,0,,False
2008-04-22 00:00:00+05:30,13.99,14.4,13.71,13.85,431719,False,0,,False
2008-04-23 00:00:00+05:30,14.1,14.55,14.1,14.55,1637059,False,0,,False
2008-04-24 00:00:00+05:30,14.98,15.24,14.65,14.81,1765899,False,0,,False
2008-04-25 00:00:00+05:30,14.8,14.8,14.07,14.12,260389,False,0,,False
2008-04-28 00:00:00+05:30,14.31,14.76,14.1,14.58,438269,False,0,,False
2008-04-29 00:00:00+05:30,13.85,13.95,13.85,13.85,619839,False,0,,False
2008-04-30 00:00:00+05:30,13.16,13.16,13.16,13.16,105419,False,0,,False
2008-05-02 00:00:00+05:30,12.51,12.51,12.51,12.51,107729,False,0,,False
2008-05-05 00:00:00+05:30,11.88,12.0,11.88,11.88,140829,False,0,,False
2008-05-06 00:00:00+05:30,11.29,11.29,11.29,11.29,460529,False,0,,False
2008-05-07 00:00:00+05:30,10.73,11.86,10.73,11.86,2444159,False,0,,False
2008-05-08 00:00:00+05:30,12.2,12.45,12.2,12.45,267689,False,0,,False
2008-05-09 00:00:00+05:30,13.07,13.08,12.71,13.08,1029219,False,0,,False
2008-05-12 00:00:00+05:30,13.58,13.73,12.43,12.43,289619,False,0,,False
2008-05-13 00:00:00+05:30,11.93,11.93,11.81,11.81,195289,False,0,,False
2008-05-14 00:00:00+05:30,11.22,12.4,11.22,11.76,1203609,False,0,,False
2008-05-15 00:00:00+05:30,12.0,12.14,11.73,11.94,578739,False,0,,False
2008-05-16 00:00:00+05:30,12.0,12.29,11.6,11.69,553169,False,0,,False
2008-05-20 00:00:00+05:30,11.9,11.9,11.61,11.65,343889,False,0,,False
2008-05-21 00:00:00+05:30,11.4,11.69,11.3,11.5,606829,False,0,,False
2008-05-22 00:00:00+05:30,11.4,12.07,11.32,11.77,1397269,False,0,,False
2008-05-23 00:00:00+05:30,11.8,12.2,11.61,11.77,782799,False,0,,False
2008-05-26 00:00:00+05:30,11.4,12.29,11.4,11.77,974629,False,0,,False
2008-05-27 00:00:00+05:30,11.78,12.0,11.71,11.72,422589,False,0,,False
2008-05-28 00:00:00+05:30,11.45,11.9,11.45,11.5,430409,False,0,,False
2008-05-29 00:00:00+05:30,11.4,11.79,11.4,11.52,255579,False,0,,False
2008-05-30 00:00:00+05:30,11.4,12.1,11.4,11.95,931509,False,0,,False
2008-06-02 00:00:00+05:30,12.2,12.4,11.91,11.93,482979,False,0,,False
2008-06-03 00:00:00+05:30,11.5,12.2,11.5,12.04,736489,False,0,,False
2008-06-04 00:00:00+05:30,12.4,12.65,12.1,12.29,641319,False,0,,False
2008-06-05 00:00:00+05:30,12.49,12.9,12.26,12.81,492749,False,0,,False
2008-06-06 00:00:00+05:30,13.2,13.39,12.61,12.76,588779,False,0,,False
2008-06-09 00:00:00+05:30,12.15,12.5,12.12,12.33,409019,False,0,,False
2008-06-10 00:00:00+05:30,12.2,12.5,12.2,12.4,225649,False,0,,False
2008-06-11 00:00:00+05:30,12.5,12.65,12.33,12.38,125219,False,0,,False
2008-06-12 00:00:00+05:30,12.11,12.69,12.11,12.57,164809,False,0,,False
2008-06-13 00:00:00+05:30,12.68,13.1,12.46,12.93,205199,False,0,,False
2008-06-16 00:00:00+05:30,13.4,13.5,12.7,13.27,146049,False,0,,False
2008-06-17 00:00:00+05:30,13.4,13.88,13.14,13.78,474589,False,0,,False
2008-06-18 00:00:00+05:30,13.89,14.35,13.7,14.1,434829,False,0,,False
2008-06-19 00:00:00+05:30,13.81,14.39,13.7,14.02,477159,False,0,,False
2008-06-20 00:00:00+05:30,13.81,14.3,13.43,13.94,514839,False,0,,False
2008-06-23 00:00:00+05:30,13.51,13.78,13.26,13.7,477659,False,0,,False
2008-06-24 00:00:00+05:30,13.9,13.9,13.1,13.19,240859,False,0,,False
2008-06-25 00:00:00+05:30,12.76,13.49,12.7,13.38,140449,False,0,,False
2008-06-26 00:00:00+05:30,13.5,13.7,13.21,13.57,158439,False,0,,False
2008-06-27 00:00:00+05:30,13.44,13.44,12.9,13.19,396799,False,0,,False
2008-06-30 00:00:00+05:30,13.55,13.55,12.53,12.53,166319,False,0,,False
2008-07-01 00:00:00+05:30,12.02,12.15,11.91,11.91,33009,False,0,,False
2008-07-02 00:00:00+05:30,11.5,12.2,11.31,11.51,333139,False,0,,False
2008-07-03 00:00:00+05:30,11.74,11.98,11.5,11.55,475789,False,0,,False
2008-07-04 00:00:00+05:30,11.7,11.7,11.5,11.62,92629,False,0,,False
2008-07-07 00:00:00+05:30,11.9,12.4,11.63,11.74,165189,False,0,,False
2008-07-08 00:00:00+05:30,11.56,11.7,11.55,11.68,106119,False,0,,False
2008-07-09 00:00:00+05:30,11.8,12.25,11.65,11.9,865559,False,0,,False
2008-07-10 00:00:00+05:30,11.9,12.27,11.7,11.74,524519,False,0,,False
2008-07-11 00:00:00+05:30,12.5,12.5,11.7,12.04,138779,False,0,,False
2008-07-14 00:00:00+05:30,11.91,12.2,11.9,12.01,110869,False,0,,False
2008-07-15 00:00:00+05:30,11.71,11.95,11.5,11.57,68109,False,0,,False
2008-07-16 00:00:00+05:30,11.71,11.85,11.3,11.46,93219,False,0,,False
2008-07-17 00:00:00+05:30,11.44,11.75,11.44,11.67,71929,False,0,,False
2008-07-18 00:00:00+05:30,11.61,12.2,11.6,12.07,159349,False,0,,False
2008-07-21 00:00:00+05:30,12.08,12.19,11.75,11.84,82129,False,0,,False
2008-07-22 00:00:00+05:30,11.61,12.4,11.61,12.17,107819,False,0,,False
2008-07-23 00:00:00+05:30,12.9,13.19,12.25,13.06,390139,False,0,,False
2008-07-24 00:00:00+05:30,13.6,13.77,12.65,13.5,417829,False,0,,False
2008-07-25 00:00:00+05:30,13.5,13.5,12.3,13.14,87509,False,0,,False
2008-07-28 00:00:00+05:30,12.85,14.25,12.85,13.88,526719,False,0,,False
2008-07-29 00:00:00+05:30,13.91,14.2,13.64,13.8,227279,False,0,,False
2008-07-30 00:00:00+05:30,14.4,15.18,13.75,15.18,1900979,False,0,,False
2008-07-31 00:00:00+05:30,15.64,15.74,14.03,14.38,1724619,False,0,,False
2008-08-01 00:00:00+05:30,14.17,14.89,13.9,14.42,972249,False,0,,False
2008-08-04 00:00:00+05:30,14.4,14.58,13.55,13.83,333779,False,0,,False
2008-08-05 00:00:00+05:30,14.0,14.67,13.7,14.52,550329,False,0,,False
2008-08-06 00:00:00+05:30,14.79,15.0,14.21,14.35,309549,False,0,,False
2008-08-07 00:00:00+05:30,14.1,14.69,13.74,13.95,154269,False,0,,False
