Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,17.8,17.8,16.84,17.07,149474,False,0,,False
2008-04-01 00:00:00+05:30,17.2,17.5,16.65,16.83,70639,False,0,,False
2008-04-02 00:00:00+05:30,17.22,17.4,16.8,17.02,68719,False,0,,False
2008-04-03 00:00:00+05:30,17.5,17.66,16.81,17.13,19119,False,0,,False
2008-04-04 00:00:00+05:30,17.39,17.5,16.8,17.02,36379,False,0,,False
2008-04-07 00:00:00+05:30,16.61,17.34,16.61,17.19,91849,False,0,,False
2008-04-08 00:00:00+05:30,17.02,17.87,17.02,17.52,73244,False,0,,False
2008-04-09 00:00:00+05:30,17.58,20.68,17.57,19.2,1072394,False,0,,False
2008-04-10 00:00:00+05:30,19.7,22.24,19.0,20.07,1749434,False,0,,False
2008-04-11 00:00:00+05:30,20.2,21.16,19.82,20.02,380839,False,0,,False
2008-04-15 00:00:00+05:30,19.82,20.99,19.24,20.06,258574,False,0,,False
2008-04-16 00:00:00+05:30,20.4,20.99,19.8,19.92,320389,False,0,,False
2008-04-17 00:00:00+05:30,20.39,20.58,19.92,20.01,123549,False,0,,False
2008-04-21 00:00:00+05:30,20.37,20.49,20.02,20.15,63099,False,0,,False
2008-04-22 00:00:00+05:30,20.05,20.6,20.0,20.18,140049,False,0,,False
2008-04-23 00:00:00+05:30,20.5,20.6,19.92,20.03,45579,False,0,,False
2008-04-24 00:00:00+05:30,20.43,20.43,19.62,19.89,42224,False,0,,False
2008-04-25 00:00:00+05:30,20.18,20.18,19.21,19.37,46519,False,0,,False
2008-04-28 00:00:00+05:30,18.02,19.8,16.4,19.41,47119,False,0,,False
2008-04-29 00:00:00+05:30,19.14,20.39,19.14,19.46,116319,False,0,,False
2008-04-30 00:00:00+05:30,19.45,19.95,19.0,19.1,51544,False,0,,False
2008-05-02 00:00:00+05:30,19.38,19.8,19.38,19.49,57149,False,0,,False
2008-05-05 00:00:00+05:30,19.59,21.4,19.3,19.82,601214,False,0,,False
2008-05-06 00:00:00+05:30,20.38,20.8,19.26,19.48,546389,False,0,,False
2008-05-07 00:00:00+05:30,19.4,20.28,19.2,19.34,110254,False,0,,False
2008-05-08 00:00:00+05:30,19.3,19.55,18.94,19.1,63734,False,0,,False
2008-05-09 00:00:00+05:30,19.05,19.5,18.42,18.6,112774,False,0,,False
2008-05-12 00:00:00+05:30,18.8,18.8,18.04,18.32,125049,False,0,,False
2008-05-13 00:00:00+05:30,18.8,18.8,18.0,18.1,80819,False,0,,False
2008-05-14 00:00:00+05:30,18.33,18.98,18.01,18.54,319949,False,0,,False
2008-05-15 00:00:00+05:30,18.98,18.98,18.2,18.32,110709,False,0,,False
2008-05-16 00:00:00+05:30,18.58,18.8,18.3,18.52,87699,False,0,,False
2008-05-20 00:00:00+05:30,18.5,18.64,18.1,18.2,54994,False,0,,False
2008-05-21 00:00:00+05:30,18.0,18.6,18.0,18.47,71994,False,0,,False
2008-05-22 00:00:00+05:30,18.32,18.6,18.2,18.36,66394,False,0,,False
2008-05-23 00:00:00+05:30,18.5,18.58,17.6,17.7,237664,False,0,,False
2008-05-26 00:00:00+05:30,17.6,17.62,17.18,17.49,23424,False,0,,False
2008-05-27 00:00:00+05:30,17.95,17.95,17.0,17.15,39764,False,0,,False
