Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,49.8,49.8,42.21,44.11,24254,False,0,,False
2008-04-01 00:00:00+05:30,43.2,49.91,42.01,48.07,84334,False,0,,False
2008-04-02 00:00:00+05:30,49.0,50.37,49.0,49.89,4734,False,0,,False
2008-04-03 00:00:00+05:30,49.8,50.79,48.2,49.18,625934,False,0,,False
2008-04-04 00:00:00+05:30,50.0,50.0,47.3,49.57,1699,False,0,,False
2008-04-07 00:00:00+05:30,50.4,51.98,48.84,49.87,14754,False,0,,False
2008-04-08 00:00:00+05:30,50.0,50.0,48.61,50.0,12159,False,0,,False
2008-04-09 00:00:00+05:30,49.99,50.0,47.61,48.52,19394,False,0,,False
2008-04-10 00:00:00+05:30,49.35,49.4,48.6,48.6,152864,False,0,,False
2008-04-11 00:00:00+05:30,50.0,50.0,48.6,48.6,11424,False,0,,False
2008-04-15 00:00:00+05:30,43.0,50.0,43.0,49.99,21144,False,0,,False
2008-04-16 00:00:00+05:30,50.0,50.0,49.0,49.3,4684,False,0,,False
2008-04-17 00:00:00+05:30,50.0,50.0,49.4,49.96,31419,False,0,,False
2008-04-21 00:00:00+05:30,50.0,50.4,49.46,50.0,120429,False,0,,False
2008-04-22 00:00:00+05:30,50.0,50.0,49.23,49.6,36189,False,0,,False
2008-04-23 00:00:00+05:30,49.99,50.0,48.42,49.98,12064,False,0,,False
2008-04-24 00:00:00+05:30,49.2,50.0,49.04,49.6,7519,False,0,,False
2008-04-25 00:00:00+05:30,49.0,50.0,48.24,49.4,52729,False,0,,False
2008-04-28 00:00:00+05:30,50.0,50.0,49.11,49.61,20134,False,0,,False
2008-04-29 00:00:00+05:30,49.53,50.0,49.53,49.99,4849,False,0,,False
2008-04-30 00:00:00+05:30,49.99,50.0,49.01,49.84,23629,False,0,,False
2008-05-02 00:00:00+05:30,50.0,54.74,49.99,52.25,594169,False,0,,False
2008-05-05 00:00:00+05:30,52.0,61.84,52.0,58.32,850414,False,0,,False
2008-05-06 00:00:00+05:30,58.4,58.96,54.34,54.88,151049,False,0,,False
2008-05-07 00:00:00+05:30,55.6,56.5,54.24,55.06,120764,False,0,,False
2008-05-08 00:00:00+05:30,53.01,55.8,53.01,53.75,43294,False,0,,False
2008-05-09 00:00:00+05:30,54.2,55.0,52.4,52.57,35114,False,0,,False
2008-05-12 00:00:00+05:30,52.1,55.6,50.45,53.77,83409,False,0,,False
2008-05-13 00:00:00+05:30,54.0,54.0,51.4,51.86,25219,False,0,,False
2008-05-14 00:00:00+05:30,51.63,52.98,51.22,52.18,23874,False,0,,False
2008-05-15 00:00:00+05:30,52.2,58.6,51.63,56.06,282604,False,0,,False
2008-05-16 00:00:00+05:30,56.78,56.78,54.81,55.54,19249,False,0,,False
2008-05-20 00:00:00+05:30,55.0,57.4,55.0,55.45,131609,False,0,,False
2008-05-21 00:00:00+05:30,55.0,64.59,54.23,61.82,927794,False,0,,False
2008-05-22 00:00:00+05:30,62.4,62.4,58.53,58.88,212344,False,0,,False
2008-05-23 00:00:00+05:30,61.0,61.8,58.0,58.26,81034,False,0,,False
2008-05-26 00:00:00+05:30,57.13,57.58,55.6,56.83,48624,False,0,,False
2008-05-27 00:00:00+05:30,57.2,58.9,55.05,55.42,73209,False,0,,False
2008-05-28 00:00:00+05:30,56.02,59.8,54.8,59.04,52059,False,0,,False
2008-05-29 00:00:00+05:30,60.6,60.6,56.04,56.56,100159,False,0,,False
2008-05-30 00:00:00+05:30,58.95,58.95,55.67,56.15,29754,False,0,,False
2008-06-02 00:00:00+05:30,56.0,59.35,53.61,54.25,35999,False,0,,False
2008-06-03 00:00:00+05:30,56.0,56.0,53.31,54.33,32174,False,0,,False
2008-06-04 00:00:00+05:30,53.2,55.6,52.62,53.19,32029,False,0,,False
2008-06-05 00:00:00+05:30,52.6,53.45,51.76,52.17,24829,False,0,,False
2008-06-06 00:00:00+05:30,53.0,53.75,52.4,52.77,20759,False,0,,False
2008-06-09 00:00:00+05:30,50.47,51.87,49.7,51.55,27574,False,0,,False
2008-06-10 00:00:00+05:30,52.2,52.4,49.5,50.01,30709,False,0,,False
2008-06-11 00:00:00+05:30,52.0,53.6,51.01,51.9,9664,False,0,,False
2008-06-12 00:00:00+05:30,50.6,52.6,50.6,52.37,9019,False,0,,False
2008-06-13 00:00:00+05:30,53.0,57.0,53.0,53.91,28789,False,0,,False
2008-06-16 00:00:00+05:30,55.0,57.6,50.66,54.1,75204,False,0,,False
2008-06-17 00:00:00+05:30,55.0,57.6,55.0,56.26,100124,False,0,,False
2008-06-18 00:00:00+05:30,56.72,57.26,54.81,55.91,21549,False,0,,False
2008-06-19 00:00:00+05:30,56.0,57.15,55.2,55.87,30559,False,0,,False
2008-06-20 00:00:00+05:30,55.8,57.2,52.4,53.01,34064,False,0,,False
2008-06-23 00:00:00+05:30,54.0,54.0,49.8,51.49,60859,False,0,,False
2008-06-24 00:00:00+05:30,52.0,52.0,48.21,50.44,16779,False,0,,False
2008-06-25 00:00:00+05:30,48.0,50.0,48.0,48.96,25099,False,0,,False
2008-06-26 00:00:00+05:30,49.0,52.0,49.0,49.72,53414,False,0,,False
2008-06-27 00:00:00+05:30,49.0,49.4,48.6,49.12,12659,False,0,,False
2008-06-30 00:00:00+05:30,49.4,50.0,48.21,49.18,8989,False,0,,False
2008-07-01 00:00:00+05:30,48.98,49.0,46.1,46.6,29554,False,0,,False
2008-07-02 00:00:00+05:30,46.6,48.0,44.4,46.37,61469,False,0,,False
2008-07-03 00:00:00+05:30,44.6,46.0,44.22,44.97,6159,False,0,,False
2008-07-04 00:00:00+05:30,45.4,45.4,43.25,44.16,39099,False,0,,False
2008-07-07 00:00:00+05:30,47.0,47.0,44.0,44.3,4729,False,0,,False
2008-07-08 00:00:00+05:30,43.21,49.0,43.21,47.16,23379,False,0,,False
2008-07-09 00:00:00+05:30,53.0,53.0,47.4,51.02,10099,False,0,,False
2008-07-10 00:00:00+05:30,51.02,53.0,51.02,51.95,10514,False,0,,False
2008-07-11 00:00:00+05:30,52.0,53.2,51.02,51.43,14224,False,0,,False
2008-07-14 00:00:00+05:30,51.7,51.7,48.04,50.25,5909,False,0,,False
2008-07-15 00:00:00+05:30,49.0,49.2,47.6,48.05,3919,False,0,,False
2008-07-16 00:00:00+05:30,48.0,48.0,42.4,44.06,198214,False,0,,False
2008-07-17 00:00:00+05:30,46.0,46.0,45.0,45.36,8599,False,0,,False
2008-07-18 00:00:00+05:30,45.6,46.4,45.22,46.0,20154,False,0,,False
2008-07-21 00:00:00+05:30,45.8,46.0,45.2,45.71,5854,False,0,,False
2008-07-22 00:00:00+05:30,46.0,46.2,44.81,44.91,84229,False,0,,False
2008-07-23 00:00:00+05:30,47.0,51.0,46.0,49.99,34009,False,0,,False
2008-07-24 00:00:00+05:30,52.0,53.89,51.08,52.08,46339,False,0,,False
2008-07-25 00:00:00+05:30,53.24,55.6,52.8,54.06,55189,False,0,,False
2008-07-28 00:00:00+05:30,54.4,59.0,54.4,56.95,325399,False,0,,False
2008-07-29 00:00:00+05:30,56.8,59.2,54.0,54.67,67069,False,0,,False
2008-07-30 00:00:00+05:30,55.25,58.0,54.02,56.79,138329,False,0,,False
2008-07-31 00:00:00+05:30,56.0,56.5,54.85,55.4,25759,False,0,,False
2008-08-01 00:00:00+05:30,55.0,56.9,54.22,54.84,26784,False,0,,False
2008-08-04 00:00:00+05:30,54.61,55.72,53.83,54.4,32584,False,0,,False
2008-08-05 00:00:00+05:30,55.12,55.9,54.0,54.38,44749,False,0,,False
2008-08-06 00:00:00+05:30,54.6,57.2,54.6,55.29,53494,False,0,,False
2008-08-07 00:00:00+05:30,55.04,55.6,53.6,53.7,23134,False,0,,False
2008-08-08 00:00:00+05:30,53.0,53.4,52.0,52.37,49209,False,0,,False
2008-08-11 00:00:00+05:30,53.4,55.0,52.8,53.0,47674,False,0,,False
2008-08-12 00:00:00+05:30,53.2,54.0,52.6,52.6,18529,False,0,,False
2008-08-13 00:00:00+05:30,54.0,54.0,51.62,51.98,10089,False,0,,False
2008-08-14 00:00:00+05:30,51.99,52.0,50.84,51.06,6699,False,0,,False
2008-08-18 00:00:00+05:30,53.4,53.4,49.04,50.58,8219,False,0,,False
2008-08-19 00:00:00+05:30,50.6,50.6,49.0,49.47,22149,False,0,,False
2008-08-20 00:00:00+05:30,50.2,51.01,49.6,50.66,15524,False,0,,False
2008-08-21 00:00:00+05:30,51.6,51.6,49.07,50.07,7779,False,0,,False
2008-08-22 00:00:00+05:30,50.4,50.8,49.22,49.23,4979,False,0,51.6471,False
2008-08-25 00:00:00+05:30,50.2,50.2,48.4,48.57,6649,False,0,51.6917,False
2008-08-26 00:00:00+05:30,48.12,49.0,47.42,47.97,4374,False,0,51.6907,False
2008-08-27 00:00:00+05:30,48.3,48.4,47.8,47.95,3029,False,0,51.6713,False
2008-08-28 00:00:00+05:30,47.0,48.0,47.0,47.05,11354,False,0,51.65,False
2008-08-29 00:00:00+05:30,49.2,49.2,47.6,48.18,16974,False,0,51.636100000000006,False
2008-09-01 00:00:00+05:30,48.6,49.08,48.0,48.51,2614,False,0,51.6225,False
2008-09-02 00:00:00+05:30,48.65,51.0,48.65,50.03,51149,False,0,51.622800000000005,False
