Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,69.2,70.0,65.0,67.02,12804,False,0,,False
2008-04-01 00:00:00+05:30,71.6,71.6,67.04,69.76,9069,False,0,,False
2008-04-02 00:00:00+05:30,67.23,71.4,67.22,68.2,1379,False,0,,False
2008-04-03 00:00:00+05:30,79.0,79.0,67.02,70.4,4619,False,0,,False
2008-04-04 00:00:00+05:30,75.0,75.0,68.22,70.46,1379,False,0,,False
2008-04-07 00:00:00+05:30,65.62,69.0,65.6,66.97,11449,False,0,,False
2008-04-08 00:00:00+05:30,76.98,76.98,66.0,67.51,2199,False,0,,False
2008-04-09 00:00:00+05:30,65.07,68.98,65.06,68.88,4089,False,0,,False
2008-04-10 00:00:00+05:30,71.0,73.0,66.78,71.6,6329,False,0,,False
2008-04-11 00:00:00+05:30,77.62,78.98,68.05,68.68,10879,False,0,,False
2008-04-15 00:00:00+05:30,75.56,75.56,68.06,71.22,19614,False,0,,False
2008-04-16 00:00:00+05:30,74.98,74.98,70.25,71.65,4009,False,0,,False
2008-04-17 00:00:00+05:30,74.4,76.77,71.2,75.33,13189,False,0,,False
2008-04-21 00:00:00+05:30,76.0,77.6,74.0,76.26,21294,False,0,,False
2008-04-22 00:00:00+05:30,86.98,86.98,75.61,78.79,2489,False,0,,False
2008-04-23 00:00:00+05:30,87.8,87.8,75.01,80.81,12419,False,0,,False
2008-04-24 00:00:00+05:30,84.4,88.88,76.8,79.95,24949,False,0,,False
2008-04-25 00:00:00+05:30,87.46,87.46,78.0,80.25,4754,False,0,,False
2008-04-28 00:00:00+05:30,84.9,84.9,78.2,78.2,6594,False,0,,False
2008-04-29 00:00:00+05:30,85.4,85.4,76.0,76.01,664,False,0,,False
2008-04-30 00:00:00+05:30,82.96,82.96,76.0,78.78,1894,False,0,,False
2008-05-02 00:00:00+05:30,81.78,81.78,77.2,77.62,1914,False,0,,False
2008-05-05 00:00:00+05:30,81.18,81.18,77.1,79.78,824,False,0,,False
2008-05-06 00:00:00+05:30,79.0,84.0,78.0,82.2,5619,False,0,,False
2008-05-07 00:00:00+05:30,82.5,84.0,82.4,83.0,6109,False,0,,False
2008-05-08 00:00:00+05:30,89.0,89.0,79.8,82.99,15384,False,0,,False
2008-05-09 00:00:00+05:30,89.0,89.0,83.0,84.52,3164,False,0,,False
2008-05-12 00:00:00+05:30,82.8,87.4,80.2,85.53,1779,False,0,,False
2008-05-13 00:00:00+05:30,92.78,92.78,84.53,87.28,38004,False,0,,False
2008-05-14 00:00:00+05:30,87.4,87.4,84.6,85.99,664,False,0,,False
2008-05-15 00:00:00+05:30,86.8,86.8,84.0,84.73,614,False,0,,False
2008-05-16 00:00:00+05:30,85.58,85.58,81.82,83.17,314,False,0,,False
2008-05-20 00:00:00+05:30,87.7,87.7,81.0,81.74,1324,False,0,,False
2008-05-21 00:00:00+05:30,86.84,86.84,77.6,81.0,1309,False,0,,False
2008-05-22 00:00:00+05:30,86.0,86.0,77.79,78.01,2289,False,0,,False
2008-05-23 00:00:00+05:30,85.98,85.98,65.18,79.24,1594,False,0,,False
2008-05-26 00:00:00+05:30,75.6,80.0,75.6,80.0,1179,False,0,,False
2008-05-27 00:00:00+05:30,84.0,84.0,76.0,79.47,3214,False,0,,False
2008-05-28 00:00:00+05:30,82.4,82.4,75.58,77.99,6869,False,0,,False
2008-05-29 00:00:00+05:30,81.95,81.95,76.0,76.9,5614,False,0,,False
2008-05-30 00:00:00+05:30,84.78,84.78,76.24,77.59,7789,False,0,,False
2008-06-02 00:00:00+05:30,84.5,84.5,76.0,76.35,3829,False,0,,False
2008-06-03 00:00:00+05:30,79.8,79.8,74.4,76.2,509,False,0,,False
2008-06-04 00:00:00+05:30,79.4,79.4,72.8,75.36,2489,False,0,,False
2008-06-05 00:00:00+05:30,83.0,83.0,74.01,76.5,559,False,0,,False
2008-06-06 00:00:00+05:30,83.0,83.0,73.24,74.86,474,False,0,,False
2008-06-09 00:00:00+05:30,77.0,80.0,71.08,76.0,414,False,0,,False
2008-06-10 00:00:00+05:30,75.0,75.0,69.03,70.73,10594,False,0,,False
2008-06-11 00:00:00+05:30,73.85,73.85,68.01,68.63,969,False,0,,False
2008-06-12 00:00:00+05:30,63.0,77.0,63.0,76.95,3259,False,0,,False
2008-06-13 00:00:00+05:30,80.0,80.0,74.42,75.0,389,False,0,,False
2008-06-16 00:00:00+05:30,78.8,78.8,75.8,76.0,2149,False,0,,False
2008-06-17 00:00:00+05:30,77.39,77.39,74.4,76.94,574,False,0,,False
2008-06-18 00:00:00+05:30,79.5,79.5,73.1,76.78,2294,False,0,,False
2008-06-19 00:00:00+05:30,77.0,77.0,71.8,74.37,2969,False,0,,False
2008-06-20 00:00:00+05:30,75.99,76.0,71.05,71.41,1064,False,0,,False
2008-06-23 00:00:00+05:30,74.65,74.79,69.01,72.82,3104,False,0,,False
2008-06-24 00:00:00+05:30,74.98,74.98,68.0,69.01,3364,False,0,,False
2008-06-25 00:00:00+05:30,71.96,71.96,66.78,70.9,379,False,0,,False
2008-06-26 00:00:00+05:30,71.8,72.0,66.99,70.09,4114,False,0,,False
2008-06-27 00:00:00+05:30,73.4,73.57,68.0,70.17,3994,False,0,,False
2008-06-30 00:00:00+05:30,69.98,69.98,60.61,63.04,7044,False,0,,False
2008-07-01 00:00:00+05:30,57.81,65.56,57.81,63.41,1934,False,0,,False
2008-07-02 00:00:00+05:30,60.6,64.0,57.2,63.24,7114,False,0,,False
2008-07-03 00:00:00+05:30,58.38,62.9,56.0,58.54,1819,False,0,,False
2008-07-04 00:00:00+05:30,56.0,62.78,56.0,59.37,594,False,0,,False
2008-07-07 00:00:00+05:30,69.6,69.6,57.01,61.47,624,False,0,,False
2008-07-08 00:00:00+05:30,62.96,62.96,58.8,61.0,79,False,0,,False
2008-07-09 00:00:00+05:30,71.6,71.6,57.14,58.16,1384,False,0,,False
2008-07-10 00:00:00+05:30,57.34,61.88,57.0,60.41,1329,False,0,,False
2008-07-11 00:00:00+05:30,67.9,67.9,57.6,62.1,2069,False,0,,False
2008-07-14 00:00:00+05:30,63.8,63.99,59.4,62.93,619,False,0,,False
2008-07-15 00:00:00+05:30,66.98,66.98,58.16,62.0,99,False,0,,False
2008-07-16 00:00:00+05:30,66.94,66.94,62.38,62.39,84,False,0,,False
2008-07-17 00:00:00+05:30,69.0,69.0,56.2,61.0,179,False,0,,False
2008-07-18 00:00:00+05:30,65.79,65.79,58.2,60.5,574,False,0,,False
2008-07-21 00:00:00+05:30,64.79,64.79,60.6,62.4,59,False,0,,False
2008-07-22 00:00:00+05:30,63.6,63.6,58.1,61.32,5134,False,0,,False
2008-07-23 00:00:00+05:30,61.0,64.0,60.2,61.12,2019,False,0,,False
2008-07-24 00:00:00+05:30,64.0,64.0,60.4,60.4,124,False,0,,False
2008-07-25 00:00:00+05:30,57.6,65.38,57.6,63.0,109,False,0,,False
2008-07-28 00:00:00+05:30,66.78,66.78,57.9,64.11,564,False,0,,False
2008-07-29 00:00:00+05:30,61.2,63.7,57.2,63.7,1609,False,0,,False
2008-07-30 00:00:00+05:30,60.8,63.8,60.8,61.34,239,False,0,,False
2008-07-31 00:00:00+05:30,63.5,63.7,63.5,63.7,799,False,0,,False
2008-08-01 00:00:00+05:30,64.0,65.8,63.6,63.6,729,False,0,,False
2008-08-04 00:00:00+05:30,64.2,65.0,63.0,63.7,5139,False,0,,False
2008-08-05 00:00:00+05:30,60.8,65.9,57.42,64.03,1749,False,0,,False
2008-08-06 00:00:00+05:30,63.8,64.4,63.6,63.8,2044,False,0,,False
2008-08-07 00:00:00+05:30,64.2,64.2,63.65,63.65,114,False,0,,False
2008-08-08 00:00:00+05:30,64.2,64.4,63.9,64.37,734,False,0,,False
2008-08-11 00:00:00+05:30,64.6,65.8,63.0,63.0,2169,False,0,,False
2008-08-12 00:00:00+05:30,63.0,64.0,63.0,64.0,524,False,0,,False
2008-08-13 00:00:00+05:30,64.4,66.8,62.6,64.18,314,False,0,,False
2008-08-14 00:00:00+05:30,61.4,66.3,61.4,63.77,10414,False,0,,False
2008-08-18 00:00:00+05:30,61.0,62.2,60.6,60.6,179,False,0,,False
2008-08-19 00:00:00+05:30,59.0,62.8,58.01,58.21,1234,False,0,,False
2008-08-20 00:00:00+05:30,56.42,62.98,56.42,62.54,74,False,0,,False
2008-08-21 00:00:00+05:30,62.9,62.9,61.8,61.8,49,False,0,,False
2008-08-22 00:00:00+05:30,59.0,63.79,59.0,62.16,49,False,0,70.64609999999999,False
2008-08-27 00:00:00+05:30,63.0,63.0,63.0,63.0,49,False,0,70.60589999999999,False
2008-08-28 00:00:00+05:30,60.0,60.0,54.0,55.18,23444,False,0,70.4601,False
2008-08-29 00:00:00+05:30,58.6,58.6,54.0,55.76,1454,False,0,70.3357,False
2008-09-01 00:00:00+05:30,57.38,57.38,54.0,55.1,1119,False,0,70.1827,False
2008-09-02 00:00:00+05:30,55.0,56.2,52.3,55.66,739,False,0,70.0347,False
2008-09-04 00:00:00+05:30,50.4,56.76,50.4,55.19,1034,False,0,69.9169,False
2008-09-05 00:00:00+05:30,54.0,54.0,54.0,54.0,604,False,0,69.7818,False
2008-09-08 00:00:00+05:30,52.8,54.99,51.0,53.77,1649,False,0,69.6307,False
2008-09-09 00:00:00+05:30,55.92,55.92,54.0,55.04,434,False,0,69.4651,False
2008-09-10 00:00:00+05:30,56.6,56.6,52.54,54.0,10274,False,0,69.31830000000001,False
2008-09-11 00:00:00+05:30,54.0,54.0,52.8,54.0,174,False,0,69.1461,False
2008-09-12 00:00:00+05:30,54.8,54.8,52.6,54.0,109,False,0,68.9696,False
2008-09-15 00:00:00+05:30,53.58,53.58,53.37,53.38,174,False,0,68.75009999999999,False
2008-09-16 00:00:00+05:30,55.6,55.8,51.0,52.0,364,False,0,68.5075,False
2008-09-17 00:00:00+05:30,48.4,51.59,48.4,51.59,104,False,0,68.23549999999999,False
2008-09-18 00:00:00+05:30,43.2,55.99,43.2,53.17,1614,False,0,67.95909999999999,False
2008-09-19 00:00:00+05:30,50.8,56.99,50.8,54.0,34,False,0,67.6996,False
2008-09-22 00:00:00+05:30,55.8,55.8,52.0,54.63,1109,False,0,67.4434,False
2008-09-23 00:00:00+05:30,52.0,52.0,52.0,52.0,24,False,0,67.1814,False
2008-09-24 00:00:00+05:30,56.6,56.6,52.0,52.0,404,False,0,66.9413,False
2008-09-25 00:00:00+05:30,58.4,58.4,51.95,55.47,1789,False,0,66.70819999999999,False
2008-09-26 00:00:00+05:30,55.56,55.56,50.81,54.07,2104,False,0,66.47269999999999,False
2008-09-29 00:00:00+05:30,54.0,54.0,47.0,49.73,2914,False,0,66.1722,False
2008-09-30 00:00:00+05:30,48.6,54.0,42.75,53.05,739,False,0,65.88069999999999,False
2008-10-01 00:00:00+05:30,53.97,53.97,44.61,46.67,6309,False,0,65.5174,False
2008-10-03 00:00:00+05:30,47.94,51.98,45.2,47.68,4374,False,0,65.1643,False
2008-10-06 00:00:00+05:30,48.8,48.8,40.0,42.76,2674,False,0,64.7467,False
2008-10-07 00:00:00+05:30,47.2,48.94,41.0,47.16,4654,False,0,64.363,False
2008-10-08 00:00:00+05:30,47.73,47.73,39.41,43.54,19724,False,0,63.9256,False
2008-10-10 00:00:00+05:30,49.76,49.8,40.0,45.54,11029,False,0,63.5211,False
2008-10-13 00:00:00+05:30,47.6,52.0,43.6,48.32,18249,False,0,63.157,False
2008-10-14 00:00:00+05:30,55.0,56.0,48.0,53.59,5754,False,0,62.8612,False
2008-10-15 00:00:00+05:30,57.4,57.4,47.4,51.16,21454,False,0,62.5554,False
2008-10-16 00:00:00+05:30,51.52,51.58,44.47,50.08,2129,False,0,62.2462,False
2008-10-17 00:00:00+05:30,48.8,48.8,41.6,43.73,6334,False,0,61.903400000000005,False
2008-10-20 00:00:00+05:30,43.0,43.0,43.0,43.0,1024,False,0,61.541000000000004,False
2008-10-21 00:00:00+05:30,43.98,46.8,43.8,44.13,2499,False,0,61.182300000000005,False
2008-10-22 00:00:00+05:30,45.89,49.4,41.67,49.12,3839,False,0,60.8788,False
2008-10-23 00:00:00+05:30,48.0,48.0,43.2,43.77,1404,False,0,60.5366,False
2008-10-24 00:00:00+05:30,46.0,46.2,36.82,38.57,2799,False,0,60.1533,False
2008-10-27 00:00:00+05:30,42.0,42.0,32.25,40.84,2624,False,0,59.7858,False
2008-10-28 00:00:00+05:30,45.0,48.0,40.21,46.08,719,False,0,59.48310000000001,False
2008-10-29 00:00:00+05:30,47.8,51.7,45.8,47.8,1384,False,0,59.1991,False
2008-10-31 00:00:00+05:30,50.0,55.19,42.8,50.67,2899,False,0,58.95219999999999,False
2008-11-03 00:00:00+05:30,46.03,51.79,46.03,46.67,94,False,0,58.65389999999999,False
2008-11-04 00:00:00+05:30,44.0,50.8,44.0,50.6,609,False,0,58.411300000000004,False
2008-11-05 00:00:00+05:30,58.8,59.74,44.88,48.68,514,False,0,58.1381,False
2008-11-06 00:00:00+05:30,44.01,47.0,44.0,44.97,2269,False,0,57.88049999999999,False
2008-11-07 00:00:00+05:30,46.8,47.0,43.0,44.2,2304,False,0,57.63620000000001,False
2008-11-10 00:00:00+05:30,44.2,48.0,42.01,45.77,1299,False,0,57.3244,False
2008-11-11 00:00:00+05:30,44.01,47.98,44.01,47.8,534,False,0,57.0524,False
2008-11-14 00:00:00+05:30,43.6,44.74,40.22,42.33,2854,False,0,56.7157,False
2008-11-17 00:00:00+05:30,40.22,41.4,40.22,41.13,799,False,0,56.357600000000005,False
2008-11-18 00:00:00+05:30,41.98,42.0,41.98,42.0,249,False,0,56.009800000000006,False
2008-11-19 00:00:00+05:30,37.8,40.94,36.0,37.25,1414,False,0,55.638600000000004,False
2008-11-20 00:00:00+05:30,36.64,39.0,32.6,38.98,1499,False,0,55.314299999999996,False
2008-11-21 00:00:00+05:30,39.8,41.88,38.76,39.66,2359,False,0,54.982699999999994,False
2008-11-24 00:00:00+05:30,37.8,41.58,36.0,36.41,564,False,0,54.6567,False
2008-11-25 00:00:00+05:30,35.0,40.0,32.05,32.98,2284,False,0,54.2775,False
2008-11-26 00:00:00+05:30,31.4,35.58,31.4,34.76,2124,False,0,53.9242,False
2008-11-28 00:00:00+05:30,36.2,36.6,36.0,36.21,1499,False,0,53.5846,False
2008-12-01 00:00:00+05:30,32.8,36.82,29.22,32.21,3959,False,0,53.2763,False
2008-12-02 00:00:00+05:30,32.0,32.0,31.99,31.99,9,False,0,52.9621,False
2008-12-03 00:00:00+05:30,31.4,33.66,25.83,26.97,8514,False,0,52.5994,False
2008-12-04 00:00:00+05:30,25.0,30.98,23.95,28.94,16384,False,0,52.3034,False
2008-12-05 00:00:00+05:30,29.79,31.18,28.2,30.91,3309,False,0,52.0188,False
2008-12-08 00:00:00+05:30,29.8,35.5,29.8,34.8,7409,False,0,51.7521,False
2008-12-10 00:00:00+05:30,30.0,37.6,30.0,35.95,2999,False,0,51.501599999999996,False
2008-12-11 00:00:00+05:30,37.5,38.01,34.04,37.71,3169,False,0,51.2971,False
2008-12-12 00:00:00+05:30,36.0,39.77,36.0,39.62,3044,False,0,51.0892,False
2008-12-15 00:00:00+05:30,42.0,42.0,42.0,42.0,4,False,0,50.8882,False
2008-12-16 00:00:00+05:30,38.6,43.98,38.6,41.8,5529,False,0,50.676899999999996,False
2008-12-18 00:00:00+05:30,38.6,41.0,38.6,40.0,259,False,0,50.4569,False
2008-12-22 00:00:00+05:30,41.98,42.0,40.0,40.46,11524,False,0,50.2376,False
2008-12-23 00:00:00+05:30,38.6,40.4,38.6,40.2,5089,False,0,50.0296,False
2008-12-24 00:00:00+05:30,39.8,40.0,39.8,39.8,764,False,0,49.8226,False
2008-12-26 00:00:00+05:30,40.0,41.0,39.6,41.0,3249,False,0,49.608599999999996,False
2008-12-29 00:00:00+05:30,40.0,41.0,38.8,39.27,5389,False,0,49.3881,False
2008-12-30 00:00:00+05:30,37.6,40.0,37.6,40.0,9,False,0,49.1769,False
2009-01-01 00:00:00+05:30,40.6,40.8,38.81,40.73,5649,False,0,48.980199999999996,False
2009-01-02 00:00:00+05:30,40.8,40.8,37.0,40.78,5339,False,0,48.757999999999996,False
2009-01-05 00:00:00+05:30,40.58,40.58,40.58,40.58,84,False,0,48.52269999999999,False
2009-01-06 00:00:00+05:30,40.2,40.2,40.18,40.2,5499,False,0,48.2877,False
2009-01-07 00:00:00+05:30,37.2,39.8,37.0,39.68,5699,False,0,48.071099999999994,False
2009-01-09 00:00:00+05:30,39.0,39.2,39.0,39.2,6199,False,0,47.826100000000004,False
2009-01-12 00:00:00+05:30,36.2,40.2,36.2,39.71,13474,False,0,47.5872,False
2009-01-13 00:00:00+05:30,45.8,47.6,37.2,40.19,12894,False,0,47.3521,False
2009-01-14 00:00:00+05:30,33.27,39.9,33.27,37.95,2089,False,0,47.091300000000004,False
2009-01-19 00:00:00+05:30,35.2,35.2,35.2,35.2,4,False,0,46.805299999999995,False
2009-01-20 00:00:00+05:30,34.0,40.2,33.0,39.22,8354,False,0,46.56099999999999,False
2009-01-21 00:00:00+05:30,35.0,43.76,35.0,39.1,3789,False,0,46.3083,False
2009-01-22 00:00:00+05:30,37.0,39.6,34.49,39.01,8579,False,0,46.06839999999999,False
2009-01-23 00:00:00+05:30,44.0,44.0,38.0,39.4,1549,False,0,45.822399999999995,False
