Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,425.7,430.0,420.58,422.35,4201,False,0,,False
2008-04-01 00:00:00+05:30,429.96,430.0,420.54,426.86,4896,False,0,,False
2008-04-02 00:00:00+05:30,438.17,438.6,429.14,429.61,4423,False,0,,False
2008-04-03 00:00:00+05:30,430.0,434.3,423.59,429.83,1986,False,0,,False
2008-04-04 00:00:00+05:30,414.52,430.0,414.52,419.98,5209,False,0,,False
2008-04-07 00:00:00+05:30,429.05,429.14,416.24,417.27,1484,False,0,,False
2008-04-08 00:00:00+05:30,417.1,423.98,408.54,414.48,3419,False,0,,False
2008-04-09 00:00:00+05:30,412.84,425.7,412.8,420.41,4180,False,0,,False
2008-04-10 00:00:00+05:30,421.4,430.0,417.23,423.34,1904,False,0,,False
2008-04-11 00:00:00+05:30,473.0,485.47,419.85,425.74,5023,False,0,,False
2008-04-15 00:00:00+05:30,429.14,430.0,420.54,425.61,961,False,0,,False
2008-04-16 00:00:00+05:30,426.56,430.0,425.7,428.11,11838,False,0,,False
2008-04-17 00:00:00+05:30,430.0,440.32,430.0,435.5,7420,False,0,,False
2008-04-21 00:00:00+05:30,437.74,438.47,426.13,433.57,3808,False,0,,False
2008-04-22 00:00:00+05:30,430.9,437.31,430.13,434.34,386,False,0,,False
2008-04-23 00:00:00+05:30,442.04,442.04,431.72,436.06,1887,False,0,,False
2008-04-24 00:00:00+05:30,438.39,442.86,434.39,437.27,1195,False,0,,False
2008-04-25 00:00:00+05:30,464.4,464.4,434.3,438.0,2246,False,0,,False
2008-04-28 00:00:00+05:30,438.6,447.03,435.59,437.35,4008,False,0,,False
2008-04-29 00:00:00+05:30,436.02,442.9,435.16,439.98,2189,False,0,,False
2008-04-30 00:00:00+05:30,414.52,456.62,414.52,454.77,13587,False,0,,False
2008-05-02 00:00:00+05:30,456.66,464.36,456.02,461.26,3953,False,0,,False
2008-05-05 00:00:00+05:30,464.4,470.42,460.1,461.99,3172,False,0,,False
2008-05-06 00:00:00+05:30,460.96,462.59,455.8,457.35,2381,False,0,,False
2008-05-07 00:00:00+05:30,452.53,460.1,431.72,454.12,3930,False,0,,False
2008-05-08 00:00:00+05:30,455.8,472.14,455.59,470.08,7752,False,0,,False
2008-05-09 00:00:00+05:30,475.58,475.58,460.1,463.37,4279,False,0,,False
2008-05-12 00:00:00+05:30,460.96,478.93,451.59,467.07,5806,False,0,,False
2008-05-13 00:00:00+05:30,466.12,473.3,460.62,462.72,6355,False,0,,False
2008-05-14 00:00:00+05:30,453.65,468.57,453.65,463.33,1315,False,0,,False
2008-05-15 00:00:00+05:30,464.4,478.16,464.4,473.56,3301,False,0,,False
2008-05-16 00:00:00+05:30,473.0,510.07,473.0,494.46,113588,False,0,,False
2008-05-20 00:00:00+05:30,494.5,576.2,494.37,511.36,49437,False,0,,False
2008-05-21 00:00:00+05:30,521.16,521.16,512.6,513.72,6301,False,0,,False
2008-05-22 00:00:00+05:30,516.0,516.0,504.05,508.35,4179,False,0,,False
2008-05-23 00:00:00+05:30,512.56,516.0,508.35,512.73,7903,False,0,,False
2008-05-26 00:00:00+05:30,520.3,520.95,495.4,505.55,3345,False,0,,False
2008-05-27 00:00:00+05:30,502.24,510.8,502.24,505.55,4302,False,0,,False
2008-05-28 00:00:00+05:30,511.61,511.61,430.0,495.53,22538,False,0,,False
2008-05-29 00:00:00+05:30,506.5,507.4,495.02,499.27,3091,False,0,,False
2008-05-30 00:00:00+05:30,512.56,514.19,497.47,507.36,4640,False,0,,False
2008-06-02 00:00:00+05:30,508.26,517.25,503.96,507.79,5277,False,0,,False
2008-06-03 00:00:00+05:30,506.54,506.54,495.06,499.53,2736,False,0,,False
2008-06-04 00:00:00+05:30,498.97,503.96,486.93,490.89,1561,False,0,,False
2008-06-05 00:00:00+05:30,491.92,503.1,482.68,491.96,2156,False,0,,False
2008-06-06 00:00:00+05:30,492.61,503.1,490.07,496.52,1902,False,0,,False
2008-06-09 00:00:00+05:30,490.2,495.36,473.0,479.41,5126,False,0,,False
2008-06-10 00:00:00+05:30,485.04,485.04,468.7,472.83,7531,False,0,,False
2008-06-11 00:00:00+05:30,473.86,485.9,473.0,475.19,1452,False,0,,False
2008-06-12 00:00:00+05:30,473.0,477.3,464.4,474.94,2176,False,0,,False
2008-06-13 00:00:00+05:30,481.51,481.51,471.28,473.0,4888,False,0,,False
