Date,open,high,low,close,volume,circuit_hit_90d,circuit_freq_90d,sma_100,sma_100_above
2008-03-31 00:00:00+05:30,67.43,67.52,64.81,65.39,22147322,False,0,,False
2008-04-01 00:00:00+05:30,65.83,66.11,62.05,63.23,13981275,False,0,,False
2008-04-02 00:00:00+05:30,64.51,64.98,60.6,61.1,19451425,False,0,,False
2008-04-03 00:00:00+05:30,61.21,62.91,60.13,62.17,21003407,False,0,,False
2008-04-04 00:00:00+05:30,62.01,64.08,61.69,62.29,29447538,False,0,,False
2008-04-07 00:00:00+05:30,62.72,64.51,60.76,64.09,19098829,False,0,,False
2008-04-08 00:00:00+05:30,64.08,64.08,61.56,61.88,16571430,False,0,,False
2008-04-09 00:00:00+05:30,62.34,64.41,61.52,63.93,21693955,False,0,,False
2008-04-10 00:00:00+05:30,63.19,64.89,63.1,64.49,16133227,False,0,,False
2008-04-11 00:00:00+05:30,64.87,66.18,63.31,65.29,21916078,False,0,,False
2008-04-15 00:00:00+05:30,65.38,65.92,63.59,65.18,10156233,False,0,,False
2008-04-16 00:00:00+05:30,65.9,66.81,64.73,65.09,11371039,False,0,,False
2008-04-17 00:00:00+05:30,65.92,67.99,65.45,67.6,20917045,False,0,,False
2008-04-21 00:00:00+05:30,68.75,73.36,68.01,73.1,29286357,False,0,,False
2008-04-22 00:00:00+05:30,73.17,74.21,72.06,73.68,17887613,False,0,,False
2008-04-23 00:00:00+05:30,72.94,75.69,71.21,75.1,34322784,False,0,,False
2008-04-24 00:00:00+05:30,75.34,75.34,72.56,73.11,20167617,False,0,,False
2008-04-25 00:00:00+05:30,73.05,75.89,72.53,75.69,20845252,False,0,,False
2008-04-28 00:00:00+05:30,76.6,76.6,67.82,73.31,20742675,False,0,,False
2008-04-29 00:00:00+05:30,73.74,77.22,73.36,76.32,33880407,False,0,,False
2008-04-30 00:00:00+05:30,76.16,77.56,75.35,77.06,20617023,False,0,,False
