Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,163.08,175.36,161.68,169.57,586628
2008-03-31 00:00:00+05:30,165.86,182.41,165.86,167.17,1928606
2008-04-01 00:00:00+05:30,175.62,177.57,158.91,167.51,343796
2008-04-02 00:00:00+05:30,172.81,176.46,168.9,171.89,280599
2008-04-03 00:00:00+05:30,171.45,180.64,168.16,178.73,197087
2008-04-04 00:00:00+05:30,178.97,179.52,169.21,172.37,527804
2008-04-07 00:00:00+05:30,175.34,182.31,167.57,177.13,187481
2008-04-08 00:00:00+05:30,177.04,182.58,175.64,179.68,128413
2008-04-09 00:00:00+05:30,178.41,186.76,176.18,185.94,143490
2008-04-10 00:00:00+05:30,188.17,189.28,185.38,188.0,166484
2008-04-11 00:00:00+05:30,191.51,192.04,182.62,189.5,185468
2008-04-15 00:00:00+05:30,185.38,202.09,184.04,197.55,343401
2008-04-16 00:00:00+05:30,200.71,204.75,198.76,201.23,283501
2008-04-17 00:00:00+05:30,206.29,215.87,204.89,209.48,467560
2008-04-21 00:00:00+05:30,224.39,224.39,213.25,219.32,239848
2008-04-22 00:00:00+05:30,214.65,224.35,214.65,220.64,427870
2008-04-23 00:00:00+05:30,221.62,222.17,214.66,215.64,294388
2008-04-24 00:00:00+05:30,217.44,219.39,214.93,216.61,52955
2008-04-25 00:00:00+05:30,214.65,225.21,213.53,223.37,347702
2008-04-28 00:00:00+05:30,227.69,231.37,225.8,230.13,187879
2008-04-29 00:00:00+05:30,229.98,237.37,229.98,236.29,231981
2008-04-30 00:00:00+05:30,245.31,245.31,233.6,235.69,506941
2008-05-02 00:00:00+05:30,240.98,245.03,235.92,242.9,630802
2008-05-05 00:00:00+05:30,245.31,246.39,241.97,243.15,395467
2008-05-06 00:00:00+05:30,242.52,244.75,237.84,240.38,665573
2008-05-07 00:00:00+05:30,236.95,240.8,232.77,239.72,145104
2008-05-08 00:00:00+05:30,236.95,240.85,233.69,234.65,320357
2008-05-09 00:00:00+05:30,235.56,235.56,225.81,227.86,219676
2008-05-12 00:00:00+05:30,223.85,228.59,214.93,224.4,173171
2008-05-13 00:00:00+05:30,229.14,239.74,223.01,228.24,409202
2008-05-14 00:00:00+05:30,219.11,231.36,219.11,229.9,120679
2008-05-15 00:00:00+05:30,231.93,238.29,225.8,233.34,367888
2008-05-16 00:00:00+05:30,239.74,240.57,234.47,239.53,129876
2008-05-20 00:00:00+05:30,236.95,250.16,235.56,241.84,539377
2008-05-21 00:00:00+05:30,242.54,246.71,241.13,245.59,315786
2008-05-22 00:00:00+05:30,245.98,246.71,236.96,239.99,236719
2008-05-23 00:00:00+05:30,217.78,245.31,217.78,239.01,157054
2008-05-26 00:00:00+05:30,228.73,236.39,228.73,232.11,145542
2008-05-27 00:00:00+05:30,232.21,238.32,231.95,232.94,228426
2008-05-28 00:00:00+05:30,236.94,239.46,231.43,238.05,209123
2008-05-29 00:00:00+05:30,238.34,241.83,231.85,234.48,369516
2008-05-30 00:00:00+05:30,240.29,240.29,216.6,220.68,447536
2008-06-02 00:00:00+05:30,227.19,227.19,214.68,221.38,105221
2008-06-03 00:00:00+05:30,217.44,218.54,205.45,211.29,354073
2008-06-04 00:00:00+05:30,207.71,217.06,202.15,205.84,199014
2008-06-05 00:00:00+05:30,207.68,208.43,197.95,200.91,343265
2008-06-06 00:00:00+05:30,206.01,206.02,200.71,203.89,208423
2008-06-09 00:00:00+05:30,201.6,201.6,188.19,193.53,241946
2008-06-10 00:00:00+05:30,193.18,193.18,184.82,186.81,210590
2008-06-11 00:00:00+05:30,188.22,202.16,187.33,199.78,209058
2008-06-12 00:00:00+05:30,195.15,212.95,193.75,210.88,433000
2008-06-13 00:00:00+05:30,215.15,223.01,211.92,222.58,288527
2008-06-16 00:00:00+05:30,242.25,242.25,221.14,224.73,300716
2008-06-17 00:00:00+05:30,235.28,235.28,224.4,229.69,302661
2008-06-18 00:00:00+05:30,225.81,234.16,225.81,229.63,157305
2008-06-19 00:00:00+05:30,223.57,229.95,217.99,227.36,386847
2008-06-20 00:00:00+05:30,229.98,229.98,214.65,217.27,312952
2008-06-23 00:00:00+05:30,214.65,214.65,202.66,203.33,185178
2008-06-24 00:00:00+05:30,203.5,204.89,183.01,183.29,255599
2008-06-25 00:00:00+05:30,170.88,183.43,170.51,176.92,249515
2008-06-26 00:00:00+05:30,185.38,187.59,175.9,177.61,260543
2008-06-27 00:00:00+05:30,172.83,179.25,167.27,177.38,84817
2008-06-30 00:00:00+05:30,177.02,180.36,168.65,171.05,140875
2008-07-01 00:00:00+05:30,170.05,177.87,161.96,164.22,228164
2008-07-02 00:00:00+05:30,167.26,171.16,149.56,169.31,398397
2008-07-03 00:00:00+05:30,165.59,175.34,158.95,162.48,75368
2008-07-04 00:00:00+05:30,159.47,166.98,159.45,166.8,153552
2008-07-07 00:00:00+05:30,173.52,195.69,168.93,185.67,354909
2008-07-08 00:00:00+05:30,174.78,192.9,167.61,185.56,133223
2008-07-09 00:00:00+05:30,191.93,205.71,187.4,190.09,626217
2008-07-10 00:00:00+05:30,188.17,196.24,179.52,180.78,386592
2008-07-11 00:00:00+05:30,183.98,186.79,170.62,172.37,248001
2008-07-14 00:00:00+05:30,172.19,174.16,165.46,167.47,279394
2008-07-15 00:00:00+05:30,160.29,166.14,155.27,156.6,219447
2008-07-16 00:00:00+05:30,155.54,165.85,153.32,156.62,284663
2008-07-17 00:00:00+05:30,166.42,167.26,157.52,164.94,180615
2008-07-18 00:00:00+05:30,172.28,172.28,164.48,170.12,145320
2008-07-21 00:00:00+05:30,168.65,177.02,165.31,171.75,93383
2008-07-22 00:00:00+05:30,170.05,178.41,170.05,177.2,120076
2008-07-23 00:00:00+05:30,185.1,186.21,178.42,181.92,249400
2008-07-24 00:00:00+05:30,185.66,190.95,178.48,179.68,155220
2008-07-25 00:00:00+05:30,167.89,182.26,167.26,176.61,116600
2008-07-28 00:00:00+05:30,181.2,182.59,169.77,179.89,275347
2008-07-29 00:00:00+05:30,178.07,180.64,173.53,175.75,81911
2008-07-30 00:00:00+05:30,179.94,181.2,177.29,178.49,72441
2008-07-31 00:00:00+05:30,178.41,178.41,176.49,177.64,80663
2008-08-01 00:00:00+05:30,176.5,182.59,172.89,181.94,159780
2008-08-04 00:00:00+05:30,181.2,186.74,179.94,180.64,41289
2008-08-05 00:00:00+05:30,178.69,184.26,178.69,183.84,39259
2008-08-06 00:00:00+05:30,165.31,188.17,165.31,180.19,104428
2008-08-07 00:00:00+05:30,174.78,183.34,174.78,181.13,50175
2008-08-08 00:00:00+05:30,183.43,183.43,177.43,181.03,93125
2008-08-11 00:00:00+05:30,194.86,203.48,182.59,184.42,108959
2008-08-12 00:00:00+05:30,183.98,188.17,179.8,182.26,105110
2008-08-13 00:00:00+05:30,160.61,186.77,160.61,184.82,97412
2008-08-14 00:00:00+05:30,181.2,185.94,178.97,179.94,75569
2008-08-18 00:00:00+05:30,179.8,180.61,175.62,178.84,108163
2008-08-19 00:00:00+05:30,175.65,179.8,175.65,178.24,123179
2008-08-20 00:00:00+05:30,178.97,180.63,177.45,178.38,127071
