Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,63.58,65.33,63.0,64.94,81689
2008-03-31 00:00:00+05:30,63.99,68.68,62.31,65.54,119820
2008-04-01 00:00:00+05:30,64.82,65.33,62.34,63.68,39465
2008-04-02 00:00:00+05:30,66.33,66.5,63.32,63.83,21310
2008-04-03 00:00:00+05:30,64.97,65.16,62.33,63.2,341322
2008-04-04 00:00:00+05:30,63.58,63.58,60.3,60.47,49417
2008-04-07 00:00:00+05:30,62.48,62.48,58.91,60.72,84259
2008-04-08 00:00:00+05:30,59.06,62.61,59.06,61.86,51047
2008-04-09 00:00:00+05:30,61.98,62.28,60.3,61.84,80531
2008-04-10 00:00:00+05:30,61.94,63.32,61.94,62.68,34755
2008-04-11 00:00:00+05:30,63.32,63.95,61.98,62.58,18922
2008-04-15 00:00:00+05:30,61.98,63.65,61.64,62.95,34352
2008-04-16 00:00:00+05:30,63.99,64.99,62.98,63.21,30074
2008-04-17 00:00:00+05:30,63.65,65.33,63.32,64.76,66928
2008-04-21 00:00:00+05:30,63.32,65.66,62.83,63.4,58394
2008-04-22 00:00:00+05:30,64.62,65.49,62.65,63.87,104011
2008-04-23 00:00:00+05:30,64.66,65.64,63.48,65.06,123011
2008-04-24 00:00:00+05:30,65.33,65.66,64.66,64.79,16871
2008-04-25 00:00:00+05:30,64.39,65.29,63.58,64.5,59913
2008-04-28 00:00:00+05:30,64.99,66.33,64.34,65.44,37779
2008-04-29 00:00:00+05:30,64.66,66.23,64.66,65.51,21041
2008-04-30 00:00:00+05:30,65.68,69.68,65.33,68.36,211749
2008-05-02 00:00:00+05:30,70.18,71.32,68.04,68.91,682988
2008-05-05 00:00:00+05:30,69.85,69.85,68.34,68.99,72710
2008-05-06 00:00:00+05:30,68.71,70.28,68.04,69.33,70794
2008-05-07 00:00:00+05:30,69.68,70.02,67.42,67.62,22516
2008-05-08 00:00:00+05:30,67.0,67.99,65.76,66.5,15740
2008-05-09 00:00:00+05:30,68.68,68.68,64.99,65.56,17397
2008-05-12 00:00:00+05:30,63.33,64.99,62.31,63.82,34543
2008-05-13 00:00:00+05:30,63.32,66.33,63.32,64.45,35423
2008-05-14 00:00:00+05:30,62.31,64.94,62.31,63.8,14498
2008-05-15 00:00:00+05:30,63.32,65.16,62.41,62.75,46838
2008-05-16 00:00:00+05:30,64.81,67.34,63.57,65.12,163671
2008-05-20 00:00:00+05:30,65.12,69.48,65.12,68.61,176277
2008-05-21 00:00:00+05:30,68.01,68.93,66.67,67.5,131346
2008-05-22 00:00:00+05:30,67.47,67.47,64.99,65.29,97185
2008-05-23 00:00:00+05:30,67.0,67.59,64.99,65.16,97507
2008-05-26 00:00:00+05:30,64.0,64.47,62.86,63.57,39680
2008-05-27 00:00:00+05:30,69.95,69.95,63.65,64.15,64853
2008-05-28 00:00:00+05:30,63.68,65.22,62.24,62.58,70758
2008-05-29 00:00:00+05:30,63.15,64.3,61.98,62.29,29561
2008-05-30 00:00:00+05:30,62.31,63.65,61.0,61.59,58044
2008-06-02 00:00:00+05:30,61.98,63.32,60.65,61.17,24283
2008-06-03 00:00:00+05:30,60.35,61.46,60.02,60.65,30319
2008-06-04 00:00:00+05:30,60.3,60.97,58.66,59.04,22841
2008-06-05 00:00:00+05:30,60.3,60.3,55.38,58.11,49719
