Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,57.47,57.47,50.63,54.88,69216
2008-03-31 00:00:00+05:30,55.08,55.08,53.46,54.19,19335
2008-04-01 00:00:00+05:30,55.49,55.49,52.65,53.38,22597
2008-04-02 00:00:00+05:30,55.0,55.0,51.19,52.25,114512
2008-04-03 00:00:00+05:30,54.27,54.27,52.65,53.06,9949
2008-04-04 00:00:00+05:30,53.06,53.46,49.86,50.54,122730
2008-04-07 00:00:00+05:30,50.67,52.2,48.36,48.56,69949
2008-04-08 00:00:00+05:30,48.6,49.82,48.2,48.44,60219
2008-04-09 00:00:00+05:30,47.39,49.25,47.39,48.56,23698
2008-04-10 00:00:00+05:30,48.6,51.44,48.6,49.13,66472
2008-04-11 00:00:00+05:30,50.14,50.22,49.01,49.29,33459
2008-04-15 00:00:00+05:30,48.6,49.73,47.99,49.29,33154
2008-04-16 00:00:00+05:30,50.54,52.65,49.25,51.31,132328
2008-04-17 00:00:00+05:30,51.84,52.53,50.34,50.63,48855
2008-04-21 00:00:00+05:30,52.65,53.22,50.3,51.15,226639
2008-04-22 00:00:00+05:30,51.03,51.44,50.02,50.42,52045
2008-04-23 00:00:00+05:30,51.03,51.35,50.22,50.63,206553
2008-04-24 00:00:00+05:30,51.84,51.88,50.06,50.22,57986
2008-04-25 00:00:00+05:30,50.95,50.95,49.57,50.14,21528
2008-04-28 00:00:00+05:30,41.03,52.65,41.03,47.91,78365
2008-04-29 00:00:00+05:30,49.21,49.41,47.87,48.28,69395
2008-04-30 00:00:00+05:30,48.96,52.2,48.32,49.41,391054
2008-05-02 00:00:00+05:30,51.76,51.76,49.45,50.22,309332
2008-05-05 00:00:00+05:30,51.72,51.76,49.86,50.06,170767
2008-05-06 00:00:00+05:30,50.99,50.99,48.84,49.77,821311
2008-05-07 00:00:00+05:30,48.6,49.33,46.82,47.87,536777
2008-05-08 00:00:00+05:30,47.43,49.82,46.98,48.8,122776
2008-05-09 00:00:00+05:30,48.52,49.01,46.98,47.3,45772
2008-05-12 00:00:00+05:30,47.06,47.63,45.36,47.1,37575
2008-05-13 00:00:00+05:30,47.79,49.25,47.47,47.75,50545
2008-05-14 00:00:00+05:30,46.98,50.54,46.21,47.71,188266
2008-05-15 00:00:00+05:30,48.6,48.84,45.77,47.1,364876
2008-05-16 00:00:00+05:30,47.59,47.79,46.49,47.1,70351
2008-05-20 00:00:00+05:30,47.02,48.36,46.82,47.47,70380
2008-05-21 00:00:00+05:30,47.79,48.36,46.98,47.63,46576
2008-05-22 00:00:00+05:30,47.71,48.92,47.14,48.24,89312
2008-05-23 00:00:00+05:30,48.52,48.88,47.3,47.51,75122
2008-05-26 00:00:00+05:30,46.17,47.26,45.4,46.25,126765
2008-05-27 00:00:00+05:30,46.98,46.98,46.05,46.58,33001
2008-05-28 00:00:00+05:30,47.75,47.75,45.04,45.48,51956
2008-05-29 00:00:00+05:30,46.09,47.26,45.77,46.45,89370
2008-05-30 00:00:00+05:30,46.37,47.67,45.81,47.06,54193
2008-06-02 00:00:00+05:30,47.79,48.03,46.58,47.18,36599
2008-06-03 00:00:00+05:30,45.6,47.06,45.6,46.25,27911
2008-06-04 00:00:00+05:30,46.98,47.26,45.04,45.64,60724
2008-06-05 00:00:00+05:30,45.36,46.7,45.36,46.21,46497
2008-06-06 00:00:00+05:30,46.25,46.94,45.6,46.05,13939
2008-06-09 00:00:00+05:30,45.36,46.17,43.98,44.59,27171
2008-06-10 00:00:00+05:30,44.79,44.79,44.43,44.59,50390
2008-06-11 00:00:00+05:30,44.71,45.24,44.55,44.59,12213
2008-06-12 00:00:00+05:30,44.55,45.2,43.82,44.63,33665
2008-06-13 00:00:00+05:30,44.55,45.97,44.27,44.43,42798
2008-06-16 00:00:00+05:30,45.16,45.32,44.55,45.0,6745
2008-06-17 00:00:00+05:30,44.55,45.16,44.55,44.59,24790
2008-06-18 00:00:00+05:30,44.59,46.41,44.55,44.87,23090
2008-06-19 00:00:00+05:30,44.71,45.12,44.15,44.87,10954
2008-06-20 00:00:00+05:30,43.9,45.28,43.9,44.55,454879
2008-06-23 00:00:00+05:30,44.55,45.12,43.94,44.67,48511
2008-06-24 00:00:00+05:30,44.63,45.12,44.55,44.55,27764
2008-06-25 00:00:00+05:30,44.55,45.2,44.15,44.59,17616
2008-06-26 00:00:00+05:30,45.44,45.56,44.55,44.67,11639
2008-06-27 00:00:00+05:30,43.74,44.83,42.97,44.55,47361
2008-06-30 00:00:00+05:30,44.63,45.28,44.55,44.59,25965
2008-07-01 00:00:00+05:30,48.6,48.6,36.98,39.0,38030
2008-07-02 00:00:00+05:30,40.5,41.59,38.88,41.19,30298
2008-07-03 00:00:00+05:30,42.12,42.12,38.88,40.01,45746
2008-07-04 00:00:00+05:30,39.2,41.27,39.2,40.74,25422
2008-07-07 00:00:00+05:30,40.58,41.72,40.5,41.35,12409
2008-07-08 00:00:00+05:30,41.31,42.12,40.66,41.76,5956
2008-07-09 00:00:00+05:30,42.4,42.48,40.5,41.23,28297
2008-07-10 00:00:00+05:30,42.04,42.04,40.66,41.39,2538
2008-07-11 00:00:00+05:30,40.58,41.63,38.88,39.57,19846
2008-07-14 00:00:00+05:30,40.26,40.26,39.0,40.1,2402
2008-07-15 00:00:00+05:30,39.12,40.01,37.3,37.95,11887
2008-07-16 00:00:00+05:30,38.11,39.57,36.69,39.37,62887
2008-07-17 00:00:00+05:30,40.34,40.34,38.48,38.84,75817
2008-07-18 00:00:00+05:30,38.6,40.5,37.26,38.07,50685
2008-07-21 00:00:00+05:30,39.2,39.2,37.42,37.5,9854
2008-07-22 00:00:00+05:30,37.58,38.88,37.46,38.07,15670
2008-07-23 00:00:00+05:30,38.88,40.5,37.75,38.19,44714
2008-07-24 00:00:00+05:30,38.56,43.42,38.27,42.61,63119
2008-07-25 00:00:00+05:30,40.62,43.74,40.62,42.77,29767
2008-07-28 00:00:00+05:30,41.39,43.74,41.31,42.81,29120
2008-07-29 00:00:00+05:30,41.39,43.58,41.35,41.55,9064
2008-07-30 00:00:00+05:30,41.72,43.74,41.11,42.24,210266
2008-07-31 00:00:00+05:30,41.35,43.13,41.31,42.81,13559
2008-08-01 00:00:00+05:30,42.12,42.93,41.72,42.4,9885
2008-08-04 00:00:00+05:30,42.36,42.93,41.76,42.48,11199
2008-08-05 00:00:00+05:30,42.32,43.74,42.32,43.34,16688
2008-08-06 00:00:00+05:30,43.74,44.06,42.61,42.97,19170
2008-08-07 00:00:00+05:30,42.53,43.09,41.47,42.4,5571
2008-08-08 00:00:00+05:30,43.74,43.74,41.72,42.61,3102
2008-08-11 00:00:00+05:30,44.39,49.41,43.01,47.51,114176
2008-08-12 00:00:00+05:30,48.44,48.52,46.17,47.34,27739
2008-08-13 00:00:00+05:30,47.63,48.28,45.6,47.63,15996
2008-08-14 00:00:00+05:30,46.41,47.75,46.17,46.66,13370
2008-08-18 00:00:00+05:30,46.17,47.26,45.77,46.74,17425
2008-08-19 00:00:00+05:30,46.17,46.58,44.75,45.72,17396
2008-08-20 00:00:00+05:30,46.98,46.98,43.82,44.23,12346
2008-08-21 00:00:00+05:30,45.28,45.36,42.93,43.86,9519
2008-08-22 00:00:00+05:30,43.01,44.47,43.01,43.9,6661
2008-08-25 00:00:00+05:30,44.43,44.96,43.21,43.74,4608
2008-08-26 00:00:00+05:30,42.4,43.94,42.4,43.29,3818
2008-08-27 00:00:00+05:30,44.1,44.15,43.05,43.74,1740
2008-08-28 00:00:00+05:30,43.09,44.47,42.61,42.77,6170
2008-08-29 00:00:00+05:30,42.93,51.35,41.72,42.04,7331444
2008-09-01 00:00:00+05:30,44.55,48.44,44.55,46.05,196104
2008-09-02 00:00:00+05:30,45.64,46.98,45.6,46.53,36827
2008-09-04 00:00:00+05:30,45.36,46.17,44.91,45.04,20864
2008-09-05 00:00:00+05:30,45.2,45.2,43.5,43.94,25648
2008-09-08 00:00:00+05:30,45.16,45.36,42.93,43.21,22739
2008-09-09 00:00:00+05:30,43.74,44.71,42.53,42.97,17848
2008-09-10 00:00:00+05:30,42.97,44.91,42.32,43.94,34639
2008-09-11 00:00:00+05:30,44.35,48.2,42.93,47.14,404802
2008-09-12 00:00:00+05:30,48.6,51.48,45.44,46.05,801986
2008-09-15 00:00:00+05:30,43.82,45.32,40.74,42.73,286765
2008-09-16 00:00:00+05:30,40.91,44.51,40.91,43.13,79172
2008-09-17 00:00:00+05:30,42.93,43.58,41.31,41.51,36351
2008-09-18 00:00:00+05:30,39.69,41.96,38.88,40.74,39265
2008-09-19 00:00:00+05:30,42.53,42.53,40.5,40.7,19941
2008-09-22 00:00:00+05:30,42.69,42.69,40.58,41.11,16116
2008-09-23 00:00:00+05:30,40.58,41.07,39.85,40.3,16807
2008-09-24 00:00:00+05:30,41.27,42.12,40.26,41.8,98503
2008-09-25 00:00:00+05:30,42.53,43.94,41.39,43.78,190208
2008-09-26 00:00:00+05:30,43.74,44.15,42.08,42.81,105748
2008-09-29 00:00:00+05:30,41.63,42.12,39.85,40.5,37541
2008-09-30 00:00:00+05:30,36.53,43.25,36.53,42.53,68171
2008-10-01 00:00:00+05:30,44.39,44.39,40.66,41.35,21020
2008-10-03 00:00:00+05:30,40.78,42.53,40.78,41.59,7387
2008-10-06 00:00:00+05:30,40.58,40.62,36.86,37.71,21280
2008-10-07 00:00:00+05:30,36.94,39.29,36.61,37.79,15474
2008-10-08 00:00:00+05:30,36.61,36.69,32.64,35.72,16344
2008-10-10 00:00:00+05:30,33.62,37.26,30.38,34.83,33312
2008-10-13 00:00:00+05:30,34.95,35.96,34.83,35.56,11033
2008-10-14 00:00:00+05:30,35.84,37.26,34.47,34.83,23619
2008-10-15 00:00:00+05:30,34.83,35.68,34.3,35.48,8770
2008-10-16 00:00:00+05:30,34.83,35.64,32.56,34.87,16591
2008-10-17 00:00:00+05:30,35.24,36.0,34.22,34.34,38724
2008-10-20 00:00:00+05:30,34.63,35.24,32.04,32.4,17113
2008-10-21 00:00:00+05:30,33.01,33.49,32.0,32.52,10882
2008-10-22 00:00:00+05:30,32.4,33.17,31.27,32.04,4512
2008-10-23 00:00:00+05:30,30.86,32.81,30.86,32.24,2571
2008-10-24 00:00:00+05:30,30.9,33.09,28.96,29.61,19728
2008-10-27 00:00:00+05:30,29.16,29.28,24.58,27.58,44171
2008-10-28 00:00:00+05:30,26.73,31.19,26.73,28.67,2614
2008-10-29 00:00:00+05:30,27.54,32.4,27.54,27.62,29980
2008-10-31 00:00:00+05:30,28.76,33.17,27.54,32.97,41512
2008-11-03 00:00:00+05:30,33.17,37.99,32.4,36.41,18406
2008-11-04 00:00:00+05:30,35.64,38.76,34.83,38.11,20782
2008-11-05 00:00:00+05:30,38.07,39.69,38.07,38.8,25895
2008-11-06 00:00:00+05:30,37.26,39.04,37.26,38.88,17687
2008-11-07 00:00:00+05:30,38.07,39.2,38.07,38.88,15238
2008-11-10 00:00:00+05:30,38.88,39.89,38.88,38.88,17122
2008-11-11 00:00:00+05:30,38.88,39.49,37.54,38.07,28786
2008-11-12 00:00:00+05:30,37.58,38.8,37.26,37.34,3950
2008-11-14 00:00:00+05:30,37.26,38.07,37.26,37.83,52053
2008-11-17 00:00:00+05:30,37.26,37.95,36.05,36.45,18076
2008-11-18 00:00:00+05:30,36.45,36.86,32.81,32.89,32477
2008-11-19 00:00:00+05:30,32.4,34.83,32.4,34.06,61417
2008-11-20 00:00:00+05:30,33.62,34.43,33.62,34.02,10051
2008-11-21 00:00:00+05:30,34.43,34.43,33.21,33.37,36114
2008-11-24 00:00:00+05:30,33.62,34.02,32.81,33.21,32675
2008-11-25 00:00:00+05:30,33.25,34.02,32.4,32.4,24244
2008-11-26 00:00:00+05:30,32.4,33.82,31.59,32.28,15653
2008-11-28 00:00:00+05:30,32.4,34.02,31.59,33.37,33137
2008-12-01 00:00:00+05:30,32.4,33.17,31.71,31.71,2162
2008-12-02 00:00:00+05:30,31.59,32.76,31.59,32.28,1796
2008-12-03 00:00:00+05:30,31.63,32.97,31.63,32.4,356
2008-12-04 00:00:00+05:30,31.59,32.0,31.59,31.59,15823
2008-12-05 00:00:00+05:30,31.59,32.0,31.59,31.59,9272
2008-12-08 00:00:00+05:30,33.09,33.09,31.59,31.59,2714
2008-12-10 00:00:00+05:30,32.32,32.32,31.43,31.59,5359
2008-12-11 00:00:00+05:30,30.17,32.36,30.13,31.67,680530
2008-12-12 00:00:00+05:30,32.28,32.32,31.59,31.71,3197
2008-12-15 00:00:00+05:30,31.83,33.33,31.83,31.91,6061
2008-12-16 00:00:00+05:30,32.4,33.41,32.08,33.37,4032
2008-12-17 00:00:00+05:30,33.45,34.43,33.21,33.9,1656
2008-12-18 00:00:00+05:30,33.21,34.02,32.89,34.02,718
2008-12-19 00:00:00+05:30,32.93,34.18,32.93,33.9,1234
2008-12-22 00:00:00+05:30,33.66,33.98,32.52,32.52,1734
2008-12-23 00:00:00+05:30,31.63,33.21,31.63,32.4,808
2008-12-24 00:00:00+05:30,31.59,32.32,31.59,32.16,1195
2008-12-26 00:00:00+05:30,33.13,33.13,31.79,32.16,1937
2008-12-29 00:00:00+05:30,31.59,33.21,31.59,33.17,32287
2008-12-30 00:00:00+05:30,33.17,33.17,32.12,32.12,493
2008-12-31 00:00:00+05:30,32.28,33.17,32.24,32.36,1366
2009-01-01 00:00:00+05:30,33.17,33.17,32.4,32.4,8377
2009-01-02 00:00:00+05:30,32.4,32.93,31.71,32.16,37681
2009-01-05 00:00:00+05:30,32.4,33.78,31.67,33.7,58153
2009-01-06 00:00:00+05:30,34.02,35.4,34.02,35.4,26619
2009-01-07 00:00:00+05:30,37.18,37.18,33.82,35.03,30788
