Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,16.68,17.45,16.5,17.25,5735588
2008-03-31 00:00:00+05:30,17.15,17.8,17.0,17.7,9220114
2008-04-01 00:00:00+05:30,17.9,18.2,17.3,17.53,5396346
2008-04-02 00:00:00+05:30,17.93,18.0,17.28,17.35,1638546
2008-04-03 00:00:00+05:30,17.3,17.48,17.2,17.33,1914630
2008-04-04 00:00:00+05:30,17.28,17.58,17.15,17.23,2261324
2008-04-07 00:00:00+05:30,17.23,17.63,16.95,17.55,2889062
2008-04-08 00:00:00+05:30,17.6,18.78,17.6,18.55,16488342
2008-04-09 00:00:00+05:30,18.75,19.33,18.5,19.13,15585282
2008-04-10 00:00:00+05:30,19.63,19.63,18.68,18.88,6041072
2008-04-11 00:00:00+05:30,18.95,19.45,18.58,18.93,7109276
2008-04-15 00:00:00+05:30,18.75,19.1,18.6,19.03,4107606
2008-04-16 00:00:00+05:30,19.4,19.45,18.95,19.0,3961456
2008-04-17 00:00:00+05:30,19.4,19.4,19.0,19.1,2725810
2008-04-21 00:00:00+05:30,19.2,19.43,19.08,19.13,2346844
2008-04-22 00:00:00+05:30,19.08,19.45,19.0,19.03,3623922
2008-04-23 00:00:00+05:30,19.05,21.23,18.95,20.88,22195994
2008-04-24 00:00:00+05:30,21.43,22.1,20.15,20.3,19194648
2008-04-25 00:00:00+05:30,20.25,21.13,19.9,20.53,13811670
2008-04-28 00:00:00+05:30,21.25,21.25,19.85,19.95,4960736
2008-04-29 00:00:00+05:30,19.95,20.35,19.43,20.1,4278022
2008-04-30 00:00:00+05:30,20.3,20.93,19.95,20.58,11011960
2008-05-02 00:00:00+05:30,20.88,21.75,20.53,21.5,26096296
2008-05-05 00:00:00+05:30,21.7,22.05,21.3,21.43,16311242
2008-05-06 00:00:00+05:30,21.38,21.85,21.05,21.38,8899768
2008-05-07 00:00:00+05:30,21.4,21.65,20.8,20.88,12420412
2008-05-08 00:00:00+05:30,20.98,21.0,19.95,20.25,17222462
2008-05-09 00:00:00+05:30,20.25,20.83,19.5,19.65,10852694
2008-05-12 00:00:00+05:30,19.8,20.4,18.8,19.6,11336788
2008-05-13 00:00:00+05:30,19.75,20.1,18.95,19.15,7895556
2008-05-14 00:00:00+05:30,18.75,19.83,18.75,19.23,5080914
2008-05-15 00:00:00+05:30,19.65,19.73,19.1,19.5,4830862
2008-05-16 00:00:00+05:30,19.75,20.05,19.38,19.58,5266354
2008-05-20 00:00:00+05:30,19.75,19.98,19.38,19.88,5609454
2008-05-21 00:00:00+05:30,19.85,20.15,19.53,20.08,5181812
2008-05-22 00:00:00+05:30,19.9,19.9,19.15,19.2,5926472
2008-05-23 00:00:00+05:30,19.28,19.48,18.65,18.7,3730298
2008-05-26 00:00:00+05:30,18.63,19.1,18.25,18.55,7164632
2008-05-27 00:00:00+05:30,18.88,18.95,18.13,18.23,3679072
2008-05-28 00:00:00+05:30,18.38,18.58,18.13,18.5,2998284
2008-05-29 00:00:00+05:30,18.9,18.9,17.88,18.03,7472658
2008-05-30 00:00:00+05:30,18.23,18.4,17.8,17.9,2776150
2008-06-02 00:00:00+05:30,18.05,18.35,17.5,17.6,3269824
2008-06-03 00:00:00+05:30,17.5,17.6,16.95,17.43,4165678
2008-06-04 00:00:00+05:30,17.65,17.65,16.08,16.45,6314570
2008-06-05 00:00:00+05:30,16.45,16.45,15.7,16.2,8086140
2008-06-06 00:00:00+05:30,16.5,16.5,16.08,16.18,3062378
2008-06-09 00:00:00+05:30,16.0,16.0,15.15,15.4,4088438
2008-06-10 00:00:00+05:30,15.3,15.78,15.25,15.6,3522954
2008-06-11 00:00:00+05:30,15.75,16.45,15.63,16.3,3966134
2008-06-12 00:00:00+05:30,15.8,16.55,15.58,16.43,2567488
2008-06-13 00:00:00+05:30,16.9,16.9,16.0,16.13,2792042
2008-06-16 00:00:00+05:30,16.4,16.63,16.28,16.43,2109276
2008-06-17 00:00:00+05:30,16.43,16.63,16.23,16.55,1767946
2008-06-18 00:00:00+05:30,16.8,17.18,16.63,16.65,3675386
2008-06-19 00:00:00+05:30,16.4,16.88,16.1,16.63,3704486
2008-06-20 00:00:00+05:30,16.85,16.88,16.03,16.18,2291614
2008-06-23 00:00:00+05:30,15.6,16.25,15.43,15.6,2994928
2008-06-24 00:00:00+05:30,15.6,15.73,15.25,15.35,2001114
2008-06-25 00:00:00+05:30,15.0,15.58,14.83,15.5,4630576
2008-06-26 00:00:00+05:30,15.7,16.0,15.5,15.75,9243322
2008-06-27 00:00:00+05:30,15.48,15.63,14.78,14.9,4878308
2008-06-30 00:00:00+05:30,15.45,15.45,14.2,14.28,4088740
2008-07-01 00:00:00+05:30,14.28,14.5,13.5,13.55,3246146
2008-07-02 00:00:00+05:30,13.5,14.48,13.03,14.33,4439124
2008-07-03 00:00:00+05:30,14.7,14.7,13.7,14.0,2965680
2008-07-04 00:00:00+05:30,14.0,14.5,13.55,14.38,3454266
2008-07-07 00:00:00+05:30,14.68,14.98,14.45,14.88,4035548
2008-07-08 00:00:00+05:30,14.7,15.58,14.3,15.03,6919230
2008-07-09 00:00:00+05:30,15.5,15.8,15.15,15.18,9960564
2008-07-10 00:00:00+05:30,15.03,15.45,14.85,15.0,1957858
2008-07-11 00:00:00+05:30,15.15,15.25,14.63,14.73,2578070
2008-07-14 00:00:00+05:30,14.73,15.03,14.5,14.83,2149916
