Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,88.84,93.13,87.05,91.97,493215
2008-03-31 00:00:00+05:30,91.35,98.88,87.05,95.93,703273
2008-04-01 00:00:00+05:30,97.86,101.19,93.71,95.98,264112
2008-04-02 00:00:00+05:30,99.36,101.48,92.75,93.52,162472
2008-04-03 00:00:00+05:30,95.26,95.3,90.28,90.77,318988
2008-04-04 00:00:00+05:30,92.17,92.17,88.84,90.09,116119
2008-04-07 00:00:00+05:30,90.96,94.44,89.03,93.13,332350
2008-04-08 00:00:00+05:30,93.18,97.04,91.64,95.69,172755
2008-04-09 00:00:00+05:30,92.7,100.81,91.73,98.1,299841
2008-04-10 00:00:00+05:30,98.49,101.29,97.57,99.79,216828
2008-04-11 00:00:00+05:30,101.39,102.55,98.54,100.23,87392
2008-04-15 00:00:00+05:30,99.22,103.32,97.82,102.6,575114
2008-04-16 00:00:00+05:30,103.8,108.1,99.12,100.95,677955
2008-04-17 00:00:00+05:30,105.35,112.59,101.68,108.0,2172734
2008-04-21 00:00:00+05:30,109.11,112.15,107.33,109.31,945191
2008-04-22 00:00:00+05:30,107.76,112.3,107.28,109.21,655504
2008-04-23 00:00:00+05:30,109.84,111.91,107.28,107.91,292739
2008-04-24 00:00:00+05:30,107.66,109.45,103.32,104.14,219150
2008-04-25 00:00:00+05:30,104.33,113.94,104.28,109.6,1145947
2008-04-28 00:00:00+05:30,110.17,112.4,107.18,108.29,772443
2008-04-29 00:00:00+05:30,108.2,110.27,107.52,108.0,248877
2008-04-30 00:00:00+05:30,108.15,109.11,104.28,105.64,189563
2008-05-02 00:00:00+05:30,106.26,110.08,106.26,106.94,288712
2008-05-05 00:00:00+05:30,108.82,110.08,106.7,107.42,405177
2008-05-06 00:00:00+05:30,107.18,109.69,105.35,105.93,188137
2008-05-07 00:00:00+05:30,105.25,107.66,103.37,104.09,148131
2008-05-08 00:00:00+05:30,103.75,103.75,101.48,102.4,79165
2008-05-09 00:00:00+05:30,102.11,103.9,97.57,98.59,96974
2008-05-12 00:00:00+05:30,95.21,102.55,92.79,101.19,529423
2008-05-13 00:00:00+05:30,102.84,105.15,97.62,98.54,345702
2008-05-14 00:00:00+05:30,96.75,101.77,96.75,99.55,391814
2008-05-15 00:00:00+05:30,100.23,101.77,98.35,99.99,173429
2008-05-16 00:00:00+05:30,100.42,104.77,99.46,103.27,602100
2008-05-20 00:00:00+05:30,102.26,105.54,101.58,103.32,325098
2008-05-21 00:00:00+05:30,102.35,106.6,102.35,105.01,401003
2008-05-22 00:00:00+05:30,103.17,108.44,102.45,103.27,367789
2008-05-23 00:00:00+05:30,102.4,105.73,99.51,100.66,170084
2008-05-26 00:00:00+05:30,98.59,99.36,95.59,97.24,129839
2008-05-27 00:00:00+05:30,98.97,102.74,97.62,98.83,402372
2008-05-28 00:00:00+05:30,99.84,106.02,99.46,105.01,967454
2008-05-29 00:00:00+05:30,106.22,109.5,99.46,102.35,942389
2008-05-30 00:00:00+05:30,104.28,104.96,100.76,102.16,517384
2008-06-02 00:00:00+05:30,103.22,104.24,99.46,100.13,312681
2008-06-03 00:00:00+05:30,97.04,101.29,97.04,99.99,169019
2008-06-04 00:00:00+05:30,100.23,103.8,98.15,99.12,262392
2008-06-05 00:00:00+05:30,99.17,100.42,96.17,99.65,167131
2008-06-06 00:00:00+05:30,100.81,110.08,97.14,98.15,132311
2008-06-09 00:00:00+05:30,93.28,98.88,91.25,96.66,198544
2008-06-10 00:00:00+05:30,96.56,98.97,92.7,96.17,214952
2008-06-11 00:00:00+05:30,97.33,98.88,95.74,96.42,270630
2008-06-12 00:00:00+05:30,94.48,98.39,92.7,97.24,370278
