Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,84.5,88.2,84.5,87.58,18000
2008-03-31 00:00:00+05:30,87.48,87.5,84.03,86.73,15206
2008-04-01 00:00:00+05:30,87.0,87.88,86.5,87.05,7516
2008-04-02 00:00:00+05:30,88.5,88.5,85.0,85.28,10450
2008-04-03 00:00:00+05:30,85.0,87.48,84.0,86.05,6998
2008-04-04 00:00:00+05:30,84.03,88.0,84.03,87.25,8258
2008-04-07 00:00:00+05:30,86.03,87.4,84.5,84.65,14378
2008-04-08 00:00:00+05:30,85.0,86.48,84.45,85.5,15026
2008-04-09 00:00:00+05:30,86.25,89.0,85.95,87.38,26594
2008-04-10 00:00:00+05:30,85.98,88.93,85.03,87.58,16228
2008-04-11 00:00:00+05:30,85.0,89.0,85.0,86.98,8388
2008-04-15 00:00:00+05:30,85.63,90.0,85.63,89.38,20040
2008-04-16 00:00:00+05:30,88.05,91.4,88.05,89.0,10702
2008-04-17 00:00:00+05:30,90.0,90.93,88.1,90.18,42170
2008-04-21 00:00:00+05:30,90.95,94.0,88.78,91.35,135516
2008-04-22 00:00:00+05:30,90.03,99.95,90.0,97.48,113948
2008-04-23 00:00:00+05:30,99.98,116.95,99.05,103.6,137226
2008-04-24 00:00:00+05:30,104.5,113.48,100.58,107.73,782454
2008-04-25 00:00:00+05:30,109.48,129.28,109.0,128.03,2526044
2008-04-28 00:00:00+05:30,126.7,128.95,115.23,115.43,645236
2008-04-29 00:00:00+05:30,114.9,119.5,110.0,110.83,265048
2008-04-30 00:00:00+05:30,110.83,114.0,110.8,111.93,213370
2008-05-02 00:00:00+05:30,112.63,113.98,109.48,113.1,143692
2008-05-05 00:00:00+05:30,113.45,117.0,110.15,112.25,55596
2008-05-06 00:00:00+05:30,112.5,114.48,107.53,108.25,44176
2008-05-07 00:00:00+05:30,109.0,109.75,106.8,108.0,27424
2008-05-08 00:00:00+05:30,105.83,111.75,105.83,107.15,61104
2008-05-09 00:00:00+05:30,105.03,107.48,103.6,104.4,45096
2008-05-12 00:00:00+05:30,102.53,104.55,98.08,101.1,48698
2008-05-13 00:00:00+05:30,101.5,110.0,101.5,106.53,91490
2008-05-14 00:00:00+05:30,105.5,106.98,104.75,106.23,25972
2008-05-15 00:00:00+05:30,105.03,111.45,105.03,110.25,38878
