Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,22.7,23.3,22.0,22.5,44130
2008-03-31 00:00:00+05:30,22.5,23.55,22.1,22.4,27964
2008-04-01 00:00:00+05:30,22.5,23.05,22.05,23.0,12226
2008-04-02 00:00:00+05:30,23.4,23.8,22.8,23.0,12292
2008-04-03 00:00:00+05:30,22.8,23.7,22.7,22.95,13167
2008-04-04 00:00:00+05:30,22.2,23.4,22.0,22.25,14271
2008-04-07 00:00:00+05:30,22.1,23.4,22.1,22.6,10320
2008-04-08 00:00:00+05:30,22.5,23.0,22.3,22.95,8449
2008-04-09 00:00:00+05:30,23.0,23.4,22.45,22.95,10125
2008-04-10 00:00:00+05:30,23.5,24.1,22.75,23.55,20559
2008-04-11 00:00:00+05:30,24.4,24.75,23.9,24.75,12803
2008-04-15 00:00:00+05:30,25.45,26.0,24.7,26.0,22385
2008-04-16 00:00:00+05:30,27.15,27.3,27.15,27.3,6616
2008-04-17 00:00:00+05:30,28.7,28.7,28.7,28.7,3645
2008-04-21 00:00:00+05:30,30.15,30.15,30.15,30.15,6184
2008-04-22 00:00:00+05:30,31.7,31.7,30.3,31.7,48106
2008-04-23 00:00:00+05:30,33.3,33.3,32.65,33.3,18150
2008-04-24 00:00:00+05:30,35.0,35.0,35.0,35.0,8787
2008-04-25 00:00:00+05:30,36.75,36.75,36.75,36.75,44497
2008-04-28 00:00:00+05:30,38.6,38.6,37.1,38.55,77286
2008-04-29 00:00:00+05:30,39.9,39.9,36.65,36.65,61748
2008-04-30 00:00:00+05:30,35.05,35.05,34.85,34.85,5332
2008-05-02 00:00:00+05:30,33.15,36.6,33.15,35.0,59347
2008-05-05 00:00:00+05:30,36.75,36.75,36.75,36.75,6337
2008-05-06 00:00:00+05:30,38.6,38.6,38.6,38.6,17566
2008-05-07 00:00:00+05:30,40.55,40.55,40.0,40.55,34120
2008-05-08 00:00:00+05:30,42.4,42.4,38.55,38.55,53625
2008-05-09 00:00:00+05:30,36.7,37.5,36.65,36.65,16000
2008-05-12 00:00:00+05:30,36.6,36.85,34.85,36.3,25710
2008-05-13 00:00:00+05:30,38.1,38.1,35.2,35.6,47697
2008-05-14 00:00:00+05:30,35.6,36.0,33.85,34.25,34481
2008-05-15 00:00:00+05:30,35.5,36.0,35.0,35.95,53104
2008-05-16 00:00:00+05:30,37.5,37.5,34.75,36.3,58142
2008-05-20 00:00:00+05:30,35.3,36.15,34.5,34.65,30536
2008-05-21 00:00:00+05:30,35.0,35.85,33.25,34.8,59245
2008-05-22 00:00:00+05:30,34.9,35.45,33.55,33.7,35080
2008-05-23 00:00:00+05:30,34.55,35.15,33.5,33.8,43405
2008-05-26 00:00:00+05:30,33.0,33.1,32.15,32.65,22912
2008-05-27 00:00:00+05:30,33.8,34.3,32.5,33.4,48184
2008-05-28 00:00:00+05:30,33.0,35.1,33.0,35.1,75969
2008-05-29 00:00:00+05:30,35.95,36.9,34.3,34.85,186045
2008-05-30 00:00:00+05:30,35.7,35.7,33.15,33.2,33209
2008-06-02 00:00:00+05:30,33.9,34.0,31.6,31.8,26555
2008-06-03 00:00:00+05:30,32.4,32.4,30.25,31.4,21658
2008-06-04 00:00:00+05:30,31.5,32.0,30.35,30.75,25781
2008-06-05 00:00:00+05:30,30.1,31.2,29.5,30.75,14909
2008-06-06 00:00:00+05:30,30.75,31.95,30.25,30.9,15181
2008-06-09 00:00:00+05:30,29.5,30.9,29.4,29.4,12854
2008-06-10 00:00:00+05:30,28.3,30.85,28.15,30.25,24532
2008-06-11 00:00:00+05:30,31.25,31.8,29.65,30.9,12091
2008-06-12 00:00:00+05:30,29.4,32.0,29.4,31.65,24648
2008-06-13 00:00:00+05:30,32.65,33.25,31.5,33.25,31828
2008-06-16 00:00:00+05:30,34.95,34.95,32.15,32.9,90761
2008-06-17 00:00:00+05:30,32.5,33.85,31.25,31.25,83477
2008-06-18 00:00:00+05:30,31.4,32.25,29.7,29.75,75530
2008-06-19 00:00:00+05:30,30.0,30.1,29.1,29.7,18581
2008-06-20 00:00:00+05:30,30.0,30.0,28.25,28.25,28221
2008-06-23 00:00:00+05:30,27.05,27.9,26.85,26.85,10839
2008-06-24 00:00:00+05:30,26.05,27.0,25.55,25.95,19039
2008-06-25 00:00:00+05:30,26.3,26.5,24.75,26.05,19140
2008-06-26 00:00:00+05:30,26.1,27.35,26.1,27.35,29376
2008-06-27 00:00:00+05:30,26.9,28.45,26.55,27.15,68948
2008-06-30 00:00:00+05:30,26.7,27.5,25.8,25.9,9445
2008-07-01 00:00:00+05:30,25.75,25.8,24.6,24.6,10580
2008-07-02 00:00:00+05:30,23.5,24.9,23.4,24.65,18191
2008-07-03 00:00:00+05:30,24.75,24.8,24.0,24.25,13292
2008-07-04 00:00:00+05:30,23.95,24.95,23.3,24.65,8987
2008-07-07 00:00:00+05:30,25.0,25.75,23.7,24.7,8887
2008-07-08 00:00:00+05:30,24.1,25.0,23.85,24.15,13085
2008-07-09 00:00:00+05:30,25.0,25.4,24.25,24.95,12023
2008-07-10 00:00:00+05:30,25.15,25.7,24.3,24.9,13266
2008-07-11 00:00:00+05:30,24.65,25.45,24.0,24.25,10855
2008-07-14 00:00:00+05:30,24.5,25.5,23.75,25.5,34812
2008-07-15 00:00:00+05:30,26.8,26.8,24.8,25.5,56708
2008-07-16 00:00:00+05:30,24.5,25.55,24.25,24.3,22570
2008-07-17 00:00:00+05:30,24.7,25.0,24.15,24.3,10497
2008-07-18 00:00:00+05:30,25.15,25.15,24.2,24.75,8443
2008-07-21 00:00:00+05:30,24.0,24.45,23.9,24.15,8457
2008-07-22 00:00:00+05:30,24.5,25.4,23.7,24.7,18781
2008-07-23 00:00:00+05:30,25.0,25.95,25.0,25.95,17915
2008-07-24 00:00:00+05:30,26.0,27.25,25.3,27.1,68667
