Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,32.0,34.4,31.8,33.31,1373024
2008-03-31 00:00:00+05:30,34.0,35.8,32.2,34.15,458919
2008-04-01 00:00:00+05:30,35.0,35.0,32.8,33.66,56229
2008-04-02 00:00:00+05:30,34.8,34.8,32.83,33.21,68449
2008-04-03 00:00:00+05:30,33.1,33.4,32.0,32.11,75419
2008-04-04 00:00:00+05:30,33.0,33.38,31.9,32.33,80704
2008-04-07 00:00:00+05:30,33.19,35.41,32.01,35.01,233554
2008-04-08 00:00:00+05:30,33.4,36.0,33.3,34.99,194254
2008-04-09 00:00:00+05:30,34.47,36.59,34.43,35.36,120624
2008-04-10 00:00:00+05:30,35.97,36.2,34.91,36.05,113454
2008-04-11 00:00:00+05:30,36.3,37.2,35.83,36.56,147764
2008-04-15 00:00:00+05:30,36.01,38.6,36.01,38.16,99844
2008-04-16 00:00:00+05:30,38.2,38.79,37.24,37.91,77824
2008-04-17 00:00:00+05:30,38.29,41.4,38.0,39.68,524264
2008-04-21 00:00:00+05:30,40.59,43.18,39.64,41.95,667594
2008-04-22 00:00:00+05:30,41.03,42.9,41.03,41.62,425124
2008-04-23 00:00:00+05:30,41.98,41.98,40.02,41.6,271704
2008-04-24 00:00:00+05:30,41.98,42.8,39.44,39.84,423649
2008-04-25 00:00:00+05:30,40.9,41.69,40.0,40.87,516179
2008-04-28 00:00:00+05:30,41.0,41.0,37.4,37.99,787689
2008-04-29 00:00:00+05:30,38.4,38.75,38.28,38.37,91764
2008-04-30 00:00:00+05:30,38.24,39.2,38.22,38.81,171344
2008-05-02 00:00:00+05:30,39.02,39.74,38.23,38.5,114899
2008-05-05 00:00:00+05:30,39.16,40.1,38.61,39.3,268594
2008-05-06 00:00:00+05:30,39.5,39.96,38.3,38.78,92854
2008-05-07 00:00:00+05:30,38.4,38.8,37.4,37.85,98844
2008-05-08 00:00:00+05:30,37.4,37.6,36.6,36.8,84379
2008-05-09 00:00:00+05:30,37.0,37.19,36.06,36.46,43349
2008-05-12 00:00:00+05:30,36.02,36.23,33.91,34.32,1133999
2008-05-13 00:00:00+05:30,34.62,34.87,33.36,33.71,1031279
2008-05-14 00:00:00+05:30,33.5,33.68,31.93,32.98,1299149
2008-05-15 00:00:00+05:30,33.63,34.49,33.41,34.05,358994
2008-05-16 00:00:00+05:30,34.8,35.4,34.2,35.18,429244
2008-05-20 00:00:00+05:30,35.79,37.0,34.62,35.27,363064
2008-05-21 00:00:00+05:30,34.8,35.6,34.79,35.39,204779
2008-05-22 00:00:00+05:30,35.0,35.8,34.7,34.77,154084
2008-05-23 00:00:00+05:30,34.83,35.4,34.07,34.25,108509
2008-05-26 00:00:00+05:30,33.98,34.0,33.15,33.26,116594
2008-05-27 00:00:00+05:30,33.0,34.59,33.0,33.32,157559
2008-05-28 00:00:00+05:30,33.98,36.8,33.4,36.1,1106654
2008-05-29 00:00:00+05:30,36.23,36.8,34.83,35.03,293054
2008-05-30 00:00:00+05:30,35.43,35.96,34.05,35.12,314254
