Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,38.81,39.26,37.61,39.09,1234885
2008-03-31 00:00:00+05:30,38.81,39.25,37.64,37.99,2870707
2008-04-01 00:00:00+05:30,37.33,38.81,37.33,37.99,4063141
2008-04-02 00:00:00+05:30,38.52,39.26,38.08,38.35,1407637
2008-04-03 00:00:00+05:30,38.23,38.74,38.08,38.21,2433982
2008-04-04 00:00:00+05:30,38.53,38.81,37.65,37.97,1912410
2008-04-07 00:00:00+05:30,38.51,38.93,37.05,37.44,2892637
2008-04-08 00:00:00+05:30,37.34,37.77,36.67,36.85,3324894
2008-04-09 00:00:00+05:30,37.71,38.49,36.37,36.79,2547307
2008-04-10 00:00:00+05:30,36.74,37.54,36.08,36.25,3465145
2008-04-11 00:00:00+05:30,36.52,36.81,36.23,36.59,2497074
2008-04-15 00:00:00+05:30,36.89,37.33,36.0,36.78,2839825
2008-04-16 00:00:00+05:30,36.74,37.28,36.46,36.57,1863013
2008-04-17 00:00:00+05:30,37.19,37.67,36.45,37.24,2804557
2008-04-21 00:00:00+05:30,37.19,37.91,37.05,37.65,1567558
2008-04-22 00:00:00+05:30,37.48,38.29,37.07,37.31,1840758
2008-04-23 00:00:00+05:30,37.08,37.51,36.83,37.01,2975487
2008-04-24 00:00:00+05:30,37.33,37.33,35.57,35.81,12161529
2008-04-25 00:00:00+05:30,36.07,36.89,36.04,36.71,6013102
2008-04-28 00:00:00+05:30,36.0,37.86,36.0,37.53,3848815
2008-04-29 00:00:00+05:30,37.78,38.05,36.89,37.79,3021468
2008-04-30 00:00:00+05:30,37.78,38.29,37.71,38.12,6636397
2008-05-02 00:00:00+05:30,38.52,39.53,38.52,39.14,4727557
2008-05-05 00:00:00+05:30,38.67,39.41,38.67,39.25,3664878
2008-05-06 00:00:00+05:30,39.11,39.11,37.36,37.55,3011883
2008-05-07 00:00:00+05:30,37.55,37.55,35.87,36.13,8012695
2008-05-08 00:00:00+05:30,34.81,36.8,34.81,36.41,5573292
2008-05-09 00:00:00+05:30,36.41,36.86,35.81,35.99,2962054
2008-05-12 00:00:00+05:30,36.13,36.13,34.45,35.07,5433412
2008-05-13 00:00:00+05:30,35.4,36.07,34.29,34.93,9360906
2008-05-14 00:00:00+05:30,34.22,35.51,34.15,35.05,5722453
2008-05-15 00:00:00+05:30,35.11,35.52,34.95,35.26,1757052
2008-05-16 00:00:00+05:30,35.0,36.95,35.0,36.77,4012402
2008-05-20 00:00:00+05:30,36.74,36.84,35.39,35.6,4844872
2008-05-21 00:00:00+05:30,35.26,36.47,34.97,35.87,3844468
2008-05-22 00:00:00+05:30,35.55,35.71,34.26,34.79,9655834
2008-05-23 00:00:00+05:30,35.53,36.8,35.26,36.02,14411250
2008-05-26 00:00:00+05:30,35.41,36.28,35.41,35.63,6100305
2008-05-27 00:00:00+05:30,36.01,36.73,35.85,36.53,7361232
2008-05-28 00:00:00+05:30,36.45,37.18,36.15,36.85,3626829
2008-05-29 00:00:00+05:30,37.04,38.42,35.55,36.81,15858868
2008-05-30 00:00:00+05:30,37.78,37.78,35.57,36.22,7801420
2008-06-02 00:00:00+05:30,36.67,36.67,35.6,35.91,4667806
2008-06-03 00:00:00+05:30,35.71,37.07,35.19,36.67,7918249
2008-06-04 00:00:00+05:30,37.78,38.52,35.01,35.71,44967582
2008-06-05 00:00:00+05:30,36.59,36.89,32.96,33.44,12853248
2008-06-06 00:00:00+05:30,34.22,34.51,31.27,31.52,11152153
2008-06-09 00:00:00+05:30,31.11,31.11,27.73,28.63,11724135
2008-06-10 00:00:00+05:30,28.15,29.48,27.55,29.17,5648265
