Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,76.93,79.38,75.73,78.87,9902969
2008-03-31 00:00:00+05:30,78.35,78.89,73.57,73.99,8522473
2008-04-01 00:00:00+05:30,74.48,76.07,71.05,71.56,7373501
2008-04-02 00:00:00+05:30,77.42,77.42,72.79,73.16,7467881
2008-04-03 00:00:00+05:30,74.14,75.8,72.67,74.87,6832083
2008-04-04 00:00:00+05:30,75.02,76.64,71.79,72.81,11836538
2008-04-07 00:00:00+05:30,74.04,76.44,71.83,75.53,5936589
2008-04-08 00:00:00+05:30,75.34,76.44,74.53,75.14,3727922
2008-04-09 00:00:00+05:30,74.48,76.54,74.26,75.73,7161824
2008-04-10 00:00:00+05:30,76.37,78.06,74.8,75.58,7390303
2008-04-11 00:00:00+05:30,75.71,76.78,75.07,75.46,3055771
2008-04-15 00:00:00+05:30,74.97,75.8,73.28,73.84,12208375
2008-04-16 00:00:00+05:30,74.85,75.85,72.79,74.01,12050850
2008-04-17 00:00:00+05:30,75.12,81.24,74.33,79.33,21796315
2008-04-21 00:00:00+05:30,80.9,83.06,78.67,80.43,7810736
2008-04-22 00:00:00+05:30,81.39,86.53,78.16,85.73,9564765
2008-04-23 00:00:00+05:30,86.78,87.1,82.37,84.45,11855538
2008-04-24 00:00:00+05:30,82.88,88.13,80.58,81.44,10424654
2008-04-25 00:00:00+05:30,82.32,85.31,81.0,85.02,11110087
2008-04-28 00:00:00+05:30,86.04,86.63,81.1,81.83,16251701
2008-04-29 00:00:00+05:30,82.08,85.41,81.34,84.62,13766387
2008-04-30 00:00:00+05:30,85.02,88.03,84.28,87.29,11943940
2008-05-02 00:00:00+05:30,93.69,93.69,87.76,88.54,15515426
2008-05-05 00:00:00+05:30,89.08,89.08,86.12,87.2,5725106
2008-05-06 00:00:00+05:30,87.22,87.61,85.02,86.12,3209391
2008-05-07 00:00:00+05:30,86.17,87.71,84.04,85.65,2802589
2008-05-08 00:00:00+05:30,85.26,87.39,84.21,85.55,7836430
2008-05-09 00:00:00+05:30,86.36,86.63,83.37,84.28,5987989
2008-05-12 00:00:00+05:30,85.8,85.8,79.14,80.9,10927126
2008-05-13 00:00:00+05:30,82.03,84.16,80.85,81.81,5713410
2008-05-14 00:00:00+05:30,81.85,82.76,80.51,81.83,3229006
2008-05-15 00:00:00+05:30,83.79,83.79,81.83,82.64,2638918
2008-05-16 00:00:00+05:30,84.23,84.33,81.0,82.64,5647193
2008-05-20 00:00:00+05:30,82.81,82.81,80.36,80.87,7733214
2008-05-21 00:00:00+05:30,80.7,80.73,78.67,79.85,8747103
2008-05-22 00:00:00+05:30,79.23,79.23,75.36,76.51,14923462
2008-05-23 00:00:00+05:30,76.93,77.52,76.05,76.46,5511610
2008-05-26 00:00:00+05:30,75.46,75.46,71.27,72.2,5442273
