Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,37.33,39.0,33.6,38.63,3796511
2008-03-31 00:00:00+05:30,38.75,38.75,36.5,37.13,5637095
2008-04-01 00:00:00+05:30,38.08,38.34,36.75,37.6,5044835
2008-04-02 00:00:00+05:30,38.75,39.08,38.17,38.42,9431447
2008-04-03 00:00:00+05:30,38.29,38.82,37.92,38.41,4865327
2008-04-04 00:00:00+05:30,38.67,38.83,37.59,37.88,3487139
2008-04-07 00:00:00+05:30,38.08,38.33,37.2,37.57,3668915
2008-04-08 00:00:00+05:30,37.4,38.08,37.35,37.8,2818139
2008-04-09 00:00:00+05:30,37.83,38.5,37.54,38.19,3443735
2008-04-10 00:00:00+05:30,38.33,38.58,37.04,37.33,3949451
2008-04-11 00:00:00+05:30,37.34,38.08,37.26,37.7,3690275
2008-04-15 00:00:00+05:30,37.33,38.9,36.68,38.36,3615059
2008-04-16 00:00:00+05:30,39.13,39.13,37.92,38.0,1940027
2008-04-17 00:00:00+05:30,38.58,38.58,37.38,37.74,4838387
2008-04-21 00:00:00+05:30,38.75,41.17,37.75,37.88,2637683
2008-04-22 00:00:00+05:30,37.88,37.91,37.29,37.4,3170363
2008-04-23 00:00:00+05:30,37.57,37.75,37.0,37.37,3462035
2008-04-24 00:00:00+05:30,36.67,38.0,35.91,36.2,10750283
2008-04-25 00:00:00+05:30,36.34,36.91,36.0,36.38,3576251
2008-04-28 00:00:00+05:30,36.5,37.17,36.25,37.08,3309011
2008-04-29 00:00:00+05:30,37.37,37.5,36.58,37.38,4868783
2008-04-30 00:00:00+05:30,37.83,38.92,37.59,38.42,8115623
2008-05-02 00:00:00+05:30,39.17,40.64,38.75,40.09,11536403
2008-05-05 00:00:00+05:30,40.42,40.81,40.0,40.53,4036115
2008-05-06 00:00:00+05:30,40.18,40.48,39.17,39.75,8117219
2008-05-07 00:00:00+05:30,39.5,39.5,37.25,38.25,6786719
2008-05-08 00:00:00+05:30,38.29,38.29,37.08,37.48,3368651
2008-05-09 00:00:00+05:30,37.17,37.58,36.75,36.92,1072667
2008-05-12 00:00:00+05:30,36.75,36.85,34.29,34.88,7800815
2008-05-13 00:00:00+05:30,35.5,37.08,34.25,34.81,6567695
2008-05-14 00:00:00+05:30,35.05,35.05,32.83,33.15,14200355
2008-05-15 00:00:00+05:30,36.65,36.65,33.16,33.35,5772167
2008-05-16 00:00:00+05:30,33.75,34.58,33.39,34.29,6644387
2008-05-20 00:00:00+05:30,34.5,34.5,33.51,33.8,2038367
2008-05-21 00:00:00+05:30,33.33,34.4,33.25,34.01,3088151
2008-05-22 00:00:00+05:30,34.0,34.5,33.1,33.92,6182903
2008-05-23 00:00:00+05:30,34.42,35.7,34.33,35.01,13336355
2008-05-26 00:00:00+05:30,34.83,35.33,34.25,34.5,4417343
2008-05-27 00:00:00+05:30,34.88,35.83,34.75,35.13,3539351
2008-05-28 00:00:00+05:30,35.5,35.83,34.63,35.45,8783123
2008-05-29 00:00:00+05:30,35.57,36.83,34.18,34.85,21731291
2008-05-30 00:00:00+05:30,35.08,35.89,34.75,35.51,4277735
2008-06-02 00:00:00+05:30,35.83,36.08,34.84,35.06,4299287
2008-06-03 00:00:00+05:30,34.84,36.42,33.78,36.14,6429359
2008-06-04 00:00:00+05:30,37.25,37.65,34.42,34.82,32872871
2008-06-05 00:00:00+05:30,34.92,35.5,32.5,32.66,12480131
2008-06-06 00:00:00+05:30,33.0,33.53,31.09,31.5,11130287
2008-06-09 00:00:00+05:30,30.67,30.67,29.03,30.24,6506471
2008-06-10 00:00:00+05:30,29.77,30.99,29.29,30.58,3196391
2008-06-11 00:00:00+05:30,30.94,31.25,30.34,30.79,2355647
2008-06-12 00:00:00+05:30,30.42,30.76,29.08,30.28,2320127
2008-06-13 00:00:00+05:30,30.75,32.08,30.18,31.18,5366015
2008-06-16 00:00:00+05:30,31.17,31.76,31.02,31.17,1944563
2008-06-17 00:00:00+05:30,31.25,31.71,30.83,31.53,1865891
2008-06-18 00:00:00+05:30,31.68,32.08,31.25,31.56,3455951
2008-06-19 00:00:00+05:30,31.25,31.5,30.67,30.9,1726655
2008-06-20 00:00:00+05:30,31.25,31.83,30.46,30.78,3613739
2008-06-23 00:00:00+05:30,30.42,30.83,29.58,29.85,3412835
2008-06-24 00:00:00+05:30,29.29,30.0,28.78,29.38,6485579
2008-06-25 00:00:00+05:30,29.03,30.07,28.78,29.86,4398395
2008-06-26 00:00:00+05:30,30.03,30.42,28.77,29.3,10365563
2008-06-27 00:00:00+05:30,28.5,28.74,27.55,28.43,5846195
2008-06-30 00:00:00+05:30,29.58,29.58,27.42,27.69,2867651
2008-07-01 00:00:00+05:30,27.5,28.0,25.0,26.22,4442315
2008-07-02 00:00:00+05:30,26.25,27.77,25.25,26.96,4264595
2008-07-03 00:00:00+05:30,26.83,28.83,26.25,28.3,7874843
2008-07-04 00:00:00+05:30,28.0,29.07,27.52,28.46,2664791
2008-07-07 00:00:00+05:30,28.46,29.58,28.25,29.06,3295415
2008-07-08 00:00:00+05:30,28.75,30.0,28.33,29.34,3376751
2008-07-09 00:00:00+05:30,30.0,30.83,29.75,29.98,2171975
2008-07-10 00:00:00+05:30,25.85,30.63,25.85,30.15,1810475
2008-07-11 00:00:00+05:30,29.8,30.08,28.42,28.73,2769287
2008-07-14 00:00:00+05:30,28.83,29.49,28.42,29.08,995291
2008-07-15 00:00:00+05:30,29.08,29.08,28.28,28.46,859751
2008-07-16 00:00:00+05:30,28.83,29.38,28.43,28.55,999203
2008-07-17 00:00:00+05:30,29.18,30.42,29.16,30.29,3870779
2008-07-18 00:00:00+05:30,30.83,31.96,30.67,31.82,4452239
2008-07-21 00:00:00+05:30,31.88,32.25,31.0,31.41,2096315
2008-07-22 00:00:00+05:30,31.08,31.75,31.0,31.6,1217099
2008-07-23 00:00:00+05:30,32.17,33.75,32.17,33.35,4625855
2008-07-24 00:00:00+05:30,34.17,34.58,33.0,33.7,4872251
2008-07-25 00:00:00+05:30,31.09,34.05,31.09,33.41,3067667
2008-07-28 00:00:00+05:30,33.17,34.0,33.17,33.36,737147
2008-07-29 00:00:00+05:30,31.08,33.25,31.08,32.68,2950703
2008-07-30 00:00:00+05:30,33.17,35.0,33.16,34.52,5978807
2008-07-31 00:00:00+05:30,33.99,34.5,33.33,33.58,4877327
2008-08-01 00:00:00+05:30,34.58,36.85,33.17,34.83,2779055
2008-08-04 00:00:00+05:30,34.6,35.79,34.2,35.55,1960331
2008-08-05 00:00:00+05:30,35.42,37.32,35.42,36.12,6231815
2008-08-06 00:00:00+05:30,37.58,37.58,35.44,36.74,6362639
2008-08-07 00:00:00+05:30,34.35,37.24,34.35,36.9,2332115
2008-08-08 00:00:00+05:30,36.68,37.0,35.83,36.0,5373587
2008-08-11 00:00:00+05:30,36.67,37.32,36.36,36.92,4077047
2008-08-12 00:00:00+05:30,37.33,38.17,36.88,37.41,5144099
2008-08-13 00:00:00+05:30,37.33,37.83,36.75,37.74,3448667
2008-08-14 00:00:00+05:30,36.83,37.36,36.52,36.75,2402807
