Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,55.3,59.0,55.0,57.55,91799
2008-03-31 00:00:00+05:30,58.0,62.0,57.23,61.71,111489
2008-04-01 00:00:00+05:30,62.4,64.9,56.76,60.91,67749
2008-04-02 00:00:00+05:30,59.1,61.45,57.2,60.99,96999
2008-04-03 00:00:00+05:30,60.84,61.11,59.2,60.61,78689
2008-04-04 00:00:00+05:30,59.6,61.0,59.4,60.75,29899
2008-04-07 00:00:00+05:30,61.4,62.0,59.05,61.55,773279
2008-04-08 00:00:00+05:30,62.88,62.88,59.25,60.08,33729
2008-04-09 00:00:00+05:30,60.0,60.19,55.27,60.01,46109
2008-04-10 00:00:00+05:30,60.2,60.5,56.07,60.5,89819
2008-04-11 00:00:00+05:30,61.0,61.8,60.61,61.58,7819
2008-04-15 00:00:00+05:30,61.5,62.5,60.5,62.21,25139
2008-04-16 00:00:00+05:30,62.2,63.2,61.21,61.77,6689
2008-04-17 00:00:00+05:30,61.6,61.6,60.0,61.36,10539
2008-04-21 00:00:00+05:30,61.97,62.04,60.6,61.09,4259
2008-04-22 00:00:00+05:30,61.4,61.8,60.7,61.52,28939
2008-04-23 00:00:00+05:30,61.4,62.51,61.0,62.46,32719
2008-04-24 00:00:00+05:30,62.4,63.2,61.61,62.57,794409
2008-04-25 00:00:00+05:30,62.6,64.9,62.1,64.06,31169
2008-04-28 00:00:00+05:30,63.8,64.9,63.21,63.92,3429
2008-04-29 00:00:00+05:30,61.26,63.28,61.26,62.55,8529
2008-04-30 00:00:00+05:30,61.92,63.9,61.8,63.57,68959
2008-05-02 00:00:00+05:30,62.8,62.98,60.5,61.41,13009
2008-05-05 00:00:00+05:30,61.9,63.0,61.6,62.87,17769
2008-05-06 00:00:00+05:30,62.03,62.5,61.13,61.82,8169
2008-05-07 00:00:00+05:30,62.4,68.8,60.5,61.07,12969
2008-05-08 00:00:00+05:30,61.99,61.99,59.13,59.49,20379
2008-05-09 00:00:00+05:30,58.9,61.4,58.1,58.97,20179
2008-05-12 00:00:00+05:30,58.4,61.0,56.2,58.78,42499
2008-05-13 00:00:00+05:30,58.6,59.0,56.03,57.62,10029
2008-05-14 00:00:00+05:30,57.6,59.0,57.5,57.75,26389
2008-05-15 00:00:00+05:30,59.8,59.8,57.2,58.29,9499
2008-05-16 00:00:00+05:30,58.2,60.0,57.5,59.08,96429
2008-05-20 00:00:00+05:30,58.8,59.9,58.8,59.9,3079
2008-05-21 00:00:00+05:30,59.9,60.2,58.22,59.14,40049
2008-05-22 00:00:00+05:30,59.1,59.53,58.02,58.51,12589
2008-05-23 00:00:00+05:30,58.3,59.0,56.7,58.53,51049
2008-05-26 00:00:00+05:30,57.9,57.9,56.0,56.68,4539
2008-05-27 00:00:00+05:30,56.8,58.89,55.04,57.88,58839
2008-05-28 00:00:00+05:30,58.2,58.2,57.2,57.88,819
2008-05-29 00:00:00+05:30,57.8,59.75,57.8,58.74,34979
