Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,66.67,69.33,66.67,68.83,14783327
2008-03-31 00:00:00+05:30,69.0,70.27,67.68,68.75,12664244
2008-04-01 00:00:00+05:30,69.33,70.92,68.58,70.2,11235305
2008-04-02 00:00:00+05:30,71.0,72.27,68.0,69.33,12771815
2008-04-03 00:00:00+05:30,69.37,70.17,68.75,69.35,12432710
2008-04-04 00:00:00+05:30,68.38,69.28,66.4,66.87,15935360
2008-04-07 00:00:00+05:30,68.27,71.48,66.87,70.12,23317472
2008-04-08 00:00:00+05:30,70.33,70.33,68.75,69.52,20184347
2008-04-09 00:00:00+05:30,68.67,69.47,67.87,69.13,7114319
2008-04-10 00:00:00+05:30,68.77,69.92,68.22,68.88,12800222
2008-04-11 00:00:00+05:30,69.0,69.45,67.7,68.02,11505323
2008-04-15 00:00:00+05:30,67.83,69.83,67.35,69.3,15745373
2008-04-16 00:00:00+05:30,69.97,70.23,69.07,70.0,11508896
2008-04-17 00:00:00+05:30,70.37,70.97,68.37,70.48,9262751
2008-04-21 00:00:00+05:30,70.77,71.67,69.15,69.4,7555703
2008-04-22 00:00:00+05:30,69.27,71.67,68.68,71.1,9456740
2008-04-23 00:00:00+05:30,71.33,72.0,70.45,70.63,8633927
2008-04-24 00:00:00+05:30,70.37,71.65,69.58,69.98,14383547
2008-04-25 00:00:00+05:30,71.3,71.3,69.73,70.97,7504970
2008-04-28 00:00:00+05:30,71.33,72.0,70.08,70.53,9643742
2008-04-29 00:00:00+05:30,70.98,71.67,70.27,70.77,10566338
2008-04-30 00:00:00+05:30,70.17,73.6,70.17,73.3,22720697
2008-05-02 00:00:00+05:30,74.03,74.9,72.85,73.65,9766511
2008-05-05 00:00:00+05:30,73.3,74.47,72.67,73.58,8043284
2008-05-06 00:00:00+05:30,73.0,75.55,73.0,74.95,16645736
2008-05-07 00:00:00+05:30,75.2,76.57,74.52,75.55,14980724
2008-05-08 00:00:00+05:30,75.5,75.5,71.17,71.67,18992843
2008-05-09 00:00:00+05:30,71.67,73.33,71.1,72.85,17499632
2008-05-12 00:00:00+05:30,72.42,75.0,71.6,74.6,10825145
2008-05-13 00:00:00+05:30,75.0,76.33,73.47,75.12,12039518
2008-05-14 00:00:00+05:30,74.33,76.08,74.17,75.43,10557698
2008-05-15 00:00:00+05:30,75.7,76.0,74.7,75.4,10011629
2008-05-16 00:00:00+05:30,75.4,76.0,74.33,75.7,7337114
2008-05-20 00:00:00+05:30,75.33,75.9,74.5,75.25,8098232
2008-05-21 00:00:00+05:30,74.67,77.47,74.53,76.07,14031899
2008-05-22 00:00:00+05:30,75.67,77.0,73.33,74.47,18201791
2008-05-23 00:00:00+05:30,74.47,75.3,70.38,71.2,17608055
2008-05-26 00:00:00+05:30,70.62,70.62,67.18,68.5,27450548
2008-05-27 00:00:00+05:30,68.83,71.83,68.67,69.7,30032438
2008-05-28 00:00:00+05:30,70.37,74.42,70.37,73.98,29798015
2008-05-29 00:00:00+05:30,73.98,74.65,71.08,71.98,15796007
2008-05-30 00:00:00+05:30,72.33,73.47,71.7,72.58,12258311
2008-06-02 00:00:00+05:30,73.07,74.67,72.18,73.32,18582239
2008-06-03 00:00:00+05:30,72.67,73.63,71.38,73.3,13528700
2008-06-04 00:00:00+05:30,74.7,74.7,71.0,71.93,8853119
2008-06-05 00:00:00+05:30,72.7,74.58,71.0,74.17,11350016
2008-06-06 00:00:00+05:30,74.67,75.0,70.45,71.15,13452263
2008-06-09 00:00:00+05:30,69.8,71.13,68.33,69.12,12872744
2008-06-10 00:00:00+05:30,69.33,69.33,66.05,67.18,23134970
2008-06-11 00:00:00+05:30,67.33,67.8,64.93,66.5,36574660
