Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,4.0,4.25,4.0,4.12,23669
2008-03-31 00:00:00+05:30,4.53,4.53,4.1,4.21,37149
2008-04-01 00:00:00+05:30,4.42,4.42,4.16,4.35,10099
2008-04-02 00:00:00+05:30,4.5,4.5,4.26,4.27,2599
2008-04-03 00:00:00+05:30,4.27,4.27,4.12,4.19,7139
2008-04-04 00:00:00+05:30,4.02,4.43,4.02,4.11,5379
2008-04-07 00:00:00+05:30,4.11,4.22,3.98,4.07,11539
2008-04-08 00:00:00+05:30,4.37,4.38,4.1,4.13,1639
2008-04-09 00:00:00+05:30,4.0,4.44,4.0,4.33,1739
2008-04-10 00:00:00+05:30,4.34,4.39,4.0,4.22,91759
2008-04-11 00:00:00+05:30,4.4,4.46,4.24,4.33,7229
2008-04-15 00:00:00+05:30,4.44,4.5,4.43,4.48,19549
2008-04-16 00:00:00+05:30,4.43,4.59,4.43,4.58,2379
2008-04-17 00:00:00+05:30,4.58,4.79,4.28,4.55,6539
2008-04-21 00:00:00+05:30,4.6,4.79,4.47,4.61,6839
2008-04-22 00:00:00+05:30,4.55,4.59,4.53,4.58,38559
2008-04-23 00:00:00+05:30,4.45,4.69,4.4,4.45,33769
2008-04-24 00:00:00+05:30,4.1,5.05,4.1,4.67,89159
2008-04-25 00:00:00+05:30,4.58,4.59,4.51,4.53,2059
2008-04-28 00:00:00+05:30,4.78,4.78,4.5,4.51,29399
2008-04-29 00:00:00+05:30,4.51,4.59,4.32,4.45,31849
2008-04-30 00:00:00+05:30,4.78,4.78,4.41,4.42,37659
2008-05-02 00:00:00+05:30,4.69,4.7,4.49,4.58,54029
2008-05-05 00:00:00+05:30,4.7,4.7,4.45,4.58,15899
2008-05-06 00:00:00+05:30,4.58,4.6,4.43,4.5,52229
2008-05-07 00:00:00+05:30,4.5,4.5,4.5,4.5,4749
2008-05-08 00:00:00+05:30,4.41,4.49,4.37,4.46,7999
2008-05-09 00:00:00+05:30,4.46,4.48,4.42,4.46,22699
2008-05-12 00:00:00+05:30,4.47,4.58,4.31,4.53,15579
2008-05-13 00:00:00+05:30,4.6,4.6,4.48,4.49,19109
2008-05-14 00:00:00+05:30,4.5,4.57,4.42,4.44,3399
2008-05-15 00:00:00+05:30,4.56,4.56,4.41,4.45,10169
2008-05-16 00:00:00+05:30,4.45,4.6,4.45,4.6,14699
2008-05-20 00:00:00+05:30,4.43,4.55,4.43,4.46,2499
2008-05-21 00:00:00+05:30,4.48,4.6,4.48,4.6,1089
2008-05-22 00:00:00+05:30,4.41,4.49,4.3,4.47,32799
2008-05-23 00:00:00+05:30,4.5,4.6,4.48,4.48,3039
2008-05-26 00:00:00+05:30,4.35,4.35,4.34,4.34,4499
2008-05-27 00:00:00+05:30,4.34,4.4,4.34,4.39,1959
2008-05-28 00:00:00+05:30,4.31,4.64,4.31,4.48,14409
2008-05-29 00:00:00+05:30,4.39,4.39,4.39,4.39,999
