Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,170.03,174.99,164.63,173.13,1460976
2008-03-31 00:00:00+05:30,163.75,181.0,163.75,174.26,3474888
2008-04-01 00:00:00+05:30,173.58,179.19,160.25,162.6,3216108
2008-04-02 00:00:00+05:30,168.75,168.75,163.79,166.68,1422732
2008-04-03 00:00:00+05:30,168.0,170.5,157.81,161.29,2063492
2008-04-04 00:00:00+05:30,161.31,161.31,150.75,151.3,4858712
2008-04-07 00:00:00+05:30,151.5,156.25,150.9,153.78,2584676
2008-04-08 00:00:00+05:30,153.78,155.0,150.01,151.91,2333088
2008-04-09 00:00:00+05:30,151.75,154.25,148.03,152.23,2629580
2008-04-10 00:00:00+05:30,154.0,156.98,151.55,153.26,2154536
2008-04-11 00:00:00+05:30,154.25,156.25,153.75,154.69,1492300
2008-04-15 00:00:00+05:30,154.5,157.0,150.51,155.86,1947940
2008-04-16 00:00:00+05:30,156.26,158.25,153.66,155.19,2677828
2008-04-17 00:00:00+05:30,156.75,161.29,155.01,160.55,1350760
2008-04-21 00:00:00+05:30,160.75,162.01,156.33,159.25,763264
2008-04-22 00:00:00+05:30,158.75,158.75,155.79,157.29,3315376
2008-04-23 00:00:00+05:30,158.25,159.73,156.25,157.5,1211672
2008-04-24 00:00:00+05:30,158.75,159.73,156.25,157.61,3647028
2008-04-25 00:00:00+05:30,158.16,160.5,157.06,158.61,976080
2008-04-28 00:00:00+05:30,159.5,161.18,157.53,158.86,1127200
2008-04-29 00:00:00+05:30,158.26,161.98,158.26,161.28,1227800
2008-04-30 00:00:00+05:30,161.76,170.61,161.28,167.55,2205068
2008-05-02 00:00:00+05:30,167.25,176.25,167.25,172.81,2934940
2008-05-05 00:00:00+05:30,174.99,175.0,167.78,169.66,1826828
2008-05-06 00:00:00+05:30,169.94,169.94,163.0,165.01,2751284
2008-05-07 00:00:00+05:30,167.5,169.98,163.25,169.13,1175512
2008-05-08 00:00:00+05:30,167.25,170.7,166.25,169.71,1791240
2008-05-09 00:00:00+05:30,169.5,170.0,166.9,168.21,1137092
2008-05-12 00:00:00+05:30,168.21,169.0,162.51,165.44,3055468
2008-05-13 00:00:00+05:30,167.25,168.2,164.25,166.51,3368244
2008-05-14 00:00:00+05:30,166.25,168.98,161.96,164.08,2693608
2008-05-15 00:00:00+05:30,165.0,167.25,164.56,165.54,1328596
2008-05-16 00:00:00+05:30,165.04,168.73,165.04,165.86,2098032
2008-05-20 00:00:00+05:30,164.98,165.5,161.78,163.45,2172504
2008-05-21 00:00:00+05:30,163.5,167.38,161.26,166.71,4105092
2008-05-22 00:00:00+05:30,165.0,165.0,162.5,163.18,2282052
2008-05-23 00:00:00+05:30,162.25,165.0,160.85,163.0,2452860
2008-05-26 00:00:00+05:30,162.75,164.75,159.75,160.8,2259392
2008-05-27 00:00:00+05:30,160.25,162.5,159.58,161.61,1196876
2008-05-28 00:00:00+05:30,161.0,163.5,156.5,160.38,4966708
2008-05-29 00:00:00+05:30,162.0,162.0,150.05,151.58,3048592
2008-05-30 00:00:00+05:30,152.5,155.95,145.76,147.54,2363820
2008-06-02 00:00:00+05:30,147.0,151.75,143.0,148.0,1906104
2008-06-03 00:00:00+05:30,146.5,151.0,146.5,148.46,871280
2008-06-04 00:00:00+05:30,149.25,149.25,140.06,142.11,1361924
2008-06-05 00:00:00+05:30,143.86,143.86,139.03,140.76,2186284
2008-06-06 00:00:00+05:30,140.63,147.25,140.63,145.16,1194296
2008-06-09 00:00:00+05:30,140.0,143.46,137.0,141.4,2501500
2008-06-10 00:00:00+05:30,144.66,144.66,138.5,141.35,3262360
2008-06-11 00:00:00+05:30,141.58,146.2,141.58,144.79,717732
2008-06-12 00:00:00+05:30,141.28,149.93,140.29,145.09,851332
2008-06-13 00:00:00+05:30,143.76,144.46,141.5,142.56,3821692
2008-06-16 00:00:00+05:30,143.04,145.25,140.53,143.58,1935212
2008-06-17 00:00:00+05:30,144.0,145.25,141.31,142.91,1665404
2008-06-18 00:00:00+05:30,143.0,144.25,142.0,142.5,1793796
2008-06-19 00:00:00+05:30,142.5,146.0,140.25,145.0,1256376
2008-06-20 00:00:00+05:30,146.75,146.75,142.25,143.55,4674572
2008-06-23 00:00:00+05:30,142.26,143.55,136.38,137.23,2316344
2008-06-24 00:00:00+05:30,136.51,140.0,133.01,135.05,1679856
2008-06-25 00:00:00+05:30,135.0,137.45,130.66,135.03,2178376
2008-06-26 00:00:00+05:30,136.0,147.0,130.5,138.15,2141960
2008-06-27 00:00:00+05:30,132.5,132.5,125.75,128.14,1715440
2008-06-30 00:00:00+05:30,126.75,137.44,119.5,122.14,1796256
2008-07-01 00:00:00+05:30,122.14,124.5,106.78,111.89,1131524
2008-07-02 00:00:00+05:30,112.5,121.21,109.0,118.1,2422024
2008-07-03 00:00:00+05:30,112.51,119.7,107.48,117.33,1442624
