Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,120.81,131.96,118.98,129.14,241030
2008-03-31 00:00:00+05:30,123.9,134.56,121.12,128.23,241137
2008-04-01 00:00:00+05:30,128.24,129.77,122.05,125.72,76100
2008-04-02 00:00:00+05:30,128.55,130.07,122.56,123.81,74725
2008-04-03 00:00:00+05:30,121.75,126.61,121.74,125.17,118817
2008-04-04 00:00:00+05:30,127.93,127.93,123.32,124.83,395691
2008-04-07 00:00:00+05:30,127.62,127.93,120.82,123.59,71116
2008-04-08 00:00:00+05:30,126.07,126.07,119.88,123.32,70047
2008-04-09 00:00:00+05:30,123.9,126.38,121.83,124.26,503894
2008-04-10 00:00:00+05:30,126.69,131.18,125.16,127.4,275835
2008-04-11 00:00:00+05:30,129.17,131.01,127.0,128.19,122358
2008-04-15 00:00:00+05:30,123.9,136.29,123.9,131.45,257688
2008-04-16 00:00:00+05:30,134.44,144.04,132.73,136.84,399097
2008-04-17 00:00:00+05:30,141.56,142.49,135.41,137.67,191528
2008-04-21 00:00:00+05:30,139.92,141.87,137.08,140.55,64036
2008-04-22 00:00:00+05:30,133.2,147.71,133.2,144.97,404214
2008-04-23 00:00:00+05:30,144.07,153.02,144.07,147.55,387953
2008-04-24 00:00:00+05:30,150.23,151.47,136.76,141.38,340394
2008-04-25 00:00:00+05:30,142.51,145.28,139.39,141.02,88949
2008-04-28 00:00:00+05:30,146.52,150.2,144.41,148.27,482326
2008-04-29 00:00:00+05:30,151.41,156.1,146.36,152.73,371479
2008-04-30 00:00:00+05:30,154.87,177.79,153.64,165.82,1696994
2008-05-02 00:00:00+05:30,169.75,176.25,167.89,170.66,571123
2008-05-05 00:00:00+05:30,171.98,187.1,171.98,173.61,1643323
2008-05-06 00:00:00+05:30,170.52,182.08,170.52,176.01,1172897
2008-05-07 00:00:00+05:30,178.11,201.34,178.11,198.93,4791271
2008-05-08 00:00:00+05:30,198.25,201.34,186.66,188.23,1762454
2008-05-09 00:00:00+05:30,188.33,193.57,184.34,186.4,927343
2008-05-12 00:00:00+05:30,184.93,191.42,175.02,188.03,738549
2008-05-13 00:00:00+05:30,190.5,197.57,187.41,190.72,1006727
2008-05-14 00:00:00+05:30,185.58,195.09,185.58,193.15,477548
2008-05-15 00:00:00+05:30,196.05,200.73,192.13,195.49,659611
2008-05-16 00:00:00+05:30,197.75,205.22,192.73,200.15,1673172
2008-05-20 00:00:00+05:30,198.22,199.77,192.08,194.47,355554
2008-05-21 00:00:00+05:30,189.57,195.61,185.86,193.57,526738
2008-05-22 00:00:00+05:30,190.81,199.64,188.03,196.19,875622
2008-05-23 00:00:00+05:30,198.2,202.89,192.08,195.37,1021286
2008-05-26 00:00:00+05:30,189.57,194.28,189.57,191.65,255880
2008-05-27 00:00:00+05:30,194.22,195.46,192.05,192.61,394581
2008-05-28 00:00:00+05:30,193.29,197.47,192.07,196.13,201532
2008-05-29 00:00:00+05:30,200.97,204.1,194.53,195.37,833212
2008-05-30 00:00:00+05:30,196.7,199.8,194.02,195.09,161046
2008-06-02 00:00:00+05:30,195.17,197.19,181.3,183.64,238290
2008-06-03 00:00:00+05:30,179.97,192.95,174.4,190.77,369349
2008-06-04 00:00:00+05:30,188.97,191.09,180.08,182.62,152514
2008-06-05 00:00:00+05:30,179.69,188.95,179.69,188.12,188700
2008-06-06 00:00:00+05:30,193.41,193.41,177.28,180.33,146938
2008-06-09 00:00:00+05:30,176.38,179.35,169.76,173.28,239087
