Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,84.95,91.45,84.5,89.95,206683
2008-03-31 00:00:00+05:30,86.5,95.5,86.05,87.4,140129
2008-04-01 00:00:00+05:30,90.0,94.5,86.0,86.25,148205
2008-04-02 00:00:00+05:30,89.0,92.5,86.05,86.1,82037
2008-04-03 00:00:00+05:30,84.5,87.0,83.1,83.8,38332
2008-04-04 00:00:00+05:30,84.0,85.0,81.05,81.85,33723
2008-04-07 00:00:00+05:30,82.1,82.75,79.2,79.75,153049
2008-04-08 00:00:00+05:30,79.2,84.45,79.05,81.9,82577
2008-04-09 00:00:00+05:30,85.5,86.4,80.65,85.3,96279
2008-04-10 00:00:00+05:30,85.85,91.4,84.65,87.4,67803
2008-04-11 00:00:00+05:30,90.0,92.0,85.6,86.75,72286
2008-04-15 00:00:00+05:30,83.1,94.3,83.0,93.15,141017
2008-04-16 00:00:00+05:30,93.0,95.4,88.65,89.95,119640
2008-04-17 00:00:00+05:30,93.0,93.0,90.4,91.4,77799
2008-04-21 00:00:00+05:30,92.75,96.85,91.5,92.45,93515
2008-04-22 00:00:00+05:30,90.6,93.5,89.05,90.0,118987
2008-04-23 00:00:00+05:30,92.65,92.65,90.2,90.65,29793
2008-04-24 00:00:00+05:30,91.0,104.8,90.45,99.45,2222337
2008-04-25 00:00:00+05:30,101.0,102.0,97.2,98.4,919375
2008-04-28 00:00:00+05:30,97.0,98.85,92.55,93.65,513973
2008-04-29 00:00:00+05:30,94.0,102.6,94.0,101.5,985645
2008-04-30 00:00:00+05:30,103.0,107.9,101.1,104.25,1202403
2008-05-02 00:00:00+05:30,106.0,107.8,100.25,101.35,417313
2008-05-05 00:00:00+05:30,102.0,105.5,99.0,102.95,269034
2008-05-06 00:00:00+05:30,104.0,104.0,98.0,98.9,214780
2008-05-07 00:00:00+05:30,99.0,102.55,97.6,99.8,306411
2008-05-08 00:00:00+05:30,99.8,99.8,96.15,97.05,124586
2008-05-09 00:00:00+05:30,96.95,102.5,96.95,97.8,430339
2008-05-12 00:00:00+05:30,96.45,100.0,93.9,99.05,226140
2008-05-13 00:00:00+05:30,99.95,102.6,98.5,102.05,322204
2008-05-14 00:00:00+05:30,101.5,106.9,100.2,105.35,374255
2008-05-15 00:00:00+05:30,108.4,110.0,102.1,105.9,844160
2008-05-16 00:00:00+05:30,106.5,108.0,102.55,104.0,150630
2008-05-20 00:00:00+05:30,102.75,105.5,102.0,103.05,216512
2008-05-21 00:00:00+05:30,102.0,104.35,101.1,103.2,185180
2008-05-22 00:00:00+05:30,102.1,104.9,99.75,103.5,206148
2008-05-23 00:00:00+05:30,103.1,104.9,98.0,99.8,245493
2008-05-26 00:00:00+05:30,98.0,100.7,96.65,99.9,116859
2008-05-27 00:00:00+05:30,99.0,101.95,96.5,99.2,110829
2008-05-28 00:00:00+05:30,99.6,101.75,97.0,97.75,71847
2008-05-29 00:00:00+05:30,98.3,99.8,96.3,97.75,72479
2008-05-30 00:00:00+05:30,98.3,99.4,93.15,97.65,326478
2008-06-02 00:00:00+05:30,99.5,100.0,96.15,97.3,108586
2008-06-03 00:00:00+05:30,95.5,98.0,91.1,96.25,156219
2008-06-04 00:00:00+05:30,95.25,96.5,88.0,90.1,115675
2008-06-05 00:00:00+05:30,88.55,92.85,86.1,92.1,91381
2008-06-06 00:00:00+05:30,93.85,94.0,89.0,89.75,73261
2008-06-09 00:00:00+05:30,86.2,90.9,81.25,89.95,330563
2008-06-10 00:00:00+05:30,88.0,88.95,81.6,84.85,219288
2008-06-11 00:00:00+05:30,86.0,86.95,81.3,81.7,152848
2008-06-12 00:00:00+05:30,81.0,83.3,79.0,81.85,95754
2008-06-13 00:00:00+05:30,81.15,84.5,81.0,83.3,137349
2008-06-16 00:00:00+05:30,85.9,88.55,84.5,87.5,123174
2008-06-17 00:00:00+05:30,86.65,90.0,85.55,89.3,98219
2008-06-18 00:00:00+05:30,89.95,91.0,88.4,89.9,49322
2008-06-19 00:00:00+05:30,88.45,93.7,86.45,92.35,127458
2008-06-20 00:00:00+05:30,91.85,94.5,86.25,91.85,255092
2008-06-23 00:00:00+05:30,87.2,92.5,86.4,90.9,283860
2008-06-24 00:00:00+05:30,90.85,91.95,88.0,90.8,89715
2008-06-25 00:00:00+05:30,90.0,90.9,87.2,89.65,54864
2008-06-26 00:00:00+05:30,90.0,91.6,87.0,88.3,53319
2008-06-27 00:00:00+05:30,86.1,91.65,85.25,89.95,366209
2008-06-30 00:00:00+05:30,90.5,91.0,83.5,89.2,492749
2008-07-01 00:00:00+05:30,89.05,90.0,83.5,85.65,61962
2008-07-02 00:00:00+05:30,85.0,88.65,78.25,86.6,229162
2008-07-03 00:00:00+05:30,84.5,90.25,84.05,89.1,166533
2008-07-04 00:00:00+05:30,88.2,92.0,86.1,91.3,99301
2008-07-07 00:00:00+05:30,91.85,94.8,90.0,90.8,232765
2008-07-08 00:00:00+05:30,87.35,89.7,84.5,89.2,170799
2008-07-09 00:00:00+05:30,89.0,90.5,88.15,88.95,44289
2008-07-10 00:00:00+05:30,88.05,88.85,86.05,87.75,28817
2008-07-11 00:00:00+05:30,89.45,93.05,87.0,88.3,153268
2008-07-14 00:00:00+05:30,86.55,88.8,86.1,87.45,52490
2008-07-15 00:00:00+05:30,86.1,87.95,85.15,85.55,31356
2008-07-16 00:00:00+05:30,86.9,87.45,83.1,84.25,24250
2008-07-17 00:00:00+05:30,86.9,87.0,82.15,84.35,544065
2008-07-18 00:00:00+05:30,83.5,86.0,83.1,85.25,38107
2008-07-21 00:00:00+05:30,81.5,86.9,81.5,85.3,30051
2008-07-22 00:00:00+05:30,85.5,88.5,84.0,87.8,280364
2008-07-23 00:00:00+05:30,88.9,90.5,79.5,81.6,701415
2008-07-24 00:00:00+05:30,81.25,84.7,71.6,75.2,556808
2008-07-25 00:00:00+05:30,76.0,79.5,73.0,76.95,152207
2008-07-28 00:00:00+05:30,78.0,79.45,74.4,74.85,154162
2008-07-29 00:00:00+05:30,74.85,75.75,72.0,74.25,97036
2008-07-30 00:00:00+05:30,75.7,81.9,75.2,79.4,453435
2008-07-31 00:00:00+05:30,81.0,84.8,78.25,84.1,351708
2008-08-01 00:00:00+05:30,83.0,84.85,82.1,83.8,89880
2008-08-04 00:00:00+05:30,84.0,84.9,83.1,83.55,43097
2008-08-05 00:00:00+05:30,83.4,85.5,82.6,83.45,46122
2008-08-06 00:00:00+05:30,85.0,86.5,79.55,81.7,112650
2008-08-07 00:00:00+05:30,81.9,83.4,80.15,81.1,49226
2008-08-08 00:00:00+05:30,82.0,82.5,78.65,80.0,1987569
2008-08-11 00:00:00+05:30,81.0,84.4,80.15,81.05,66967
2008-08-12 00:00:00+05:30,81.8,82.6,81.15,81.95,32855
2008-08-13 00:00:00+05:30,80.15,84.0,80.15,83.2,78578
2008-08-14 00:00:00+05:30,83.8,84.3,81.1,82.65,340665
2008-08-18 00:00:00+05:30,80.15,81.95,79.5,80.6,48612
2008-08-19 00:00:00+05:30,81.5,81.5,79.55,80.2,16689
2008-08-20 00:00:00+05:30,81.0,86.2,80.3,82.3,224591
2008-08-21 00:00:00+05:30,82.7,83.5,79.6,80.05,99913
2008-08-22 00:00:00+05:30,79.6,80.7,78.15,79.1,59699
2008-08-25 00:00:00+05:30,80.8,81.5,79.8,80.1,40060
2008-08-26 00:00:00+05:30,79.0,80.95,79.0,79.65,22241
2008-08-27 00:00:00+05:30,80.75,80.8,78.85,79.1,25449
2008-08-28 00:00:00+05:30,80.1,80.1,77.0,77.5,24684
2008-08-29 00:00:00+05:30,78.2,79.95,77.5,78.15,19257
2008-09-01 00:00:00+05:30,77.1,79.7,77.0,77.65,15588
2008-09-02 00:00:00+05:30,78.3,81.0,77.55,78.25,61528
2008-09-04 00:00:00+05:30,79.0,79.0,77.95,78.2,13033
2008-09-05 00:00:00+05:30,77.1,78.3,76.55,77.45,23212
2008-09-08 00:00:00+05:30,79.15,79.45,77.4,77.55,15317
2008-09-09 00:00:00+05:30,76.75,78.5,76.75,78.05,24863
2008-09-10 00:00:00+05:30,77.5,78.7,76.05,78.1,25664
2008-09-11 00:00:00+05:30,77.25,79.8,77.0,79.05,43220
2008-09-12 00:00:00+05:30,79.0,81.2,77.55,80.05,69373
2008-09-15 00:00:00+05:30,78.2,80.5,73.35,79.6,253796
2008-09-16 00:00:00+05:30,77.0,80.0,75.3,79.2,595277
2008-09-17 00:00:00+05:30,79.2,79.9,76.5,78.65,54479
2008-09-18 00:00:00+05:30,75.5,78.8,73.5,77.4,47563
2008-09-19 00:00:00+05:30,78.6,85.0,76.55,78.45,261722
2008-09-22 00:00:00+05:30,75.1,80.0,75.1,77.35,59775
2008-09-23 00:00:00+05:30,76.55,77.9,73.55,75.1,22034
2008-09-24 00:00:00+05:30,75.7,77.25,74.1,76.95,104013
2008-09-25 00:00:00+05:30,76.8,77.45,74.6,75.15,8869
2008-09-26 00:00:00+05:30,74.6,76.5,73.4,74.45,79694
2008-09-29 00:00:00+05:30,74.25,74.25,64.5,69.85,127721
2008-09-30 00:00:00+05:30,67.05,71.9,64.5,70.7,210279
2008-10-01 00:00:00+05:30,71.9,72.0,67.8,69.2,21500
2008-10-03 00:00:00+05:30,68.1,68.95,64.15,66.25,75878
2008-10-06 00:00:00+05:30,64.55,64.55,54.5,57.75,226076
2008-10-07 00:00:00+05:30,57.0,60.5,56.0,58.75,73536
2008-10-08 00:00:00+05:30,56.5,59.0,51.0,58.3,91190
2008-10-10 00:00:00+05:30,57.0,57.0,47.0,49.95,134977
2008-10-13 00:00:00+05:30,49.7,51.0,48.65,49.45,69937
2008-10-14 00:00:00+05:30,50.1,52.0,50.0,50.6,36060
2008-10-15 00:00:00+05:30,50.6,52.0,47.0,48.75,94678
2008-10-16 00:00:00+05:30,46.15,46.5,42.4,45.35,83115
2008-10-17 00:00:00+05:30,45.2,47.0,40.25,42.05,33601
2008-10-20 00:00:00+05:30,40.5,45.0,38.2,41.4,310771
2008-10-21 00:00:00+05:30,41.0,49.7,41.0,49.7,183533
2008-10-22 00:00:00+05:30,50.0,53.85,46.2,47.1,940196
2008-10-23 00:00:00+05:30,46.0,46.0,39.15,40.5,936304
2008-10-24 00:00:00+05:30,40.0,40.0,32.4,32.9,871088
2008-10-27 00:00:00+05:30,32.5,33.0,27.55,30.4,163372
2008-10-28 00:00:00+05:30,33.0,35.85,33.0,33.7,20645
2008-10-29 00:00:00+05:30,35.1,35.1,33.4,33.65,38742
2008-10-31 00:00:00+05:30,34.0,35.5,33.0,33.5,761390
2008-11-03 00:00:00+05:30,35.4,35.5,34.2,34.4,896331
2008-11-04 00:00:00+05:30,34.5,34.9,33.5,34.3,109131
2008-11-05 00:00:00+05:30,36.0,40.85,35.25,37.65,165313
2008-11-06 00:00:00+05:30,37.0,38.4,34.15,35.6,166729
2008-11-07 00:00:00+05:30,35.0,37.15,34.0,34.55,79804
2008-11-10 00:00:00+05:30,36.0,37.1,34.7,35.9,75094
2008-11-11 00:00:00+05:30,35.05,35.95,33.1,33.6,35990
2008-11-12 00:00:00+05:30,30.0,33.65,30.0,32.1,55392
2008-11-14 00:00:00+05:30,33.4,33.9,30.5,31.1,34232
2008-11-17 00:00:00+05:30,30.1,31.0,26.6,27.65,120709
2008-11-18 00:00:00+05:30,27.0,27.9,25.0,25.55,132101
2008-11-19 00:00:00+05:30,26.9,30.7,21.5,22.35,539324
