Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,36.4,37.1,36.2,37.0,6794
2008-03-31 00:00:00+05:30,37.0,38.52,36.4,38.51,4344
2008-04-01 00:00:00+05:30,39.6,40.4,39.6,40.4,4999
2008-04-02 00:00:00+05:30,38.42,38.82,38.42,38.8,254
2008-04-03 00:00:00+05:30,38.0,38.0,38.0,38.0,749
2008-04-04 00:00:00+05:30,36.9,38.98,36.9,38.98,149
2008-04-07 00:00:00+05:30,37.3,37.3,37.3,37.3,1954
2008-04-08 00:00:00+05:30,36.6,37.8,36.6,37.0,6064
2008-04-09 00:00:00+05:30,38.6,38.6,36.0,38.5,123679
2008-04-10 00:00:00+05:30,36.6,38.7,36.6,38.7,3619
2008-04-11 00:00:00+05:30,38.0,38.01,38.0,38.0,3264
2008-04-16 00:00:00+05:30,37.3,38.8,37.3,37.72,6524
2008-04-17 00:00:00+05:30,38.0,39.19,37.96,38.95,6389
2008-04-21 00:00:00+05:30,38.8,39.0,38.0,38.06,13969
2008-04-22 00:00:00+05:30,38.05,38.05,38.05,38.05,149
2008-04-23 00:00:00+05:30,38.8,38.96,38.05,38.05,1404
2008-04-24 00:00:00+05:30,39.7,39.7,38.25,39.24,4809
2008-04-25 00:00:00+05:30,38.1,39.78,38.0,39.2,40889
2008-04-28 00:00:00+05:30,39.0,41.12,38.3,40.96,34254
2008-04-29 00:00:00+05:30,41.58,42.0,39.25,40.6,30824
2008-04-30 00:00:00+05:30,41.8,42.63,41.8,42.63,55859
2008-05-02 00:00:00+05:30,43.6,44.4,43.0,43.09,8559
2008-05-05 00:00:00+05:30,44.99,44.99,44.0,44.0,274
2008-05-06 00:00:00+05:30,41.94,41.94,41.8,41.8,1129
2008-05-07 00:00:00+05:30,40.42,40.42,39.71,39.78,5619
2008-05-08 00:00:00+05:30,39.7,40.0,39.7,40.0,10694
2008-05-09 00:00:00+05:30,39.0,39.2,39.0,39.0,12644
2008-05-12 00:00:00+05:30,39.19,39.19,39.19,39.19,9
2008-05-13 00:00:00+05:30,39.6,39.6,39.6,39.6,124
2008-05-14 00:00:00+05:30,37.8,38.4,37.8,38.4,299
2008-05-15 00:00:00+05:30,38.4,38.4,37.6,38.4,1489
2008-05-16 00:00:00+05:30,37.5,39.0,37.5,39.0,674
2008-05-20 00:00:00+05:30,37.4,38.4,37.25,37.4,2924
2008-05-22 00:00:00+05:30,36.04,39.2,36.04,38.18,1319
2008-05-23 00:00:00+05:30,38.18,38.8,37.0,37.84,1749
2008-05-26 00:00:00+05:30,36.6,36.6,36.6,36.6,249
2008-05-27 00:00:00+05:30,38.4,38.4,37.41,37.41,7214
2008-05-28 00:00:00+05:30,38.0,38.0,38.0,38.0,164
2008-05-29 00:00:00+05:30,37.0,37.0,37.0,37.0,499
2008-05-30 00:00:00+05:30,36.2,38.8,36.0,38.8,549
2008-06-02 00:00:00+05:30,37.2,37.2,37.2,37.2,249
2008-06-03 00:00:00+05:30,36.0,36.0,35.6,35.6,2549
2008-06-04 00:00:00+05:30,36.6,36.6,36.0,36.0,209
2008-06-05 00:00:00+05:30,36.96,36.96,34.5,34.5,15499
2008-06-06 00:00:00+05:30,36.2,36.22,36.2,36.22,15049
2008-06-09 00:00:00+05:30,34.5,35.4,34.5,35.4,16129
2008-06-10 00:00:00+05:30,35.0,35.6,34.0,34.42,10139
2008-06-11 00:00:00+05:30,35.6,35.6,33.8,34.06,62834
2008-06-12 00:00:00+05:30,35.6,35.6,35.4,35.4,20004
2008-06-13 00:00:00+05:30,36.4,36.4,34.0,34.97,32549
2008-06-16 00:00:00+05:30,34.8,35.0,33.62,33.62,4954
2008-06-17 00:00:00+05:30,33.14,33.7,33.14,33.7,1009
2008-06-18 00:00:00+05:30,34.4,35.0,34.4,34.4,389
2008-06-19 00:00:00+05:30,34.0,34.8,34.0,34.42,1049
2008-06-20 00:00:00+05:30,33.6,33.6,32.7,33.35,3109
2008-06-24 00:00:00+05:30,33.64,33.64,31.69,31.69,19
2008-06-25 00:00:00+05:30,30.15,30.4,30.14,30.2,2399
2008-06-26 00:00:00+05:30,28.8,28.86,28.69,28.71,2644
2008-06-27 00:00:00+05:30,28.0,30.0,27.41,27.8,3474
2008-06-30 00:00:00+05:30,26.43,26.44,26.42,26.43,1344
2008-07-01 00:00:00+05:30,25.12,27.55,25.12,26.76,44
2008-07-02 00:00:00+05:30,26.6,26.6,26.6,26.6,74
2008-07-03 00:00:00+05:30,26.2,26.2,25.3,25.38,274
2008-07-04 00:00:00+05:30,26.39,26.39,25.14,25.19,129
2008-07-07 00:00:00+05:30,24.14,26.4,24.14,26.4,699
2008-07-08 00:00:00+05:30,25.1,26.3,25.1,26.3,499
2008-07-09 00:00:00+05:30,25.0,26.0,25.0,25.0,5944
2008-07-10 00:00:00+05:30,24.0,25.59,24.0,25.59,399
2008-07-11 00:00:00+05:30,26.0,26.4,24.62,26.0,4984
2008-07-14 00:00:00+05:30,26.0,26.0,25.99,25.99,1249
2008-07-15 00:00:00+05:30,27.0,27.0,25.0,25.9,694
2008-07-16 00:00:00+05:30,25.78,25.78,25.78,25.78,124
2008-07-17 00:00:00+05:30,25.4,25.4,24.5,24.6,2394
2008-07-21 00:00:00+05:30,24.5,24.5,24.5,24.5,999
2008-07-22 00:00:00+05:30,24.5,24.5,24.5,24.5,479
2008-07-23 00:00:00+05:30,25.0,25.7,24.0,25.6,7274
2008-07-24 00:00:00+05:30,25.0,25.0,25.0,25.0,499
2008-07-28 00:00:00+05:30,25.6,26.23,25.6,25.91,1199
2008-07-29 00:00:00+05:30,26.32,26.32,26.32,26.32,24
2008-07-30 00:00:00+05:30,26.78,26.78,26.78,26.78,149
2008-07-31 00:00:00+05:30,26.0,26.0,25.8,26.0,1999
2008-08-01 00:00:00+05:30,26.19,27.23,24.7,25.54,41429
2008-08-04 00:00:00+05:30,25.5,25.5,25.5,25.5,499
2008-08-05 00:00:00+05:30,25.07,26.0,25.05,25.1,2249
2008-08-06 00:00:00+05:30,26.0,26.0,25.0,25.2,3359
2008-08-07 00:00:00+05:30,26.0,26.0,25.6,26.0,3394
2008-08-08 00:00:00+05:30,25.99,25.99,25.0,25.08,3209
2008-08-11 00:00:00+05:30,25.0,25.0,24.0,24.47,2119
2008-08-12 00:00:00+05:30,25.7,25.7,24.51,24.84,2714
2008-08-13 00:00:00+05:30,24.8,25.58,24.6,24.78,3544
2008-08-14 00:00:00+05:30,24.63,24.63,24.2,24.6,3954
2008-08-18 00:00:00+05:30,25.69,25.69,23.87,23.87,489
2008-08-19 00:00:00+05:30,24.2,24.98,23.88,24.31,1799
2008-08-20 00:00:00+05:30,25.0,25.0,25.0,25.0,149
2008-08-21 00:00:00+05:30,24.4,25.38,24.2,24.2,874
2008-08-22 00:00:00+05:30,24.6,24.6,23.0,23.0,2499
2008-08-25 00:00:00+05:30,24.0,24.0,22.6,23.0,339
2008-08-26 00:00:00+05:30,22.41,22.43,21.86,22.12,304
2008-08-27 00:00:00+05:30,23.0,23.0,23.0,23.0,499
2008-08-28 00:00:00+05:30,23.2,23.2,21.85,21.85,2934
2008-08-29 00:00:00+05:30,21.8,22.92,21.0,22.1,2999
2008-09-01 00:00:00+05:30,23.0,23.2,22.4,23.0,1674
2008-09-02 00:00:00+05:30,23.8,24.12,23.8,23.8,5249
2008-09-04 00:00:00+05:30,23.6,24.99,22.61,24.99,16114
2008-09-05 00:00:00+05:30,26.1,26.1,25.0,25.0,754
2008-09-08 00:00:00+05:30,24.0,25.6,22.61,23.5,48154
2008-09-09 00:00:00+05:30,23.24,23.24,23.24,23.24,34
2008-09-10 00:00:00+05:30,23.78,23.78,21.8,22.17,2404
2008-09-11 00:00:00+05:30,24.19,24.19,22.8,23.19,1584
2008-09-12 00:00:00+05:30,23.54,23.55,22.2,22.2,2249
2008-09-15 00:00:00+05:30,21.36,22.0,20.3,20.51,11149
2008-09-17 00:00:00+05:30,20.2,22.39,20.08,22.39,1394
2008-09-18 00:00:00+05:30,21.6,21.6,21.38,21.6,1814
2008-09-19 00:00:00+05:30,22.6,22.6,20.41,20.41,374
2008-09-24 00:00:00+05:30,20.6,22.46,18.64,19.04,40139
2008-09-25 00:00:00+05:30,18.6,19.73,18.02,18.71,14149
2008-09-26 00:00:00+05:30,18.1,18.19,18.0,18.0,11724
2008-09-29 00:00:00+05:30,18.5,18.58,16.8,17.55,14549
2008-09-30 00:00:00+05:30,16.4,18.94,16.4,17.6,82169
2008-10-01 00:00:00+05:30,18.0,19.36,17.1,19.36,93304
2008-10-03 00:00:00+05:30,18.02,18.62,18.02,18.6,1069
2008-10-06 00:00:00+05:30,17.6,17.6,17.01,17.05,10749
2008-10-07 00:00:00+05:30,17.2,17.2,15.8,15.8,959
2008-10-08 00:00:00+05:30,16.8,16.8,14.22,16.0,2079
2008-10-10 00:00:00+05:30,15.6,16.58,14.4,16.58,35469
2008-10-13 00:00:00+05:30,15.2,15.2,14.96,14.96,1779
2008-10-14 00:00:00+05:30,15.84,16.06,15.05,15.05,1604
2008-10-15 00:00:00+05:30,14.16,14.46,14.15,14.4,3549
2008-10-16 00:00:00+05:30,13.41,14.59,13.4,13.45,14099
2008-10-17 00:00:00+05:30,12.53,14.7,12.53,13.45,1754
2008-10-20 00:00:00+05:30,13.0,13.06,13.0,13.06,8819
2008-10-21 00:00:00+05:30,13.14,14.36,12.7,13.42,6274
2008-10-22 00:00:00+05:30,13.2,14.7,13.2,14.2,5299
2008-10-23 00:00:00+05:30,12.8,13.2,12.8,13.05,2004
2008-10-24 00:00:00+05:30,13.0,13.1,12.0,12.14,31459
2008-10-27 00:00:00+05:30,11.0,13.35,10.93,10.93,5059
2008-10-28 00:00:00+05:30,10.81,11.48,10.81,11.23,4494
2008-10-29 00:00:00+05:30,10.71,10.71,10.7,10.7,17829
2008-10-31 00:00:00+05:30,11.23,11.24,10.2,11.08,21399
2008-11-03 00:00:00+05:30,10.54,11.37,10.54,10.65,4774
2008-11-04 00:00:00+05:30,10.2,11.19,10.2,11.19,51559
2008-11-05 00:00:00+05:30,11.74,11.74,11.72,11.72,1004
2008-11-06 00:00:00+05:30,11.59,11.59,11.59,11.59,49
2008-11-07 00:00:00+05:30,11.05,11.4,11.01,11.01,25979
2008-11-10 00:00:00+05:30,10.51,11.0,10.51,10.98,2924
2008-11-11 00:00:00+05:30,10.7,10.83,10.43,10.45,22314
2008-11-14 00:00:00+05:30,10.87,10.87,10.5,10.5,344
2008-11-17 00:00:00+05:30,10.0,10.5,9.98,10.5,39824
2008-11-18 00:00:00+05:30,9.98,9.98,9.98,9.98,51134
2008-11-19 00:00:00+05:30,10.0,10.0,9.49,9.49,404
2008-11-20 00:00:00+05:30,9.02,9.03,9.02,9.03,839
2008-11-21 00:00:00+05:30,9.47,9.47,8.58,8.58,854
2008-11-24 00:00:00+05:30,9.0,9.0,8.25,8.25,1694
2008-11-25 00:00:00+05:30,8.4,8.6,8.4,8.6,9
2008-11-28 00:00:00+05:30,8.4,8.4,8.23,8.23,1375254
2008-12-01 00:00:00+05:30,8.4,8.4,8.28,8.28,17304
2008-12-02 00:00:00+05:30,8.69,8.7,8.25,8.25,304
2008-12-03 00:00:00+05:30,8.67,8.67,8.67,8.67,249
2008-12-04 00:00:00+05:30,8.8,8.8,8.4,8.41,20249
2008-12-05 00:00:00+05:30,8.81,8.81,7.99,8.0,32264
2008-12-08 00:00:00+05:30,8.3,8.39,7.62,8.31,1649
2008-12-10 00:00:00+05:30,8.39,8.72,7.92,7.97,2109
2008-12-11 00:00:00+05:30,8.29,8.29,8.29,8.29,24999
2008-12-12 00:00:00+05:30,8.7,8.7,8.01,8.5,1959
2008-12-15 00:00:00+05:30,8.22,8.69,8.08,8.24,13354
2008-12-16 00:00:00+05:30,8.63,8.64,8.32,8.43,2409
2008-12-17 00:00:00+05:30,8.5,8.8,8.4,8.8,5624
2008-12-18 00:00:00+05:30,8.4,8.5,8.36,8.36,42509
2008-12-19 00:00:00+05:30,8.01,8.4,8.01,8.23,924
2008-12-22 00:00:00+05:30,8.4,8.4,8.0,8.0,98484
2008-12-23 00:00:00+05:30,7.6,8.19,7.6,8.09,1944
2008-12-24 00:00:00+05:30,8.0,8.37,8.0,8.37,389
2008-12-26 00:00:00+05:30,8.4,8.76,7.96,8.02,3199
2008-12-29 00:00:00+05:30,8.0,8.43,7.62,8.14,10649
2008-12-30 00:00:00+05:30,7.99,8.55,7.83,8.19,4124
2008-12-31 00:00:00+05:30,8.0,8.4,7.81,8.24,12779
2009-01-01 00:00:00+05:30,7.83,8.28,7.83,7.92,18604
2009-01-02 00:00:00+05:30,8.18,8.32,8.0,8.32,12799
2009-01-05 00:00:00+05:30,8.4,8.4,8.0,8.06,46349
2009-01-06 00:00:00+05:30,8.2,8.4,8.0,8.0,92164
2009-01-07 00:00:00+05:30,8.0,8.02,8.0,8.02,25749
2009-01-09 00:00:00+05:30,7.9,7.9,7.22,7.35,7214
2009-01-12 00:00:00+05:30,7.15,7.15,7.0,7.0,1329
2009-01-13 00:00:00+05:30,7.53,7.56,6.9,7.0,2524
2009-01-14 00:00:00+05:30,6.71,7.7,6.71,7.2,2129
2009-01-15 00:00:00+05:30,7.4,7.4,6.84,6.84,509
2009-01-16 00:00:00+05:30,7.19,7.36,6.7,6.7,2154
2009-01-19 00:00:00+05:30,6.61,6.8,6.51,6.74,61939
2009-01-20 00:00:00+05:30,6.8,7.2,6.52,6.56,2004
