Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,78.71,86.08,78.71,84.4,265238
2008-03-31 00:00:00+05:30,82.17,87.62,81.77,82.91,144075
2008-04-01 00:00:00+05:30,83.21,85.64,82.47,84.0,84180
2008-04-02 00:00:00+05:30,85.73,91.28,82.67,84.6,180428
2008-04-03 00:00:00+05:30,84.6,85.88,82.37,84.15,88518
2008-04-04 00:00:00+05:30,81.38,85.14,81.38,82.86,81369
2008-04-07 00:00:00+05:30,82.07,84.15,82.07,83.16,37746
2008-04-08 00:00:00+05:30,83.16,83.61,81.38,83.16,38380
2008-04-09 00:00:00+05:30,82.22,91.48,82.17,91.48,359806
2008-04-10 00:00:00+05:30,94.05,100.63,93.16,100.63,1124156
2008-04-11 00:00:00+05:30,104.74,107.56,96.33,99.5,964839
2008-04-15 00:00:00+05:30,98.01,98.51,94.84,97.27,220657
2008-04-16 00:00:00+05:30,98.51,103.95,97.56,98.46,160319
2008-04-17 00:00:00+05:30,99.15,100.78,97.27,98.11,166910
2008-04-21 00:00:00+05:30,99.0,102.86,97.86,98.51,376751
2008-04-22 00:00:00+05:30,98.8,99.79,95.04,96.08,138355
2008-04-23 00:00:00+05:30,97.02,97.52,91.28,91.82,255672
2008-04-24 00:00:00+05:30,94.05,96.43,91.77,92.07,316527
2008-04-25 00:00:00+05:30,93.9,94.94,91.28,91.58,199004
2008-04-28 00:00:00+05:30,91.97,96.03,91.97,92.91,180385
2008-04-29 00:00:00+05:30,93.95,98.6,93.16,94.05,693205
2008-04-30 00:00:00+05:30,94.55,96.53,93.01,93.16,309415
2008-05-02 00:00:00+05:30,93.56,94.74,92.37,93.06,205221
2008-05-05 00:00:00+05:30,93.85,99.99,93.26,96.67,419721
2008-05-06 00:00:00+05:30,97.27,99.0,92.47,92.91,325329
2008-05-07 00:00:00+05:30,93.31,94.94,91.08,91.38,435851
2008-05-08 00:00:00+05:30,91.97,92.52,91.08,91.77,90331
2008-05-09 00:00:00+05:30,91.08,92.86,89.1,89.45,193217
2008-05-12 00:00:00+05:30,89.1,91.53,88.51,90.54,238641
2008-05-13 00:00:00+05:30,91.92,96.43,91.67,92.47,348713
2008-05-14 00:00:00+05:30,93.06,99.35,92.76,94.1,1415978
2008-05-15 00:00:00+05:30,94.99,96.57,92.76,93.11,356848
2008-05-16 00:00:00+05:30,94.05,96.03,92.76,93.06,261495
2008-05-20 00:00:00+05:30,93.51,94.94,92.57,93.21,361586
2008-05-21 00:00:00+05:30,92.07,93.6,91.53,92.57,170169
2008-05-22 00:00:00+05:30,92.07,94.94,89.35,90.34,475714
2008-05-23 00:00:00+05:30,91.08,92.66,90.63,91.08,262862
2008-05-26 00:00:00+05:30,91.08,93.46,89.45,91.77,196374
2008-05-27 00:00:00+05:30,92.07,92.66,89.79,89.94,126601
2008-05-28 00:00:00+05:30,90.14,91.48,88.85,90.88,151579
2008-05-29 00:00:00+05:30,92.07,92.07,89.0,89.15,152273
2008-05-30 00:00:00+05:30,89.1,93.06,88.61,88.9,339432
2008-06-02 00:00:00+05:30,89.1,91.08,87.17,87.52,178239
2008-06-03 00:00:00+05:30,87.12,87.12,84.55,85.64,90648
2008-06-04 00:00:00+05:30,84.84,86.48,83.56,84.0,162496
2008-06-05 00:00:00+05:30,84.15,86.77,82.37,86.18,120459
2008-06-06 00:00:00+05:30,85.14,86.43,84.55,84.79,71750
2008-06-09 00:00:00+05:30,81.53,84.1,80.59,83.26,132156
2008-06-10 00:00:00+05:30,82.27,85.49,82.27,83.16,77434
2008-06-11 00:00:00+05:30,83.66,93.46,83.66,89.15,392138
2008-06-12 00:00:00+05:30,88.11,91.48,85.68,89.94,242818
2008-06-13 00:00:00+05:30,90.24,90.24,87.12,87.52,142827
2008-06-16 00:00:00+05:30,87.12,91.08,87.12,88.75,102221
2008-06-17 00:00:00+05:30,87.71,91.62,87.32,89.74,163389
2008-06-18 00:00:00+05:30,89.69,93.46,89.5,89.94,286602
2008-06-19 00:00:00+05:30,87.12,89.55,86.82,87.02,133132
2008-06-20 00:00:00+05:30,86.72,89.1,81.18,81.82,202229
2008-06-23 00:00:00+05:30,79.2,83.16,79.2,80.83,101046
2008-06-24 00:00:00+05:30,79.2,83.06,79.2,81.03,100626
2008-06-25 00:00:00+05:30,79.2,81.13,79.2,79.65,154474
2008-06-26 00:00:00+05:30,80.09,82.86,79.6,81.72,92981
2008-06-27 00:00:00+05:30,82.17,82.42,79.2,81.77,134809
2008-06-30 00:00:00+05:30,81.77,81.77,79.2,79.5,127406
2008-07-01 00:00:00+05:30,79.7,79.7,76.73,77.47,140728
2008-07-02 00:00:00+05:30,78.21,79.2,76.23,79.1,89592
2008-07-03 00:00:00+05:30,78.31,78.31,74.25,76.92,51227
2008-07-04 00:00:00+05:30,76.23,78.66,74.94,78.41,48611
2008-07-07 00:00:00+05:30,79.05,94.05,75.78,79.1,114692
2008-07-08 00:00:00+05:30,80.19,80.19,75.24,79.2,58768
2008-07-09 00:00:00+05:30,79.3,81.92,78.71,79.15,77968
2008-07-10 00:00:00+05:30,77.72,80.14,77.72,79.2,135623
2008-07-11 00:00:00+05:30,78.21,80.59,76.58,79.0,48912
2008-07-14 00:00:00+05:30,77.07,78.21,76.43,76.77,81255
2008-07-15 00:00:00+05:30,75.88,78.51,74.4,77.12,35958
2008-07-16 00:00:00+05:30,75.24,79.1,75.24,76.77,54180
2008-07-17 00:00:00+05:30,78.21,78.66,76.23,77.42,44555
2008-07-18 00:00:00+05:30,74.35,77.72,74.35,76.82,38226
2008-07-21 00:00:00+05:30,76.82,78.9,76.82,77.72,57338
2008-07-22 00:00:00+05:30,77.22,78.16,76.77,77.12,76204
2008-07-23 00:00:00+05:30,77.22,84.15,76.92,78.16,203908
2008-07-24 00:00:00+05:30,78.21,79.2,77.72,77.91,72553
2008-07-25 00:00:00+05:30,74.25,77.86,74.25,75.88,75646
2008-07-28 00:00:00+05:30,74.25,77.22,74.25,76.23,59762
2008-07-29 00:00:00+05:30,75.24,77.32,74.55,76.18,66050
2008-07-30 00:00:00+05:30,74.25,77.07,74.25,76.03,43318
2008-07-31 00:00:00+05:30,75.24,85.14,75.24,77.02,478208
2008-08-01 00:00:00+05:30,76.92,80.04,76.92,78.85,169770
2008-08-04 00:00:00+05:30,79.4,83.06,77.32,78.21,377344
2008-08-05 00:00:00+05:30,77.76,80.19,76.33,76.92,193417
2008-08-06 00:00:00+05:30,79.45,83.85,77.32,80.73,455757
2008-08-07 00:00:00+05:30,83.16,89.89,79.99,84.65,977314
2008-08-08 00:00:00+05:30,86.03,89.79,85.34,86.03,763446
2008-08-11 00:00:00+05:30,87.12,88.36,85.54,85.93,678737
2008-08-12 00:00:00+05:30,87.02,88.06,83.16,84.1,423834
2008-08-13 00:00:00+05:30,81.68,91.48,81.68,87.76,709560
2008-08-14 00:00:00+05:30,88.11,93.8,87.12,90.78,967050
2008-08-18 00:00:00+05:30,90.78,93.31,89.89,90.24,368233
2008-08-19 00:00:00+05:30,89.1,91.03,86.77,90.04,180466
2008-08-20 00:00:00+05:30,91.48,91.97,89.79,90.29,199133
2008-08-21 00:00:00+05:30,89.55,90.93,87.52,87.96,170560
2008-08-22 00:00:00+05:30,87.12,87.47,85.19,85.83,113395
2008-08-25 00:00:00+05:30,86.13,89.94,86.13,87.91,171002
2008-08-26 00:00:00+05:30,85.24,94.45,85.24,93.26,506670
2008-08-27 00:00:00+05:30,94.74,96.87,90.78,91.23,414948
2008-08-28 00:00:00+05:30,91.33,92.86,88.11,88.36,210713
2008-08-29 00:00:00+05:30,89.1,94.3,89.0,93.36,223947
2008-09-01 00:00:00+05:30,93.75,95.39,91.87,92.91,275301
2008-09-02 00:00:00+05:30,94.05,95.58,92.57,95.04,247997
2008-09-04 00:00:00+05:30,94.05,101.72,93.11,99.15,1507971
2008-09-05 00:00:00+05:30,97.02,98.7,94.55,95.68,290639
2008-09-08 00:00:00+05:30,97.42,98.9,93.95,94.3,143248
2008-09-09 00:00:00+05:30,94.05,96.23,93.26,94.99,177062
2008-09-10 00:00:00+05:30,94.15,97.02,93.85,95.14,286533
2008-09-11 00:00:00+05:30,94.99,95.04,92.27,92.91,205915
2008-09-12 00:00:00+05:30,93.46,93.56,87.71,88.75,206222
2008-09-15 00:00:00+05:30,86.82,87.42,82.47,84.94,132501
2008-09-16 00:00:00+05:30,81.23,84.74,81.18,83.7,135357
2008-09-17 00:00:00+05:30,84.74,84.74,81.33,83.16,88086
2008-09-18 00:00:00+05:30,78.61,81.68,74.25,81.18,111310
2008-09-19 00:00:00+05:30,82.27,85.64,81.48,84.5,111042
2008-09-22 00:00:00+05:30,84.25,86.53,83.66,84.55,67204
2008-09-23 00:00:00+05:30,81.87,84.6,80.19,80.69,31952
2008-09-24 00:00:00+05:30,80.69,82.57,79.84,81.87,32726
2008-09-25 00:00:00+05:30,80.83,84.05,80.29,81.23,134374
2008-09-26 00:00:00+05:30,82.02,83.66,80.19,80.34,138734
2008-09-29 00:00:00+05:30,80.69,81.68,75.54,77.42,203163
2008-09-30 00:00:00+05:30,74.25,79.2,72.77,74.6,174311
2008-10-01 00:00:00+05:30,75.24,78.21,74.3,77.57,23992
2008-10-03 00:00:00+05:30,75.24,78.51,75.24,76.33,68182
2008-10-06 00:00:00+05:30,73.76,75.19,72.32,73.85,161369
2008-10-07 00:00:00+05:30,74.25,75.24,67.82,71.48,143874
2008-10-08 00:00:00+05:30,71.68,74.05,58.66,71.82,202020
2008-10-10 00:00:00+05:30,64.45,66.78,58.95,59.4,262347
2008-10-13 00:00:00+05:30,63.86,67.22,60.44,60.79,49139
2008-10-14 00:00:00+05:30,62.37,65.84,61.68,63.11,263392
2008-10-15 00:00:00+05:30,62.57,62.57,56.43,57.12,173981
2008-10-16 00:00:00+05:30,54.5,56.38,49.5,54.8,49770
2008-10-17 00:00:00+05:30,52.77,56.93,52.77,54.5,65965
2008-10-20 00:00:00+05:30,57.42,57.42,52.17,53.56,43756
2008-10-21 00:00:00+05:30,54.0,56.83,52.57,54.2,212354
2008-10-22 00:00:00+05:30,52.47,53.56,50.54,51.43,163113
2008-10-23 00:00:00+05:30,49.55,50.94,47.22,47.47,82856
2008-10-24 00:00:00+05:30,45.74,46.28,41.04,44.6,160145
2008-10-27 00:00:00+05:30,39.7,45.29,39.7,43.71,173721
2008-10-28 00:00:00+05:30,45.54,52.47,45.54,50.0,32104
2008-10-29 00:00:00+05:30,53.61,54.95,47.62,48.02,36673
2008-10-31 00:00:00+05:30,48.02,51.98,47.52,50.94,115806
2008-11-03 00:00:00+05:30,51.18,52.92,48.56,50.29,32991
2008-11-04 00:00:00+05:30,49.75,52.77,45.79,47.87,122120
2008-11-05 00:00:00+05:30,48.02,51.23,47.52,47.62,36031
2008-11-06 00:00:00+05:30,46.63,48.51,45.69,47.72,12236
2008-11-07 00:00:00+05:30,45.84,50.49,45.84,48.26,32859
2008-11-10 00:00:00+05:30,47.77,49.5,47.57,48.36,26006
2008-11-11 00:00:00+05:30,47.62,47.87,44.8,45.99,27477
2008-11-12 00:00:00+05:30,45.0,45.05,41.98,42.52,48947
2008-11-14 00:00:00+05:30,43.36,44.85,41.09,41.53,55657
2008-11-17 00:00:00+05:30,38.66,42.57,38.66,41.53,24080
2008-11-18 00:00:00+05:30,39.8,42.03,39.8,40.59,48648
2008-11-19 00:00:00+05:30,40.59,40.94,40.44,40.59,84635
2008-11-20 00:00:00+05:30,39.6,42.08,38.61,40.54,346431
2008-11-21 00:00:00+05:30,40.59,42.57,40.59,41.58,25358
2008-11-24 00:00:00+05:30,40.69,42.08,40.59,41.58,45686
2008-11-25 00:00:00+05:30,41.58,42.97,41.09,42.57,247082
2008-11-26 00:00:00+05:30,42.57,43.56,41.58,43.36,48574
2008-11-28 00:00:00+05:30,41.98,43.56,41.38,42.22,41913
2008-12-01 00:00:00+05:30,41.78,42.87,41.58,41.58,35306
2008-12-02 00:00:00+05:30,40.59,41.48,40.59,41.23,18670
2008-12-03 00:00:00+05:30,40.69,42.03,40.64,41.53,8040
2008-12-04 00:00:00+05:30,41.58,42.22,39.8,40.49,30122
2008-12-05 00:00:00+05:30,41.09,42.03,40.89,41.18,27381
2008-12-08 00:00:00+05:30,40.69,41.13,39.6,40.29,13771
2008-12-10 00:00:00+05:30,39.8,42.08,39.6,40.59,61113
2008-12-11 00:00:00+05:30,39.7,44.65,39.7,42.37,46581
2008-12-12 00:00:00+05:30,40.69,42.82,40.69,41.73,21931
2008-12-15 00:00:00+05:30,35.64,48.41,35.64,47.12,116623
