Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,334.76,348.36,330.32,346.12,315783
2008-03-31 00:00:00+05:30,346.12,348.36,314.14,319.09,817145
2008-04-01 00:00:00+05:30,319.12,343.38,311.03,332.71,532371
2008-04-02 00:00:00+05:30,340.24,345.87,326.58,331.28,499128
2008-04-03 00:00:00+05:30,329.07,341.58,326.62,333.61,267179
2008-04-04 00:00:00+05:30,335.29,339.03,317.41,323.47,247653
2008-04-07 00:00:00+05:30,328.82,341.51,328.45,337.0,301633
2008-04-08 00:00:00+05:30,332.81,332.81,295.48,298.25,1754849
2008-04-09 00:00:00+05:30,301.76,307.92,289.26,292.56,1882649
2008-04-10 00:00:00+05:30,298.4,304.03,289.29,291.69,1367615
2008-04-11 00:00:00+05:30,300.74,300.74,287.39,293.12,527913
2008-04-15 00:00:00+05:30,288.89,299.84,287.39,297.13,382912
2008-04-16 00:00:00+05:30,301.7,303.51,295.48,297.5,236859
2008-04-17 00:00:00+05:30,301.08,303.19,297.85,299.74,330841
2008-04-21 00:00:00+05:30,301.7,309.17,297.41,301.55,627684
2008-04-22 00:00:00+05:30,299.84,303.97,297.97,298.87,205196
2008-04-23 00:00:00+05:30,297.97,305.68,296.17,299.18,628378
2008-04-24 00:00:00+05:30,301.7,303.57,275.11,300.21,1135246
2008-04-25 00:00:00+05:30,300.49,309.17,300.46,304.5,430042
2008-04-28 00:00:00+05:30,309.17,318.5,305.53,315.88,630827
2008-04-29 00:00:00+05:30,314.14,326.21,311.03,314.45,930041
2008-04-30 00:00:00+05:30,315.39,317.81,306.12,310.13,473720
2008-05-02 00:00:00+05:30,316.41,316.41,306.09,307.33,175791
2008-05-05 00:00:00+05:30,314.14,314.14,300.58,303.41,1016235
2008-05-06 00:00:00+05:30,304.94,310.41,297.35,304.56,379945
2008-05-07 00:00:00+05:30,304.87,307.77,301.24,303.94,212365
2008-05-08 00:00:00+05:30,302.32,317.0,302.32,313.24,1164434
2008-05-09 00:00:00+05:30,307.92,312.74,302.45,305.0,200760
2008-05-12 00:00:00+05:30,314.14,314.14,298.59,302.26,196651
2008-05-13 00:00:00+05:30,303.57,308.79,301.76,305.96,511577
2008-05-14 00:00:00+05:30,303.63,312.21,300.46,307.77,181738
2008-05-15 00:00:00+05:30,308.05,316.01,307.92,311.75,306589
2008-05-16 00:00:00+05:30,311.65,319.59,310.47,317.75,426612
2008-05-20 00:00:00+05:30,311.25,322.23,311.25,315.51,390653
2008-05-21 00:00:00+05:30,298.59,323.66,298.59,321.64,299293
2008-05-22 00:00:00+05:30,314.77,320.12,306.4,311.22,652636
2008-05-23 00:00:00+05:30,313.49,315.95,309.79,313.61,267056
2008-05-26 00:00:00+05:30,311.03,313.52,302.95,311.25,166702
2008-05-27 00:00:00+05:30,311.25,314.14,308.58,312.18,255820
2008-05-28 00:00:00+05:30,320.36,322.23,311.1,321.02,212239
2008-05-29 00:00:00+05:30,323.47,324.97,301.7,309.1,903304
2008-05-30 00:00:00+05:30,314.14,326.58,311.13,316.76,237984
2008-06-02 00:00:00+05:30,317.25,321.58,306.12,311.1,285074
2008-06-03 00:00:00+05:30,306.55,313.52,302.01,305.62,149911
2008-06-04 00:00:00+05:30,309.79,309.79,289.26,296.88,386489
2008-06-05 00:00:00+05:30,298.47,306.06,289.88,304.72,130466
2008-06-06 00:00:00+05:30,307.95,317.25,296.13,298.31,144111
2008-06-09 00:00:00+05:30,295.33,300.12,283.1,294.64,408244
2008-06-10 00:00:00+05:30,292.37,292.99,279.93,283.48,437432
2008-06-11 00:00:00+05:30,286.77,288.61,278.75,282.39,155258
2008-06-12 00:00:00+05:30,279.31,279.31,269.98,276.94,112650
2008-06-13 00:00:00+05:30,276.82,276.82,255.7,262.45,349125
2008-06-16 00:00:00+05:30,263.51,273.71,263.51,272.09,132445
2008-06-17 00:00:00+05:30,271.84,273.71,266.43,269.88,253129
2008-06-18 00:00:00+05:30,266.24,281.17,258.84,261.77,579560
2008-06-19 00:00:00+05:30,261.77,262.45,249.76,253.9,449857
2008-06-20 00:00:00+05:30,253.9,258.22,236.38,238.59,341089
2008-06-23 00:00:00+05:30,238.59,243.85,219.37,222.36,453709
2008-06-24 00:00:00+05:30,226.43,235.45,212.5,215.48,656861
2008-06-25 00:00:00+05:30,211.44,227.68,211.44,224.35,816494
2008-06-26 00:00:00+05:30,227.68,257.82,224.16,245.19,1054178
2008-06-27 00:00:00+05:30,236.23,236.32,225.87,233.55,305525
2008-06-30 00:00:00+05:30,241.55,241.55,225.87,231.84,260224
2008-07-01 00:00:00+05:30,233.27,240.12,230.6,236.54,276244
2008-07-02 00:00:00+05:30,234.52,251.13,219.4,238.9,414731
2008-07-03 00:00:00+05:30,239.5,240.18,214.61,219.25,483440
2008-07-04 00:00:00+05:30,214.61,239.18,211.56,227.15,743525
2008-07-07 00:00:00+05:30,248.02,248.02,228.92,232.19,519361
2008-07-08 00:00:00+05:30,232.15,240.43,227.61,232.34,734795
2008-07-09 00:00:00+05:30,237.01,243.6,235.14,236.54,515143
2008-07-10 00:00:00+05:30,235.76,250.38,235.73,246.28,486664
2008-07-11 00:00:00+05:30,256.29,256.29,230.82,237.38,341685
2008-07-14 00:00:00+05:30,233.27,245.59,232.65,234.71,368120
2008-07-15 00:00:00+05:30,233.15,233.15,224.63,229.92,232809
2008-07-16 00:00:00+05:30,234.52,238.87,229.26,232.81,193095
2008-07-17 00:00:00+05:30,238.19,245.72,236.42,239.59,245167
2008-07-18 00:00:00+05:30,245.65,247.74,240.24,245.75,300792
2008-07-21 00:00:00+05:30,245.75,255.36,239.5,251.13,495047
2008-07-22 00:00:00+05:30,250.69,264.25,249.57,260.24,452309
2008-07-23 00:00:00+05:30,268.73,298.53,265.65,290.04,846029
2008-07-24 00:00:00+05:30,293.62,295.48,278.69,286.77,591628
2008-07-25 00:00:00+05:30,280.02,283.04,267.49,270.57,373849
2008-07-28 00:00:00+05:30,273.09,279.31,257.04,264.19,522507
2008-07-29 00:00:00+05:30,255.05,255.73,246.59,251.75,215498
2008-07-30 00:00:00+05:30,254.11,287.33,254.11,275.48,1115549
2008-07-31 00:00:00+05:30,274.33,286.77,263.66,280.33,1164489
2008-08-01 00:00:00+05:30,279.93,290.66,273.09,279.43,570000
2008-08-04 00:00:00+05:30,279.31,279.31,269.98,271.16,437532
2008-08-05 00:00:00+05:30,271.78,283.51,265.62,276.94,760545
2008-08-06 00:00:00+05:30,279.93,294.3,277.78,286.49,513204
2008-08-07 00:00:00+05:30,285.53,292.99,274.95,284.66,853975
2008-08-08 00:00:00+05:30,283.16,288.3,276.35,279.9,382896
2008-08-11 00:00:00+05:30,282.36,284.28,276.82,280.55,325433
2008-08-12 00:00:00+05:30,282.42,282.42,275.58,278.37,1010899
2008-08-13 00:00:00+05:30,275.58,281.14,270.04,279.53,262438
2008-08-14 00:00:00+05:30,261.3,281.17,261.3,265.81,270313
2008-08-18 00:00:00+05:30,265.0,270.97,261.39,265.68,87087
2008-08-19 00:00:00+05:30,261.89,270.6,261.33,268.2,94525
2008-08-20 00:00:00+05:30,268.2,273.4,262.51,269.95,151998
2008-08-21 00:00:00+05:30,269.98,270.54,255.67,257.54,573654
2008-08-22 00:00:00+05:30,255.05,264.28,254.42,261.55,150926
2008-08-25 00:00:00+05:30,266.87,267.49,255.05,257.07,186843
2008-08-26 00:00:00+05:30,254.24,258.78,252.56,257.16,238624
2008-08-27 00:00:00+05:30,256.29,258.69,255.42,257.22,76858
2008-08-28 00:00:00+05:30,259.71,261.27,242.82,245.62,1085129
2008-08-29 00:00:00+05:30,250.07,260.09,248.86,257.88,320832
2008-09-01 00:00:00+05:30,257.88,257.88,247.58,253.06,350271
2008-09-02 00:00:00+05:30,253.8,273.09,252.71,266.34,204592
2008-09-04 00:00:00+05:30,267.49,273.71,261.52,269.95,233727
2008-09-05 00:00:00+05:30,265.62,265.62,256.63,264.72,157894
2008-09-08 00:00:00+05:30,269.35,284.6,269.35,279.87,475308
2008-09-09 00:00:00+05:30,279.93,282.73,258.93,277.75,307560
2008-09-10 00:00:00+05:30,273.71,279.74,271.84,277.22,235479
2008-09-11 00:00:00+05:30,274.27,282.42,266.31,273.15,163575
2008-09-12 00:00:00+05:30,273.71,284.75,261.98,265.5,1000289
2008-09-15 00:00:00+05:30,256.04,257.54,237.13,245.68,329219
2008-09-16 00:00:00+05:30,241.36,267.49,236.38,264.78,348652
2008-09-17 00:00:00+05:30,270.6,273.09,262.54,267.71,356682
2008-09-18 00:00:00+05:30,257.54,276.82,257.54,269.76,351908
2008-09-19 00:00:00+05:30,275.54,287.33,275.02,283.38,549771
2008-09-22 00:00:00+05:30,285.53,294.24,280.64,285.65,301218
2008-09-23 00:00:00+05:30,281.8,292.99,280.55,286.09,498855
2008-09-24 00:00:00+05:30,289.57,296.73,285.96,289.26,726574
2008-09-25 00:00:00+05:30,291.13,291.19,272.62,276.66,988898
2008-09-26 00:00:00+05:30,286.15,301.02,286.15,292.9,2353146
2008-09-29 00:00:00+05:30,293.02,297.97,284.28,293.18,600981
2008-09-30 00:00:00+05:30,283.04,298.47,275.05,293.83,474033
2008-10-01 00:00:00+05:30,301.7,304.19,285.34,288.76,464627
2008-10-03 00:00:00+05:30,289.32,291.0,275.02,280.52,1025526
2008-10-06 00:00:00+05:30,279.21,290.82,260.18,287.05,950328
2008-10-07 00:00:00+05:30,287.05,301.7,286.21,297.25,377170
2008-10-08 00:00:00+05:30,289.98,294.67,279.25,288.02,465659
2008-10-10 00:00:00+05:30,279.93,283.04,253.4,259.9,530241
2008-10-13 00:00:00+05:30,270.6,278.31,243.85,275.48,407913
2008-10-14 00:00:00+05:30,288.64,310.97,288.64,308.36,487922
2008-10-15 00:00:00+05:30,302.32,325.9,281.67,302.67,1438142
2008-10-16 00:00:00+05:30,295.48,301.17,275.26,293.49,411832
2008-10-17 00:00:00+05:30,294.36,294.36,267.52,271.72,200911
2008-10-20 00:00:00+05:30,262.51,301.08,262.51,289.32,322232
2008-10-21 00:00:00+05:30,291.13,295.48,281.17,290.63,369258
2008-10-22 00:00:00+05:30,288.02,289.26,265.81,269.6,172628
2008-10-23 00:00:00+05:30,258.16,279.21,255.67,268.05,368906
2008-10-24 00:00:00+05:30,268.2,268.73,218.38,227.21,282489
2008-10-27 00:00:00+05:30,214.61,229.92,200.96,220.46,524975
2008-10-28 00:00:00+05:30,223.94,232.65,211.5,228.33,54423
2008-10-29 00:00:00+05:30,242.61,271.22,242.61,255.76,1162949
2008-10-31 00:00:00+05:30,276.82,310.66,276.82,301.67,1872482
2008-11-03 00:00:00+05:30,295.54,348.36,295.54,337.94,1922693
2008-11-04 00:00:00+05:30,329.69,329.69,309.79,323.91,1090719
2008-11-05 00:00:00+05:30,332.18,334.67,304.87,311.78,653877
2008-11-06 00:00:00+05:30,299.21,332.81,294.92,316.69,750378
2008-11-07 00:00:00+05:30,320.36,320.36,301.7,304.07,345780
2008-11-10 00:00:00+05:30,306.06,310.97,298.65,301.64,385748
2008-11-11 00:00:00+05:30,296.73,310.69,285.53,291.0,545490
2008-11-12 00:00:00+05:30,288.58,310.38,285.53,297.85,501636
2008-11-14 00:00:00+05:30,307.92,317.19,297.85,304.91,605040
2008-11-17 00:00:00+05:30,299.93,308.86,294.7,307.02,314291
2008-11-18 00:00:00+05:30,299.93,304.59,294.77,297.04,191926
2008-11-19 00:00:00+05:30,296.73,296.73,269.17,276.35,422291
2008-11-20 00:00:00+05:30,263.13,267.49,249.17,259.18,518713
2008-11-21 00:00:00+05:30,255.05,260.65,236.79,256.57,1254243
2008-11-24 00:00:00+05:30,248.2,248.2,241.42,247.05,839199
2008-11-25 00:00:00+05:30,267.49,278.06,243.88,247.24,2636657
2008-11-26 00:00:00+05:30,249.6,253.49,242.64,249.76,890412
2008-11-28 00:00:00+05:30,242.61,256.23,239.5,245.31,653225
2008-12-01 00:00:00+05:30,247.52,251.94,242.73,245.84,829529
2008-12-02 00:00:00+05:30,205.19,243.66,205.19,236.23,418793
2008-12-03 00:00:00+05:30,237.94,240.62,230.79,235.55,447666
2008-12-04 00:00:00+05:30,238.81,269.91,238.81,266.09,416394
2008-12-05 00:00:00+05:30,264.38,264.38,254.11,256.26,335086
2008-12-08 00:00:00+05:30,261.27,280.8,261.27,271.62,424929
2008-12-10 00:00:00+05:30,279.93,312.09,279.93,309.07,1198693
2008-12-11 00:00:00+05:30,308.54,312.37,299.28,306.87,651571
2008-12-12 00:00:00+05:30,307.74,311.1,295.57,307.92,626192
2008-12-15 00:00:00+05:30,309.79,322.23,307.3,314.86,424140
2008-12-16 00:00:00+05:30,305.43,322.85,305.43,312.15,378096
2008-12-17 00:00:00+05:30,314.02,324.72,308.61,311.03,651268
2008-12-18 00:00:00+05:30,309.23,322.85,309.23,317.28,1049832
2008-12-19 00:00:00+05:30,317.97,322.23,314.14,319.52,673620
2008-12-22 00:00:00+05:30,314.14,321.55,304.91,317.35,451264
2008-12-23 00:00:00+05:30,313.52,316.48,310.16,313.74,170166
2008-12-24 00:00:00+05:30,311.1,321.86,310.01,317.84,664997
2008-12-26 00:00:00+05:30,310.97,319.62,306.06,310.94,360190
2008-12-29 00:00:00+05:30,311.65,313.99,299.28,310.57,187079
2008-12-30 00:00:00+05:30,313.65,319.09,309.48,314.36,550155
