Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,1.56,1.65,1.55,1.64,1301869
2008-03-31 00:00:00+05:30,1.63,1.69,1.6,1.65,1365839
2008-04-01 00:00:00+05:30,1.7,1.72,1.66,1.69,1146859
2008-04-02 00:00:00+05:30,1.8,1.8,1.65,1.68,665129
2008-04-03 00:00:00+05:30,1.7,1.7,1.65,1.67,508299
2008-04-04 00:00:00+05:30,1.64,1.7,1.63,1.64,436909
2008-04-07 00:00:00+05:30,1.61,1.66,1.6,1.64,462379
2008-04-08 00:00:00+05:30,1.63,1.67,1.6,1.62,597549
2008-04-09 00:00:00+05:30,1.62,1.67,1.6,1.64,911749
2008-04-10 00:00:00+05:30,1.63,1.73,1.62,1.69,1107829
2008-04-11 00:00:00+05:30,1.7,1.75,1.67,1.69,494039
2008-04-15 00:00:00+05:30,1.7,1.73,1.68,1.7,754879
2008-04-16 00:00:00+05:30,1.74,1.8,1.69,1.75,1767719
2008-04-17 00:00:00+05:30,1.8,1.81,1.75,1.79,1032319
2008-04-21 00:00:00+05:30,1.89,1.97,1.84,1.91,3613339
2008-04-22 00:00:00+05:30,1.93,1.95,1.84,1.91,1663499
2008-04-23 00:00:00+05:30,1.95,2.11,1.92,2.03,6035549
2008-04-24 00:00:00+05:30,2.06,2.08,1.95,1.96,2241169
2008-04-25 00:00:00+05:30,1.99,1.99,1.91,1.94,883449
2008-04-28 00:00:00+05:30,1.94,1.99,1.91,1.93,874629
2008-04-29 00:00:00+05:30,1.9,1.98,1.9,1.94,622399
2008-04-30 00:00:00+05:30,1.92,1.96,1.9,1.91,793119
2008-05-02 00:00:00+05:30,1.93,1.95,1.91,1.92,684319
2008-05-05 00:00:00+05:30,1.91,1.94,1.91,1.92,533729
2008-05-06 00:00:00+05:30,1.92,1.94,1.86,1.87,630189
2008-05-07 00:00:00+05:30,1.87,1.9,1.85,1.87,803739
2008-05-08 00:00:00+05:30,1.81,2.0,1.8,1.96,2527659
2008-05-09 00:00:00+05:30,1.98,2.03,1.86,1.88,2529279
