Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,17.0,18.15,17.0,18.03,1236596
2008-03-31 00:00:00+05:30,17.78,18.1,17.33,17.45,1123682
2008-04-01 00:00:00+05:30,18.1,18.1,17.3,17.75,1180652
2008-04-02 00:00:00+05:30,18.0,18.85,17.25,17.45,6293820
2008-04-03 00:00:00+05:30,17.6,17.98,17.28,17.38,1184442
2008-04-04 00:00:00+05:30,17.68,17.68,16.25,16.43,3210444
2008-04-07 00:00:00+05:30,16.5,16.9,16.38,16.75,965662
2008-04-08 00:00:00+05:30,17.2,17.2,16.25,16.33,2552184
2008-04-09 00:00:00+05:30,16.13,16.85,16.1,16.7,1429946
2008-04-10 00:00:00+05:30,16.75,17.15,16.65,16.8,1288426
2008-04-11 00:00:00+05:30,16.8,17.2,16.03,16.2,4103794
2008-04-15 00:00:00+05:30,16.48,17.73,16.18,17.38,3184426
2008-04-16 00:00:00+05:30,17.83,17.98,17.2,17.75,5205868
2008-04-17 00:00:00+05:30,18.1,18.98,17.78,18.73,3064586
2008-04-21 00:00:00+05:30,19.45,20.73,18.55,19.63,4853854
2008-04-22 00:00:00+05:30,19.6,19.73,19.15,19.3,1722092
2008-04-23 00:00:00+05:30,19.0,20.4,18.2,20.13,3909164
2008-04-24 00:00:00+05:30,20.55,20.9,18.78,19.03,6313412
2008-04-25 00:00:00+05:30,19.53,19.75,18.93,19.3,2092836
2008-04-28 00:00:00+05:30,19.35,19.9,19.13,19.43,1492646
2008-04-29 00:00:00+05:30,19.5,19.85,19.23,19.48,1042886
2008-04-30 00:00:00+05:30,19.65,21.88,19.5,21.6,9739390
2008-05-02 00:00:00+05:30,22.0,23.7,21.88,22.88,18507414
2008-05-05 00:00:00+05:30,22.5,23.1,22.18,22.3,3565654
2008-05-06 00:00:00+05:30,22.2,22.3,21.58,21.73,1787466
2008-05-07 00:00:00+05:30,21.75,21.95,21.08,21.25,1214154
2008-05-08 00:00:00+05:30,21.05,21.08,20.68,20.88,944548
2008-05-09 00:00:00+05:30,20.55,22.23,20.23,20.5,3528574
2008-05-12 00:00:00+05:30,20.43,20.8,19.4,20.38,2135378
2008-05-13 00:00:00+05:30,20.88,21.58,20.5,20.7,2843898
2008-05-14 00:00:00+05:30,22.45,22.45,20.15,20.65,1422702
2008-05-15 00:00:00+05:30,20.85,21.05,20.53,20.7,970902
2008-05-16 00:00:00+05:30,20.93,21.38,20.65,20.95,1976610
2008-05-20 00:00:00+05:30,21.0,21.85,20.8,21.6,3050822
2008-05-21 00:00:00+05:30,21.25,21.8,21.1,21.63,1915018
2008-05-22 00:00:00+05:30,21.1,21.48,20.4,20.63,1319162
2008-05-23 00:00:00+05:30,20.8,20.95,19.58,19.73,1458498
2008-05-26 00:00:00+05:30,19.25,19.9,19.0,19.18,1092174
2008-05-27 00:00:00+05:30,19.5,19.7,18.75,18.9,1163762
2008-05-28 00:00:00+05:30,19.33,19.5,18.68,19.28,844310
2008-05-29 00:00:00+05:30,19.65,19.65,18.55,18.73,1776898
2008-05-30 00:00:00+05:30,18.8,18.98,18.0,18.15,904610
2008-06-02 00:00:00+05:30,18.45,19.95,18.05,18.48,2545922
2008-06-03 00:00:00+05:30,18.25,18.93,17.8,18.23,1842200
2008-06-04 00:00:00+05:30,18.48,18.48,17.25,17.38,1010268
2008-06-05 00:00:00+05:30,17.38,17.75,17.05,17.5,872958
2008-06-06 00:00:00+05:30,17.5,17.98,17.25,17.48,904664
2008-06-09 00:00:00+05:30,17.0,17.0,16.3,16.75,1350100
2008-06-10 00:00:00+05:30,16.5,17.03,16.35,16.58,628660
2008-06-11 00:00:00+05:30,17.0,17.25,16.75,16.9,550768
2008-06-12 00:00:00+05:30,16.35,17.5,16.35,17.3,747214
2008-06-13 00:00:00+05:30,17.88,17.88,17.05,17.3,789798
2008-06-16 00:00:00+05:30,17.3,17.68,17.25,17.48,349128
2008-06-17 00:00:00+05:30,17.43,17.8,17.25,17.7,359774
2008-06-18 00:00:00+05:30,17.7,18.5,17.53,17.68,1100230
2008-06-19 00:00:00+05:30,17.5,17.5,17.23,17.33,369590
2008-06-20 00:00:00+05:30,18.0,18.0,16.25,16.43,890574
2008-06-23 00:00:00+05:30,15.25,16.95,15.25,15.98,608742
2008-06-24 00:00:00+05:30,15.95,16.2,15.38,15.63,505556
2008-06-25 00:00:00+05:30,15.25,15.8,14.75,15.65,826374
2008-06-26 00:00:00+05:30,15.68,15.95,14.88,15.03,2698548
2008-06-27 00:00:00+05:30,14.9,14.9,13.65,13.7,3151150
2008-06-30 00:00:00+05:30,14.0,14.05,13.13,13.23,1013254
2008-07-01 00:00:00+05:30,13.0,13.25,12.03,12.2,1597272
2008-07-02 00:00:00+05:30,11.7,13.1,11.53,12.88,1518154
2008-07-03 00:00:00+05:30,12.88,12.88,12.13,12.38,1092812
2008-07-04 00:00:00+05:30,12.33,13.23,12.13,13.08,1252478
2008-07-07 00:00:00+05:30,14.0,14.0,13.13,13.3,832910
2008-07-08 00:00:00+05:30,13.13,13.98,12.58,13.7,1644854
2008-07-09 00:00:00+05:30,14.0,14.38,13.8,14.1,1171020
2008-07-10 00:00:00+05:30,14.0,14.4,13.75,14.2,931316
2008-07-11 00:00:00+05:30,14.25,14.55,13.4,13.5,1233312
2008-07-14 00:00:00+05:30,13.5,13.7,13.05,13.48,641784
2008-07-15 00:00:00+05:30,13.48,13.5,12.7,12.83,628926
2008-07-16 00:00:00+05:30,13.2,13.2,12.28,12.55,644200
2008-07-17 00:00:00+05:30,13.1,13.25,12.75,12.83,490650
2008-07-18 00:00:00+05:30,13.05,13.65,12.78,13.48,1275096
2008-07-21 00:00:00+05:30,12.5,13.5,12.0,13.28,469028
2008-07-22 00:00:00+05:30,13.5,13.63,13.03,13.38,807270
2008-07-23 00:00:00+05:30,13.0,14.68,13.0,14.33,1066462
2008-07-24 00:00:00+05:30,14.75,14.75,13.98,14.13,873862
2008-07-25 00:00:00+05:30,14.0,14.65,13.53,14.5,1006852
2008-07-28 00:00:00+05:30,14.5,15.15,14.5,14.75,1107202
2008-07-29 00:00:00+05:30,14.78,15.98,14.1,15.53,4022034
2008-07-30 00:00:00+05:30,15.8,16.43,15.63,16.25,3068130
2008-07-31 00:00:00+05:30,16.43,16.45,15.6,16.03,2736362
2008-08-01 00:00:00+05:30,15.6,16.38,15.3,15.78,2694756
2008-08-04 00:00:00+05:30,16.5,16.5,15.63,16.13,859712
2008-08-05 00:00:00+05:30,16.1,17.2,16.03,16.98,2122542
2008-08-06 00:00:00+05:30,17.2,17.33,16.15,16.35,2028576
2008-08-07 00:00:00+05:30,16.0,16.8,16.0,16.53,931882
2008-08-08 00:00:00+05:30,16.35,16.95,16.1,16.5,896248
2008-08-11 00:00:00+05:30,16.9,17.63,16.53,17.35,1580296
2008-08-12 00:00:00+05:30,17.43,17.58,16.7,16.83,654202
2008-08-13 00:00:00+05:30,16.5,17.15,16.5,16.63,608736
2008-08-14 00:00:00+05:30,16.6,16.68,15.9,16.0,700190
2008-08-18 00:00:00+05:30,15.75,16.3,15.38,15.45,401552
2008-08-19 00:00:00+05:30,15.5,16.25,15.38,16.03,659588
2008-08-20 00:00:00+05:30,16.18,16.4,15.9,16.15,861044
2008-08-21 00:00:00+05:30,16.1,16.15,15.83,15.85,530572
2008-08-22 00:00:00+05:30,15.75,16.35,15.75,16.2,514480
2008-08-25 00:00:00+05:30,17.0,17.0,16.15,16.25,415672
2008-08-26 00:00:00+05:30,15.5,16.43,15.5,16.25,511820
2008-08-27 00:00:00+05:30,16.0,16.38,15.9,15.98,294448
2008-08-28 00:00:00+05:30,16.05,16.15,15.58,15.6,1190006
2008-08-29 00:00:00+05:30,15.9,16.68,15.78,16.35,925954
2008-09-01 00:00:00+05:30,16.08,17.0,16.05,16.6,1223540
2008-09-02 00:00:00+05:30,16.88,16.95,16.63,16.68,616884
2008-09-04 00:00:00+05:30,16.53,16.83,16.5,16.6,509192
2008-09-05 00:00:00+05:30,16.55,17.4,16.25,17.15,1164474
2008-09-08 00:00:00+05:30,17.58,17.98,17.15,17.25,1964828
2008-09-09 00:00:00+05:30,17.1,17.3,16.88,16.95,414764
2008-09-10 00:00:00+05:30,16.98,17.0,16.65,16.75,312874
2008-09-11 00:00:00+05:30,16.5,16.65,16.23,16.35,253910
2008-09-12 00:00:00+05:30,16.45,16.7,15.75,15.9,483424
2008-09-15 00:00:00+05:30,15.75,15.75,14.2,14.68,967704
2008-09-16 00:00:00+05:30,14.35,15.73,13.95,15.3,1391590
