Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,310.0,311.0,299.3,301.69,702329
2008-03-31 00:00:00+05:30,301.2,305.8,296.0,300.38,775294
2008-04-01 00:00:00+05:30,300.22,307.5,296.0,299.56,272969
2008-04-02 00:00:00+05:30,303.1,316.68,300.02,305.3,1095774
2008-04-03 00:00:00+05:30,305.8,318.99,305.8,317.25,1080924
2008-04-04 00:00:00+05:30,318.0,323.8,304.0,317.8,376699
2008-04-07 00:00:00+05:30,324.2,339.8,319.11,331.91,1024324
2008-04-08 00:00:00+05:30,332.0,344.0,332.0,341.2,1129214
2008-04-09 00:00:00+05:30,339.0,349.38,334.28,338.05,627559
2008-04-10 00:00:00+05:30,336.96,348.6,335.98,345.72,310659
2008-04-11 00:00:00+05:30,349.0,354.0,338.05,341.32,346419
2008-04-15 00:00:00+05:30,335.0,349.0,332.0,347.39,259014
2008-04-16 00:00:00+05:30,350.8,365.98,347.0,364.47,634809
2008-04-17 00:00:00+05:30,369.8,374.74,358.8,363.13,891464
2008-04-21 00:00:00+05:30,365.14,373.0,343.02,350.85,1064524
2008-04-22 00:00:00+05:30,351.0,357.98,331.02,335.1,903884
2008-04-23 00:00:00+05:30,333.0,342.0,316.63,319.05,1084804
2008-04-24 00:00:00+05:30,325.0,355.2,322.01,350.81,2972089
2008-04-25 00:00:00+05:30,341.2,358.8,331.2,335.52,1215474
2008-04-28 00:00:00+05:30,339.6,347.2,334.0,341.5,618774
2008-04-29 00:00:00+05:30,341.0,341.0,325.0,328.93,1251054
2008-04-30 00:00:00+05:30,329.0,336.0,318.1,320.99,1573514
2008-05-02 00:00:00+05:30,328.24,330.0,316.0,325.79,2388514
2008-05-05 00:00:00+05:30,329.6,332.99,322.99,330.02,2108154
2008-05-06 00:00:00+05:30,329.98,335.0,326.0,329.1,1379394
2008-05-07 00:00:00+05:30,330.44,332.96,322.6,324.99,1084454
2008-05-08 00:00:00+05:30,314.44,328.2,314.44,324.97,1086854
2008-05-09 00:00:00+05:30,327.0,327.2,310.22,313.47,1681194
2008-05-12 00:00:00+05:30,314.82,320.96,300.0,317.96,1568589
2008-05-13 00:00:00+05:30,319.96,323.78,315.7,320.75,1442104
2008-05-14 00:00:00+05:30,320.65,323.4,310.3,317.53,668474
2008-05-15 00:00:00+05:30,320.0,321.8,316.0,318.33,268644
2008-05-16 00:00:00+05:30,321.96,330.38,318.6,323.77,1275059
2008-05-20 00:00:00+05:30,324.0,329.9,320.0,324.24,1094944
2008-05-21 00:00:00+05:30,322.0,325.6,318.0,319.77,202219
2008-05-22 00:00:00+05:30,318.0,323.8,312.42,314.41,332774
2008-05-23 00:00:00+05:30,315.0,326.0,315.0,324.4,1608554
2008-05-26 00:00:00+05:30,320.4,324.0,314.41,316.12,1071594
2008-05-27 00:00:00+05:30,319.8,323.58,308.06,310.55,1126149
2008-05-28 00:00:00+05:30,312.0,325.78,307.4,323.78,812944
2008-05-29 00:00:00+05:30,326.0,330.1,316.6,326.43,1035674
2008-05-30 00:00:00+05:30,328.0,345.4,323.05,336.66,5342559
2008-06-02 00:00:00+05:30,335.89,338.58,314.01,317.23,567374
2008-06-03 00:00:00+05:30,314.4,316.0,301.42,304.91,919089
2008-06-04 00:00:00+05:30,305.0,313.5,300.4,302.96,478634
2008-06-05 00:00:00+05:30,305.0,313.99,296.33,311.9,711514
2008-06-06 00:00:00+05:30,314.0,315.0,300.92,303.55,652164
2008-06-09 00:00:00+05:30,299.6,302.0,285.05,292.24,560079
2008-06-10 00:00:00+05:30,288.04,293.0,276.0,279.62,827229
2008-06-11 00:00:00+05:30,280.4,285.6,272.22,275.59,850969
2008-06-12 00:00:00+05:30,275.4,275.59,264.0,269.0,1152724
2008-06-13 00:00:00+05:30,276.48,276.99,271.1,274.04,537169
2008-06-16 00:00:00+05:30,276.0,280.76,252.56,259.02,1560479
2008-06-17 00:00:00+05:30,262.0,266.8,254.5,264.07,1132609
2008-06-18 00:00:00+05:30,265.0,275.0,261.0,271.98,1069774
2008-06-19 00:00:00+05:30,268.2,278.0,264.0,273.52,751999
2008-06-20 00:00:00+05:30,275.2,275.96,255.2,270.1,660969
2008-06-23 00:00:00+05:30,266.8,267.0,256.25,261.88,534654
2008-06-24 00:00:00+05:30,264.16,274.0,259.0,269.6,750764
