Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,11.12,12.0,10.93,11.68,92979
2008-03-31 00:00:00+05:30,12.28,12.89,11.2,11.33,87029
2008-04-01 00:00:00+05:30,11.43,12.35,11.0,11.37,77419
2008-04-02 00:00:00+05:30,11.6,12.18,10.9,11.02,90229
2008-04-03 00:00:00+05:30,11.09,11.51,10.2,10.33,339429
2008-04-04 00:00:00+05:30,10.8,11.18,10.16,10.51,83689
2008-04-07 00:00:00+05:30,10.4,10.5,10.03,10.27,51324
2008-04-08 00:00:00+05:30,10.3,10.76,10.1,10.16,56204
2008-04-09 00:00:00+05:30,11.0,11.94,10.26,11.3,425604
2008-04-10 00:00:00+05:30,11.6,11.8,11.22,11.37,147389
2008-04-11 00:00:00+05:30,12.2,12.2,10.89,11.22,78264
2008-04-15 00:00:00+05:30,11.78,11.78,10.6,11.32,131879
2008-04-16 00:00:00+05:30,10.81,13.59,10.81,13.56,1232714
2008-04-17 00:00:00+05:30,14.36,15.57,13.6,14.13,1612014
2008-04-21 00:00:00+05:30,14.35,14.6,13.89,14.1,397659
2008-04-22 00:00:00+05:30,14.2,14.2,12.6,13.48,162864
2008-04-23 00:00:00+05:30,13.7,13.7,12.95,13.01,98869
2008-04-24 00:00:00+05:30,13.29,13.29,12.64,12.77,98694
2008-04-25 00:00:00+05:30,12.8,12.8,11.81,12.28,158944
2008-04-28 00:00:00+05:30,12.34,13.2,12.34,12.66,153244
2008-04-29 00:00:00+05:30,12.8,12.8,12.38,12.45,61064
2008-04-30 00:00:00+05:30,12.4,12.8,12.4,12.47,89709
2008-05-02 00:00:00+05:30,12.8,12.8,12.27,12.39,73064
2008-05-05 00:00:00+05:30,12.7,12.7,12.4,12.45,54714
2008-05-06 00:00:00+05:30,12.5,12.56,11.88,12.0,62174
2008-05-07 00:00:00+05:30,12.2,12.3,11.9,11.96,28544
2008-05-08 00:00:00+05:30,12.32,12.32,12.0,12.15,28049
2008-05-09 00:00:00+05:30,12.2,12.2,11.6,11.78,37014
2008-05-12 00:00:00+05:30,11.6,11.97,11.06,11.46,36384
2008-05-13 00:00:00+05:30,11.5,11.9,11.4,11.48,31654
2008-05-14 00:00:00+05:30,11.78,11.98,11.3,11.48,47634
2008-05-15 00:00:00+05:30,11.4,12.1,11.4,11.8,95799
2008-05-16 00:00:00+05:30,11.71,12.77,11.6,12.05,355924
2008-05-20 00:00:00+05:30,12.74,12.74,11.79,11.87,49429
2008-05-21 00:00:00+05:30,11.8,12.6,11.6,12.06,90034
2008-05-22 00:00:00+05:30,11.8,12.3,11.8,11.86,66369
2008-05-23 00:00:00+05:30,11.89,12.16,11.55,11.74,74444
2008-05-26 00:00:00+05:30,11.7,11.7,11.21,11.33,35294
2008-05-27 00:00:00+05:30,11.49,11.54,11.1,11.17,33894
2008-05-28 00:00:00+05:30,11.12,11.2,10.88,11.01,18804
2008-05-29 00:00:00+05:30,10.8,11.2,10.5,10.7,61159
2008-05-30 00:00:00+05:30,10.81,10.89,10.61,10.62,25524
2008-06-02 00:00:00+05:30,10.9,10.9,10.05,10.22,16044
2008-06-03 00:00:00+05:30,10.39,10.39,10.0,10.01,27369
2008-06-04 00:00:00+05:30,10.3,10.88,9.9,10.0,46194
2008-06-05 00:00:00+05:30,10.0,10.4,9.8,9.89,23434
2008-06-06 00:00:00+05:30,10.0,10.38,9.9,9.91,22304
2008-06-09 00:00:00+05:30,9.6,9.75,8.8,9.61,53429
2008-06-10 00:00:00+05:30,9.6,9.7,9.08,9.25,25139
2008-06-11 00:00:00+05:30,9.78,9.8,9.12,9.26,46369
2008-06-12 00:00:00+05:30,9.06,9.4,8.86,9.09,35949
2008-06-13 00:00:00+05:30,10.9,10.91,9.41,10.91,261044
2008-06-16 00:00:00+05:30,11.4,12.77,10.24,12.33,1211129
2008-06-17 00:00:00+05:30,12.58,14.8,12.23,14.8,3526249
2008-06-18 00:00:00+05:30,14.9,16.28,13.4,13.74,5146754
2008-06-19 00:00:00+05:30,13.0,13.74,12.64,12.8,1308314
2008-06-20 00:00:00+05:30,12.8,13.39,11.7,12.08,1381179
2008-06-23 00:00:00+05:30,11.85,12.59,10.93,11.09,791704
2008-06-24 00:00:00+05:30,11.25,11.4,10.01,10.14,558209
2008-06-25 00:00:00+05:30,10.0,10.65,9.64,10.65,591064
2008-06-26 00:00:00+05:30,10.96,11.16,10.2,10.65,327874
2008-06-27 00:00:00+05:30,10.21,10.21,10.12,10.12,56184
2008-06-30 00:00:00+05:30,10.58,10.58,9.62,9.62,53974
2008-07-01 00:00:00+05:30,9.6,9.99,9.14,9.14,198409
2008-07-02 00:00:00+05:30,9.0,9.6,8.69,9.52,231959
2008-07-03 00:00:00+05:30,9.2,9.27,9.05,9.05,64029
2008-07-04 00:00:00+05:30,8.97,9.18,8.63,8.98,142184
