Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,33.59,34.32,30.43,33.65,122462
2008-03-31 00:00:00+05:30,33.66,33.79,32.64,33.46,47068
2008-04-01 00:00:00+05:30,33.25,33.66,33.09,33.18,14068
2008-04-02 00:00:00+05:30,33.26,33.79,32.87,33.15,153674
2008-04-03 00:00:00+05:30,33.01,33.78,32.89,33.15,109749
2008-04-04 00:00:00+05:30,33.13,33.26,32.87,33.06,13757
2008-04-07 00:00:00+05:30,33.01,33.79,33.01,33.63,44393
2008-04-08 00:00:00+05:30,33.53,33.92,33.53,33.65,203128
2008-04-09 00:00:00+05:30,33.29,36.14,33.29,35.77,177393
2008-04-10 00:00:00+05:30,36.23,39.2,36.04,36.5,337704
2008-04-11 00:00:00+05:30,36.17,36.56,35.24,35.47,78507
2008-04-15 00:00:00+05:30,35.31,35.82,34.72,35.54,51696
2008-04-16 00:00:00+05:30,36.3,36.96,35.77,36.47,49507
2008-04-17 00:00:00+05:30,36.96,36.96,35.97,36.51,62772
2008-04-21 00:00:00+05:30,36.45,36.96,35.86,36.75,47045
2008-04-22 00:00:00+05:30,36.43,36.92,36.1,36.29,43204
2008-04-23 00:00:00+05:30,36.3,39.34,35.79,37.39,474121
2008-04-24 00:00:00+05:30,37.96,37.96,36.17,36.38,82507
2008-04-25 00:00:00+05:30,36.04,36.95,35.79,36.14,42030
2008-04-28 00:00:00+05:30,36.56,36.88,35.82,36.36,46492
2008-04-29 00:00:00+05:30,36.17,36.8,35.8,35.91,48863
2008-04-30 00:00:00+05:30,36.3,43.02,36.3,38.06,389825
2008-05-02 00:00:00+05:30,38.29,39.2,37.23,38.33,165189
2008-05-05 00:00:00+05:30,38.41,42.9,38.41,39.22,215136
2008-05-06 00:00:00+05:30,38.42,40.0,37.75,39.73,186371
2008-05-07 00:00:00+05:30,40.26,40.26,39.07,40.02,281636
2008-05-08 00:00:00+05:30,40.26,40.92,39.21,40.52,222431
2008-05-09 00:00:00+05:30,40.26,40.79,39.75,40.26,208030
2008-05-12 00:00:00+05:30,39.34,40.64,39.34,40.41,124159
2008-05-13 00:00:00+05:30,40.46,40.79,39.93,40.29,152606
2008-05-14 00:00:00+05:30,39.07,40.39,38.95,40.28,68378
2008-05-15 00:00:00+05:30,40.59,41.05,40.16,40.88,262727
2008-05-16 00:00:00+05:30,41.58,41.71,40.79,41.59,380113
2008-05-20 00:00:00+05:30,41.58,42.24,40.92,41.71,140583
2008-05-21 00:00:00+05:30,41.05,41.98,41.0,41.47,448257
2008-05-22 00:00:00+05:30,42.23,42.7,40.92,41.2,49969
2008-05-23 00:00:00+05:30,41.45,41.45,39.35,39.51,47719
2008-05-26 00:00:00+05:30,39.4,40.4,38.28,39.47,135575
2008-05-27 00:00:00+05:30,39.34,40.26,39.09,39.47,423469
