stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
MAZDOCK,1956.3,0.012620032543050769,2245.322790055202,2002.4601935837043,True,True,1,60.427091673438326,33,64557.9,64557.9
SUZLON,18.0,0.012385276212605224,2111.639200239973,1919.331516679258,True,False,0,0.7584346877434206,2637,47466.0,112023.9
JINDALSAW,325.5,0.010934870531447372,1438.9995152320766,1337.5763252052714,True,False,0,12.050246493096965,165,53707.5,165731.4
TITAGARH,664.8,0.010660288788045988,1336.8986906461873,1266.580117388878,True,False,0,19.989901508685318,100,66480.0,232211.4
TANLA,1220.0,0.009744478125383432,1042.8606236936432,994.5217185314559,True,False,0,41.026899905972044,48,58560.0,290771.4
JWL,216.2,0.009731570495825657,1039.1786621713693,991.5594450529086,True,False,0,7.155128123697508,279,60319.799999999996,351091.2
INOXWIND,52.73,0.009521254155734836,980.8291152806488,927.0892321498626,True,False,0,2.0763250881930095,963,50778.99,401870.19
JBMA,1417.0,0.009604732094686059,1003.622477599342,862.969894813862,True,False,0,54.67477828600674,36,51012.0,452882.19
FACT,475.0,0.009144550011878281,883.6869330477829,717.8153706600615,True,True,1,20.441101839301155,97,46075.0,498957.19
OLECTRA,1177.0,0.009026384541271705,855.0525081315998,713.660374207132,True,False,0,49.80518616677749,40,47080.0,546037.19
SCHNEIDER,278.25,0.008361589511342696,708.8128568820019,668.0196542139827,True,False,0,10.619356779184985,188,52311.0,598348.19
ELECON,367.5,0.007888362067046044,618.5682587522747,579.8932961109359,True,False,0,11.856363977673594,168,61740.0,660088.19
ENGINERSIN,153.9,0.0077789246823916315,599.1752013852525,564.0983811848321,True,False,0,4.239118367324416,471,72486.90000000001,732575.09
RKFORGE,542.1,0.007451116074781602,544.1613284087782,528.2775918930771,True,False,0,17.155345712512805,116,62883.600000000006,795458.69
CHENNPETRO,397.6,0.007641927126504465,575.6343096501612,523.460403816444,True,False,0,14.235263154000595,140,55664.0,851122.69
